"Parasite","Host","DetectionMethod","DetectionQuality","ReferenceText","HostOrder","HostFamily","HostGenus","HostSpecies","ParasiteOrder","ParasiteFamily","ParasiteSubfamily","ParasiteGenus","SSorDS","DNAorRNA","Envelope","Segmented","CytoReplic","GenomeAveLength","ReverseZoonosis","IsZoonotic_HP3","IsZoonotic_Strict_HP3","PublicationYear","ParasiteType","Database","Host_AsReported","Parasite_AsReported","Parasite_og","PathogenName_Harmonised","PathogenName_Harm2","PathogenType"
"african horse sickness","canis familiaris","Antibodies",0,"Baba et al. 1993","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1993,"virus","HP3","","","african horse sickness virus","african horse sickness","african horse sickness virus","virus"
"barmah forest","canis familiaris","Antibodies",0,"Kay et al. 2007","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11488,0,1,0,2007,"virus","HP3","","","barmah forest virus","barmah forest","barmah forest virus","virus"
"borna disease","canis familiaris","PCR",2,"Zhang et al. 2014","CARNIVORA","CANIDAE","Canis","familiaris","Mononegavirales","Bornaviridae",NA,"Bornavirus","SS","RNA","enveloped",FALSE,FALSE,8910,0,1,0,2014,"virus","HP3","","","borna disease virus","borna","borna disease virus","virus"
"bunyamwera","canis familiaris","Isolation",2,"Calisher et al. 1986","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12300,0,1,1,1986,"virus","HP3","","","bunyamwera virus","bunyamwera","bunyamwera virus","virus"
"canid herpesvirus 1","canis familiaris","PCR",2,"Gadsden et al. 2012","CARNIVORA","CANIDAE","Canis","familiaris","Herpesvirales","Herpesviridae","Alphaherpesvirinae","Varicellovirus","DS","DNA","enveloped",FALSE,FALSE,125171,0,0,0,2012,"virus","HP3","","","canid herpesvirus 1","canid herpesvirus 1","canid herpesvirus 1","virus"
"canine adenovirus","canis familiaris","PCR",2,"Ledbetter et al. 2009","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Adenoviridae",NA,"Mastadenovirus","DS","DNA","non-enveloped",FALSE,FALSE,30536,0,0,0,2009,"virus","HP3","","","canine adenovirus","canine adenovirus","canine adenovirus","virus"
"canine calicivirus","canis familiaris","Isolation",2,"Matsuuraet al. 2002","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Caliciviridae",NA,"Unassigned","SS","RNA","non-enveloped",FALSE,TRUE,8513,0,0,0,2002,"virus","HP3","","","canine calicivirus","canine calicivirus","canine calicivirus","virus"
"canine distemper","canis familiaris","Isolation",2,"Frolich et al. 2000","CARNIVORA","CANIDAE","Canis","familiaris","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15690,0,1,1,2000,"virus","HP3","","","canine distemper virus","canine distemper","canine distemper virus","virus"
"canine minute","canis familiaris","Isolation",2,"Binn et al. 1970","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Parvoviridae","Parvovirinae","Bocavirus","SS","DNA","non-enveloped",FALSE,FALSE,5097,0,0,0,1970,"virus","HP3","","","canine minute virus","canine minute","canine minute virus","virus"
"canine oral papillomavirus","canis familiaris","PCR",2,"Yhee et al. 2010","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Papillomaviridae",NA,"Lambdapapillomavirus","DS","DNA","non-enveloped",FALSE,FALSE,8607,0,0,0,2010,"virus","HP3","","","canine oral papillomavirus","canine oral papillomavirus","canine oral papillomavirus","virus"
"crimean-congo hemorrhagic fever","canis familiaris","Antibodies",0,"Shepherd et al. 1987","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Bunyaviridae",NA,"Nairovirus","SS","RNA","enveloped",TRUE,TRUE,19950,0,1,1,1987,"virus","HP3","","","crimean-congo hemorrhagic fever virus","crimean-congo hemorrhagic fever","crimean-congo hemorrhagic fever virus","virus"
"everglades","canis familiaris","Antibodies",0,"Coffey et al. 2006","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11395,0,1,0,2006,"virus","HP3","","","everglades virus","everglades","everglades virus","virus"
"hepatitis e","canis familiaris","Antibodies",0,"Vitral et al. 2005","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Hepeviridae",NA,"Hepevirus","SS","RNA","non-enveloped",FALSE,TRUE,7176,0,1,0,2005,"virus","HP3","","","hepatitis e virus","hepatitis e","hepatitis e virus","virus"
"human herpesvirus 4","canis familiaris","PCR",2,"Choi et al. 2005","CARNIVORA","CANIDAE","Canis","familiaris","Herpesvirales","Herpesviridae","Gammaherpesvirinae","Lymphocryptovirus","DS","DNA","enveloped",FALSE,FALSE,172764,1,1,1,2005,"virus","HP3","","","human herpesvirus 4","human herpesvirus 4","human herpesvirus 4","virus"
"human norovirus-alphatron","canis familiaris","PCR",2,"Martella et al. 2008","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Caliciviridae",NA,"Norovirus","SS","RNA","non-enveloped",FALSE,TRUE,7800,0,1,1,2008,"virus","HP3","","","human norovirus-alphatron","human norovirus-alphatron","human norovirus-alphatron","virus"
"human picobirnavirus","canis familiaris","PAGE",0,"Costa et al. 2004","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Picobirnaviridae",NA,"Picobirnavirus","DS","RNA","non-enveloped",TRUE,TRUE,4270,0,1,1,2004,"virus","HP3","","","human picobirnavirus","human picobirnavirus","human picobirnavirus","virus"
"mammalian orthoreovirus","canis familiaris","Isolation",2,"Decaro et al. 2005","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Reoviridae",NA,"Orthoreovirus","DS","RNA","non-enveloped",TRUE,TRUE,23540,0,0,0,2005,"virus","HP3","","","mammalian orthoreovirus","mammalian orthoreovirus","mammalian orthoreovirus","virus"
"mokola","canis familiaris","Antibodies",0,"Sabeta et al. 2007","CARNIVORA","CANIDAE","Canis","familiaris","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11948.5,0,1,1,2007,"virus","HP3","","","mokola virus","mokola","mokola virus","virus"
"mumps","canis familiaris","Antibodies",0,"Stone 1969","CARNIVORA","CANIDAE","Canis","familiaris","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Rubulavirus","SS","RNA","enveloped",FALSE,TRUE,15384,1,1,0,1969,"virus","HP3","","","mumps virus","mumps","mumps virus","virus"
"murray valley encephalitis","canis familiaris","Antibodies",0,"Calisher et al. 2006","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,11014,0,1,0,2006,"virus","HP3","","","murray valley encephalitis virus","murray valley encephalitis","murray valley encephalitis virus","virus"
"rabies","canis familiaris","PCR",2,"Lembo et al. 2008","CARNIVORA","CANIDAE","Canis","familiaris","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2008,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"ross river","canis familiaris","Antibodies",0,"Digoutte et al. 1976","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11657,0,1,1,1976,"virus","HP3","","","ross river virus","ross river","ross river virus","virus"
"sandfly fever sicilian","canis familiaris","Antibodies",0,"Sakhria et al. 2014","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Bunyaviridae",NA,"Phlebovirus","SS","RNA","enveloped",TRUE,TRUE,11300,0,1,0,2014,"virus","HP3","","","sandfly fever sicilian virus","sandfly fever sicilian","sandfly fever sicilian virus","virus"
"st. louis encephalitis","canis familiaris","Antibodies",0,"Lillibridge et al. 2004","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,2004,"virus","HP3","","","st. louis encephalitis virus","st. louis encephalitis","st. louis encephalitis virus","virus"
"suid herpesvirus 1","canis familiaris","Isolation",2,"Eidson et al.1953","CARNIVORA","CANIDAE","Canis","familiaris","Herpesvirales","Herpesviridae","Alphaherpesvirinae","Varicellovirus","DS","DNA","enveloped",FALSE,FALSE,141126.5,0,1,0,1953,"virus","HP3","","","suid herpesvirus 1","suid herpesvirus 1","suid herpesvirus 1","virus"
"vaccinia","canis familiaris","VNT",1,"Peres et al. 2013","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Poxviridae","Chordopoxvirinae","Orthopoxvirus","DS","DNA","enveloped",FALSE,TRUE,194711,0,1,0,2013,"virus","HP3","","","vaccinia virus","vaccinia","vaccinia virus","virus"
"venezuelan equine encephalitis","canis familiaris","Antibodies",0,"Estrada-Franco et al. 2004","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Togaviridae",NA,"Alphavirus","SS","RNA","enveloped",FALSE,TRUE,11444,0,1,1,2004,"virus","HP3","","","venezuelan equine encephalitis virus","venezuelan equine encephalitis","venezuelan equine encephalitis virus","virus"
"vesicular stomatitis indiana","canis familiaris","SNT",1,"Webb et al. 1987b","CARNIVORA","CANIDAE","Canis","familiaris","Mononegavirales","Rhabdoviridae",NA,"Vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11161,0,1,0,1987,"virus","HP3","","","vesicular stomatitis indiana virus","vesicular stomatitis indiana","vesicular stomatitis indiana virus","virus"
"wesselsbron","canis familiaris","Antibodies",0,"Baba et al. 1994","CARNIVORA","CANIDAE","Canis","familiaris","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10814,0,1,1,1994,"virus","HP3","","","wesselsbron virus","wesselsbron","wesselsbron virus","virus"
"canine adenovirus","canis latrans","Antibodies",0,"Almberg et al. 2009","CARNIVORA","CANIDAE","Canis","latrans","Unassigned","Adenoviridae",NA,"Mastadenovirus","DS","DNA","non-enveloped",FALSE,FALSE,30536,0,0,0,2009,"virus","HP3","","","canine adenovirus","canine adenovirus","canine adenovirus","virus"
"canine coronavirus","canis latrans","Antibodies",0,"Foreyt et al. 1985","CARNIVORA","CANIDAE","Canis","latrans","Nidovirales","Coronaviridae",NA,"Coronavirus","SS","RNA","enveloped",FALSE,TRUE,30000,0,0,0,1985,"virus","HP3","","","canine coronavirus","canine coronavirus","canine coronavirus","virus"
"rabies","canis latrans","Isolation",2,"Behymer et al. 1974","CARNIVORA","CANIDAE","Canis","latrans","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,1974,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"st. louis encephalitis","canis latrans","Antibodies",0,"Artsob et al. 1986","CARNIVORA","CANIDAE","Canis","latrans","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1986,"virus","HP3","","","st. louis encephalitis virus","st. louis encephalitis","st. louis encephalitis virus","virus"
"vesicular stomatitis new jersey","canis latrans","Antibodies",0,"Webb et al. 1987","CARNIVORA","CANIDAE","Canis","latrans","Mononegavirales","Rhabdoviridae",NA,"Vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11123,0,1,0,1987,"virus","HP3","","","vesicular stomatitis new jersey virus","vesicular stomatitis new jersey","vesicular stomatitis new jersey virus","virus"
"canine adenovirus","canis lupus","Antibodies",0,"Almberg et al. 2009","CARNIVORA","CANIDAE","Canis","lupus","Unassigned","Adenoviridae",NA,"Mastadenovirus","DS","DNA","non-enveloped",FALSE,FALSE,30536,0,0,0,2009,"virus","HP3","","","canine adenovirus","canine adenovirus","canine adenovirus","virus"
"canine coronavirus","canis lupus","PCR",2,"Zarnke et al. 2001","CARNIVORA","CANIDAE","Canis","lupus","Nidovirales","Coronaviridae",NA,"Coronavirus","SS","RNA","enveloped",FALSE,TRUE,30000,0,0,0,2001,"virus","HP3","","","canine coronavirus","canine coronavirus","canine coronavirus","virus"
"rabies","canis lupus","PCR",2,"Kuzmin et al. 2004","CARNIVORA","CANIDAE","Canis","lupus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2004,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"african horse sickness","canis mesomelas","Antibodies",0,"Binepal et al. 1992","CARNIVORA","CANIDAE","Canis","mesomelas","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1992,"virus","HP3","","","african horse sickness virus","african horse sickness","african horse sickness virus","virus"
"bluetongue","canis mesomelas","ELISA, SNT",0,"Alexander et al. 1995","CARNIVORA","CANIDAE","Canis","mesomelas","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,1995,"virus","HP3","","","bluetongue virus","bluetongue","bluetongue virus","virus"
"canine distemper","canis mesomelas","Antibodies",0,"Prager et al. 2013","CARNIVORA","CANIDAE","Canis","mesomelas","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15690,0,1,1,2013,"virus","HP3","","","canine distemper virus","canine distemper","canine distemper virus","virus"
"feline panleukopenia","canis mesomelas","Antibodies",0,"Alexander et al. 1994b","CARNIVORA","CANIDAE","Canis","mesomelas","Unassigned","Parvoviridae","Parvovirinae","Parvovirus","SS","DNA","non-enveloped",FALSE,FALSE,5323,0,0,0,1994,"virus","HP3","","","feline panleukopenia virus","feline panleukopenia","feline panleukopenia virus","virus"
"rabies","canis mesomelas","Isolation",2,"Zulu et al. 2009","CARNIVORA","CANIDAE","Canis","mesomelas","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2009,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"canine adenovirus","canis simensis","Antibodies",0,"Laurenson et al. 1998","CARNIVORA","CANIDAE","Canis","simensis","Unassigned","Adenoviridae",NA,"Mastadenovirus","DS","DNA","non-enveloped",FALSE,FALSE,30536,0,0,0,1998,"virus","HP3","","","canine adenovirus","canine adenovirus","canine adenovirus","virus"
"canine distemper","canis simensis","Antibodies",0,"Laurenson et al. 1998","CARNIVORA","CANIDAE","Canis","simensis","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15690,0,1,1,1998,"virus","HP3","","","canine distemper virus","canine distemper","canine distemper virus","virus"
"feline panleukopenia","canis simensis","Antibodies",0,"Laurenson et al. 1998","CARNIVORA","CANIDAE","Canis","simensis","Unassigned","Parvoviridae","Parvovirinae","Parvovirus","SS","DNA","non-enveloped",FALSE,FALSE,5323,0,0,0,1998,"virus","HP3","","","feline panleukopenia virus","feline panleukopenia","feline panleukopenia virus","virus"
"rabies","canis simensis","Isolation",2,"Sillero-Zubiri et al. 1996","CARNIVORA","CANIDAE","Canis","simensis","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,1996,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"foot-and-mouth disease","capra aegagrus","Isolation",2,"Alexandersen et al. 2003; Arzt et al. 2011 in Weaver & Karesh 2013","CETARTIODACTYLA","BOVIDAE","Capra","aegagrus","Picornavirales","Picornaviridae",NA,"Aphthovirus","SS","RNA","non-enveloped",FALSE,TRUE,8159,0,1,1,2003,"virus","HP3","","","foot-and-mouth disease virus","foot-and-mouth disease","foot-and-mouth disease virus","virus"
"peste-des-petits-ruminants","capra aegagrus","PCR",2,"Abubakar et al. 2011","CETARTIODACTYLA","BOVIDAE","Capra","aegagrus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15948,0,0,0,2011,"virus","HP3","","","peste-des-petits-ruminants virus","peste-des-petits-ruminants","peste-des-petits-ruminants virus","virus"
"akabane","capra hircus","Antibodies",0,"Davies et al. 1985","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12035,0,0,0,1985,"virus","HP3","","","akabane virus","akabane","akabane virus","virus"
"bhanja","capra hircus","Antibodies",0,"Hubalek et al. 2009","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Bunyaviridae",NA,"Unassigned","SS","RNA","enveloped",TRUE,TRUE,16600,0,1,0,2009,"virus","HP3","","","bhanja virus","bhanja","bhanja virus","virus"
"bluetongue","capra hircus","Antibodies",0,"Allepuz et al. 2010","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,2010,"virus","HP3","","","bluetongue virus","bluetongue","bluetongue virus","virus"
"border disease","capra hircus","PCR",2,"Kim et al. 2006","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Flaviviridae",NA,"Pestivirus","SS","RNA","enveloped",FALSE,TRUE,12333,0,0,0,2006,"virus","HP3","","","border disease virus","border disease","border disease virus","virus"
"borna disease","capra hircus","PCR",2,"Zhang et al. 2014","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Mononegavirales","Bornaviridae",NA,"Bornavirus","SS","RNA","enveloped",FALSE,FALSE,8910,0,1,0,2014,"virus","HP3","","","borna disease virus","borna","borna disease virus","virus"
"bovine herpesvirus 1","capra hircus","PCR",2,"Kalman & Egyed 2005","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Herpesvirales","Herpesviridae","Alphaherpesvirinae","Varicellovirus","DS","DNA","enveloped",FALSE,FALSE,140000,0,0,0,2005,"virus","HP3","","","bovine herpesvirus 1","bovine herpesvirus 1","bovine herpesvirus 1","virus"
"bovine herpesvirus 4","capra hircus","PCR",2,"Kalman & Egyed 2005","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Herpesvirales","Herpesviridae","Gammaherpesvirinae","Rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,145000,0,0,0,2005,"virus","HP3","","","bovine herpesvirus 4","bovine herpesvirus 4","bovine herpesvirus 4","virus"
"bovine parainfluenza virus 3","capra hircus","Antibodies",0,"Yang et al. 2008","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Respirovirus","SS","RNA","enveloped",FALSE,TRUE,15468,0,0,0,2008,"virus","HP3","","","bovine parainfluenza virus 3","bovine parainfluenza virus 3","bovine parainfluenza virus 3","virus"
"bovine viral diarrhea virus 1","capra hircus","PCR",2,"Pratelli et al. 2001","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Flaviviridae",NA,"Pestivirus","SS","RNA","enveloped",FALSE,TRUE,12573,0,0,0,2001,"virus","HP3","","","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","bovine viral diarrhea virus 1","virus"
"bunyamwera","capra hircus","Antibodies",0,"Tauro et al. 2009","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Bunyaviridae",NA,"Orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12300,0,1,1,2009,"virus","HP3","","","bunyamwera virus","bunyamwera","bunyamwera virus","virus"
"caprine arthritis encephalitis","capra hircus","PCR",2,"Leroux et al. 2010","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Retroviridae","Orthoretrovirinae","Lentivirus","SS","RNA","enveloped",FALSE,FALSE,9189,0,0,0,2010,"virus","HP3","","","caprine arthritis encephalitis virus","caprine arthritis encephalitis","caprine arthritis encephalitis virus","virus"
"caprine herpesvirus 1","capra hircus","Isolation",2,"Roperto et al. 2000","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Herpesvirales","Herpesviridae","Alphaherpesvirinae","Varicellovirus","DS","DNA","enveloped",FALSE,FALSE,125000,0,0,0,2000,"virus","HP3","","","caprine herpesvirus 1","caprine herpesvirus 1","caprine herpesvirus 1","virus"
"crimean-congo hemorrhagic fever","capra hircus","PCR",2,"Mourya et al. 2012","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Bunyaviridae",NA,"Nairovirus","SS","RNA","enveloped",TRUE,TRUE,19950,0,1,1,2012,"virus","HP3","","","crimean-congo hemorrhagic fever virus","crimean-congo hemorrhagic fever","crimean-congo hemorrhagic fever virus","virus"
"dugbe","capra hircus","Antibodies",0,"Davies 1978","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Bunyaviridae",NA,"Nairovirus","SS","RNA","enveloped",TRUE,TRUE,19950,0,1,0,1978,"virus","HP3","","","dugbe virus","dugbe","dugbe virus","virus"
"epizootic hemorrhagic disease","capra hircus","Antibodies",0,"Nol et al. 2010","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,0,0,2010,"virus","HP3","","","epizootic hemorrhagic disease virus","epizootic hemorrhagic disease","epizootic hemorrhagic disease virus","virus"
"foot-and-mouth disease","capra hircus","Isolation",2,"Ghoneim et al. 2010","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Picornavirales","Picornaviridae",NA,"Aphthovirus","SS","RNA","non-enveloped",FALSE,TRUE,8159,0,1,1,2010,"virus","HP3","","","foot-and-mouth disease virus","foot-and-mouth disease","foot-and-mouth disease virus","virus"
"goatpox","capra hircus","Isolation",2,"Tulman et al. 2002","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Poxviridae","Chordopoxvirinae","Capripoxvirus","DS","DNA","enveloped",FALSE,TRUE,149599,0,0,0,2002,"virus","HP3","","","goatpox virus","goatpox","goatpox virus","virus"
"hepatitis e","capra hircus","Antibodies",0,"Meng et al.","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Hepeviridae",NA,"Hepevirus","SS","RNA","non-enveloped",FALSE,TRUE,7176,0,1,0,NA,"virus","HP3","","","hepatitis e virus","hepatitis e","hepatitis e virus","virus"
"ife","capra hircus","Antibodies",0,"Ezefeika et al. 1989","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Reoviridae",NA,"Orbivirus","DS","RNA","non-enveloped",FALSE,TRUE,19200,0,0,0,1989,"virus","HP3","","","ife virus","ife","ife virus","virus"
"jaagsiekte sheep retrovirus","capra hircus","Isolation",2,"York et al. 1992","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Retroviridae","Orthoretrovirinae","Betaretrovirus","SS","RNA","enveloped",FALSE,FALSE,7462,0,0,0,1992,"virus","HP3","","","jaagsiekte sheep retrovirus","jaagsiekte sheep retrovirus","jaagsiekte sheep retrovirus","virus"
"orf","capra hircus","PCR",2,"Vikoren et al. 2008","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Poxviridae","Chordopoxvirinae","Parapoxvirus","DS","DNA","enveloped",FALSE,TRUE,139962,0,1,1,2008,"virus","HP3","","","orf virus","orf","orf virus","virus"
"orungo","capra hircus","Antibodies",0,"Brown et al. 1991","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,1,0,1991,"virus","HP3","","","orungo virus","orungo","orungo virus","virus"
"ovine herpesvirus 2","capra hircus","PCR",2,"Jacobsen et al. 2007","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Herpesvirales","Herpesviridae","Gammaherpesvirinae","Rhadinovirus","DS","DNA","enveloped",FALSE,FALSE,135135,0,0,0,2007,"virus","HP3","","","ovine herpesvirus 2","ovine herpesvirus 2","ovine herpesvirus 2","virus"
"palyam","capra hircus","PCR",2,"Aradaib et al. 2009","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,19200,0,1,1,2009,"virus","HP3","","","palyam virus","palyam","palyam virus","virus"
"peste-des-petits-ruminants","capra hircus","Isolation",2,"Taylor & Abegunde 1978","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15948,0,0,0,1978,"virus","HP3","","","peste-des-petits-ruminants virus","peste-des-petits-ruminants","peste-des-petits-ruminants virus","virus"
"rabies","capra hircus","PCR",2,"Kuzmin et al. 2004","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Mononegavirales","Rhabdoviridae",NA,"Lyssavirus","SS","RNA","enveloped",FALSE,TRUE,11932,0,1,1,2004,"virus","HP3","","","rabies virus","rabies","rabies virus","virus"
"rift valley fever","capra hircus","PCR",2,"Andriamandimby et al. 2010","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Bunyaviridae",NA,"Phlebovirus","SS","RNA","enveloped",TRUE,TRUE,11979,0,1,1,2010,"virus","HP3","","","rift valley fever virus","rift valley","rift valley fever virus","virus"
"rinderpest","capra hircus","PCR",2,"Rossiter et al. 1989","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Mononegavirales","Paramyxoviridae","Paramyxovirinae","Morbillivirus","SS","RNA","enveloped",FALSE,TRUE,15882,0,0,0,1989,"virus","HP3","","","rinderpest virus","rinderpest","rinderpest virus","virus"
"sepik","capra hircus","Antibodies",0,"Olson et al. 1984","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10793,0,0,0,1984,"virus","HP3","","","sepik virus","sepik","sepik virus","virus"
"sheeppox","capra hircus","PCR",2,"Bhanuprakash et al. 2010","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Poxviridae","Chordopoxvirinae","Capripoxvirus","DS","DNA","enveloped",FALSE,TRUE,149955,0,0,0,2010,"virus","HP3","","","sheeppox virus","sheeppox","sheeppox virus","virus"
"suid herpesvirus 1","capra hircus","Cell culture, PCR",2,"Salwa 2004","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Herpesvirales","Herpesviridae","Alphaherpesvirinae","Varicellovirus","DS","DNA","enveloped",FALSE,FALSE,141126.5,0,1,0,2004,"virus","HP3","","","suid herpesvirus 1","suid herpesvirus 1","suid herpesvirus 1","virus"
"trubanaman","capra hircus","Antibodies",0,"Johansen et al. 2005","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Bunyaviridae",NA,"Unassigned","SS","RNA","enveloped",TRUE,TRUE,11803,0,1,0,2005,"virus","HP3","","","trubanaman virus","trubanaman","trubanaman virus","virus"
"wad medani","capra hircus","Antibodies",0,"Darwish et al. 1983","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Reoviridae","Sedoreovirinae","Orbivirus","DS","RNA","non-enveloped",TRUE,TRUE,18009,0,0,0,1983,"virus","HP3","","","wad medani virus","wad medani","wad medani virus","virus"
"wesselsbron","capra hircus","Antibodies",0,"Baba et al. 1994","CETARTIODACTYLA","BOVIDAE","Capra","hircus","Unassigned","Flaviviridae",NA,"Flavivirus","SS","RNA","enveloped",FALSE,TRUE,10814,0,1,1,1994,"virus","HP3","","","wesselsbron virus","wesselsbron","wesselsbron virus","virus"
