"Parasite","Host","ReferenceText","pmid","doi","title_pubMed"
"mesocestoides lineatus","vulpes vulpes","Magi et al. 2009b","19617506","10.7589/0090-3558-45.3.881","Endoparasites of red fox (Vulpes vulpes) in central Italy."
"mesocestoides lineatus","vulpes vulpes","Martinez-Carrasco et al. 2007",NA,NA,NA
"mesocestoides lineatus","vulpes vulpes","Meshgi et al. 2009",NA,NA,NA
"mesocestoides lineatus","vulpes vulpes","Shimalov and Shimalov 2003b","12474048","10.1007/s00436-002-0701-9","Helminth fauna of the red fox (Vulpes vulpes Linnaeus, 1758) in southern Belarus."
"mesocestoides lineatus","vulpes vulpes","Willingham et al. 1996","8960222","10.1017/S0022149X00015509","A helminthological survey of wild red foxes (Vulpes vulpes) from the metropolitan area of Copenhagen."
"mesocestoides litteratus","vulpes vulpes","Foronda et al. 2007","17436953","10.1645/GE-932R1.1","First larval record of Mesocestoides in carnivora of Tenerife (Canary Islands)."
"mesocestoides litteratus","vulpes vulpes","Literak et al. 2006",NA,NA,NA
"mesocestoides litteratus","vulpes vulpes","Martinez-Carrasco et al. 2007",NA,NA,NA
"mesocestoides litteratus","vulpes vulpes","Petavy et al. 1990","2344133","10.1051/parasite/1990651022","[Epidemiology of alveolar echinococcosis in France. 1. Intestinal helminths in the red fox (Vulpes vulpes L.) from Haute-Savoie]."
"mesocestoides sp.","vulpes vulpes","Al-Sabi et al. 2010","20372926","10.1007/s00436-010-1847-5","PCR detection of Angiostrongylus vasorum in faecal samples of dogs and foxes."
"mesocestoides sp.","vulpes vulpes","Calderini et al. 2009","19941652","10.1186/1746-6148-5-44","Investigation on the occurrence of Echinococcus multilocularis in Central Italy."
"mesocestoides sp.","vulpes vulpes","El-Shehabi et al. 1999","10540955","10.1007/s004360050660","Prevalence of intestinal helminths of dogs and foxes from Jordan."
"mesocestoides sp.","vulpes vulpes","Gortazar et al. 1998a",NA,NA,NA
"mesocestoides sp.","vulpes vulpes","Jankovska et al. 2010","19578999","10.1007/s00244-009-9355-2","Influence of parasitism on trace element contents in tissues of red fox (Vulpes vulpes) and its parasites Mesocestoides spp. (Cestoda) and Toxascaris leonina (Nematoda)."
"mesocestoides sp.","vulpes vulpes","Lassnig et al. 1998",NA,NA,NA
"mesocestoides sp.","vulpes vulpes","Miterpakova et al. 2009",NA,NA,NA
"mesocestoides sp.","vulpes vulpes","Papadopoulos et al. 1997","9705680","10.1017/S0022149X00015960","Helminths of foxes and other wild carnivores from rural areas in Greece."
"mesocestoides sp.","vulpes vulpes","Rajkovic-Janje et al. 2002",NA,NA,NA
"mesocestoides sp.","vulpes vulpes","Reperant et al. 2007","17393184","10.1007/s00436-007-0520-0","Influence of urbanization on the epidemiology of intestinal helminths of the red fox (Vulpes vulpes) in Geneva, Switzerland."
"mesocestoides sp.","vulpes vulpes","Saeed and Kapel 2006","17304794","10.1645/GE-720R.1","Population dynamics and epidemiology of Toxocara canis in Danish red foxes."
"mesocestoides sp.","vulpes vulpes","Saeed et al. 2006","16580775","10.1016/j.vetpar.2006.02.015","Helminths of red foxes (Vulpes vulpes) in Denmark."
"mesocestoides sp.","vulpes vulpes","Smith 1943",NA,NA,NA
"metagonimus takahashii","vulpes vulpes","Sato et al. 1999b","10651058","10.1292/jvms.61.1339","Helminth fauna of carnivores distributed in north-western Tohoku, Japan, with special reference to Mesocestoides paucitesticulus and Brachylaima tokudai."
"metagonimus yokogawai","vulpes vulpes","Sato et al. 1999a","10535507","10.1292/jvms.61.1023","Parasitological survey on wild carnivora in north-western Tohoku, Japan."
"metorchis albidus","vulpes vulpes","Gortazar et al. 1998a",NA,NA,NA
"metorchis albidus","vulpes vulpes","Rajkovic-Janje et al. 2002",NA,NA,NA
"metorchis bilis","vulpes vulpes","Schuster et al. 1999","9934964","10.1007/s004360050523","Liver fluke (Opisthorchiidae) findings in red foxes (Vulpes vulpes) in the eastern part of the Federal State Brandenburg, Germany--a contribution to the epidemiology of opisthorchiidosis."
"metorchis bilis","vulpes vulpes","Shimalov and Shimalov 2003b","12474048","10.1007/s00436-002-0701-9","Helminth fauna of the red fox (Vulpes vulpes Linnaeus, 1758) in southern Belarus."
"metorchis vulpis","vulpes vulpes","Di Cerbo et al. 2008a",NA,NA,NA
"metorchis vulpis","vulpes vulpes","Di Cerbo et al. 2008b",NA,NA,NA
"molineus barbatus","vulpes vulpes","Conti 1984",NA,NA,NA
"molineus legerae","vulpes vulpes","Di Cerbo et al. 2008a",NA,NA,NA
"molineus legerae","vulpes vulpes","Di Cerbo et al. 2008b",NA,NA,NA
"molineus legerae","vulpes vulpes","Sato et al. 1999b","10651058","10.1292/jvms.61.1339","Helminth fauna of carnivores distributed in north-western Tohoku, Japan, with special reference to Mesocestoides paucitesticulus and Brachylaima tokudai."
"molineus patens","vulpes vulpes","Shimalov and Shimalov 2003b","12474048","10.1007/s00436-002-0701-9","Helminth fauna of the red fox (Vulpes vulpes Linnaeus, 1758) in southern Belarus."
"molineus sp.","vulpes vulpes","Sato et al. 1999a","10535507","10.1292/jvms.61.1023","Parasitological survey on wild carnivora in north-western Tohoku, Japan."
"canine distemper","vulpes vulpes","Akerstedt et al. 2010","20688639","10.7589/0090-3558-46.2.474","Serosurvey for canine distemper virus, canine adenovirus, Leptospira interrogans, and Toxoplasma gondii in free-ranging canids in Scandinavia and Svalbard."
"canine distemper","vulpes vulpes","Almberg et al. 2009","19756151","10.1371/journal.pone.0007042","A serological survey of infectious disease in Yellowstone National Park's canid community."
"canine distemper","vulpes vulpes","Damien et al. 2002","12528458","10.7589/0090-3558-38.4.856","Prevalence of antibodies against canine distemper virus among red foxes in Luxembourg."
"canine distemper","vulpes vulpes","Frolich et al. 2000",NA,NA,NA
"canine distemper","vulpes vulpes","Lopez-Pena et al. 1994","8151832","10.7589/0090-3558-30.1.95","Detection of canine distemper viral antigen in foxes (Vulpes vulpes) in northwestern Spain."
"canine distemper","vulpes vulpes","Martella et al. 2002","12005452","10.1006/mcpr.2001.0387","Detection and genetic characterization of canine distemper virus (CDV) from free-ranging red foxes in Italy."
"canine distemper","vulpes vulpes","Millan et al. 2009c","18555712","10.1016/j.tvjl.2008.04.005","Disease threats to the endangered Iberian lynx (Lynx pardinus)."
"canine distemper","vulpes vulpes","Roscoe 1993","8355340","10.7589/0090-3558-29.3.390","Epizootiology of canine distemper in New Jersey raccoons."
"canine distemper","vulpes vulpes","Santos et al. 2009","19204354","10.7589/0090-3558-45.1.221","Serologic survey for canine distemper virus and canine parvovirus in free-ranging wild carnivores from Portugal."
"canine distemper","vulpes vulpes","Sobrino et al. 2008a","17646060","10.1016/j.vetmic.2007.06.014","Prevalence of antibodies against canine distemper virus and canine parvovirus among foxes and wolves from Spain."
"canine distemper","vulpes vulpes","Truyen et al. 1998","9825797","10.1017/S0950268898001319","Survey on viral pathogens in wild red foxes (Vulpes vulpes) in Germany with emphasis on parvoviruses and analysis of a DNA sequence from a red fox parvovirus."
"mosgovoyia pectinata","vulpes vulpes","Smith 1943",NA,NA,NA
"mycobacterium avium","vulpes vulpes","Beard et al. 1999",NA,NA,NA
"mycobacterium bovis","vulpes vulpes","Bruning-Fann et al. 2001","11272505","10.7589/0090-3558-37.1.58","Bovine tuberculosis in free-ranging carnivores from Michigan."
"mycobacterium bovis","vulpes vulpes","Delahay et al 2007","16434219","10.1016/j.tvjl.2005.11.011","Bovine tuberculosis infection in wild mammals in the South-West region of England: a survey of prevalence and a semi-quantitative assessment of the relative risks to cattle."
"mycobacterium bovis","vulpes vulpes","Martin-Atance et al. 2005","16107680","10.7589/0090-3558-41.2.435","Bovine tuberculosis in a free ranging red fox (Vulpes vulpes) from Doñana National Park (Spain)."
"mycobacterium bovis","vulpes vulpes","Martin-Atance et al. 2006","17092907","10.7589/0090-3558-42.3.704","Antibodies to Mycobacterium bovis in wild carnivores from Doñana National Park (Spain)."
"mycobacterium bovis","vulpes vulpes","Millan et al. 2008","18689657","10.7589/0090-3558-44.3.701","Disseminated bovine tuberculosis in a wild red fox (Vulpes vulpes) in southern Spain."
"mycobacterium bovis","vulpes vulpes","Millan et al. 2009c","18555712","10.1016/j.tvjl.2008.04.005","Disease threats to the endangered Iberian lynx (Lynx pardinus)."
"mycobacterium bovis","vulpes vulpes","Romero et al. 2008","18539410","10.1016/j.vetmic.2008.04.032","Persistence and molecular evolution of Mycobacterium bovis population from cattle and wildlife in Doñana National Park revealed by genotype variation."
"mycobacterium bovis","vulpes vulpes","Zanella et al 2008","18263825","10.7589/0090-3558-44.1.99","Mycobacterium bovis in wildlife in France."
"mycobacterium tuberculosis","vulpes vulpes","Bruning-Fann et al. 1998","9706576","10.7589/0090-3558-47.632.636","Mycobacterium bovis in coyotes from Michigan."
"neospora caninum","vulpes vulpes","Almeria et al. 2002",NA,NA,NA
"neospora caninum","vulpes vulpes","Hamilton et al. 2005","15893084","10.1016/j.vetpar.2005.03.020","Prevalence of antibodies to Toxoplasmagondii and Neosporacaninum in red foxes (Vulpesvulpes) from around the UK."
"neospora caninum","vulpes vulpes","Hurkova and Modry 2006","16472923","10.1016/j.vetpar.2006.01.005","PCR detection of Neospora caninum, Toxoplasma gondii and Encephalitozoon cuniculi in brains of wild carnivores."
"neospora caninum","vulpes vulpes","Jakubek et al. 2007","17045742","10.1016/j.vetpar.2006.09.011","Prevalence of antibodies against Toxoplasma gondii and Neospora caninum in Hungarian red foxes (Vulpes vulpes)."
"neospora caninum","vulpes vulpes","Marco et al 2008a","18280664","10.1016/j.vetpar.2008.01.003","High seroprevalence of Neospora caninum in the red fox (Vulpes vulpes) in the Pyrenees (NE Spain)."
"neospora caninum","vulpes vulpes","Murphy et al. 2007","17368946","10.1016/j.vetpar.2007.02.017","Study on the prevalence of Toxoplasma gondii and Neospora caninum and molecular evidence of Encephalitozoon cuniculi and Encephalitozoon (Septata) intestinalis infections in red foxes (Vulpes vulpes) in rural Ireland."
"neospora caninum","vulpes vulpes","Sobrino et al. 2008b","18556128","10.1016/j.vetpar.2008.05.009","Neospora caninum antibodies in wild carnivores from Spain."
"neospora caninum","vulpes vulpes","Steinman et al. 2006","16436314","10.1016/j.vetpar.2005.12.022","Low seroprevalence of antibodies to Neospora caninum in wild canids in Israel."
"neospora caninum","vulpes vulpes","Wolfe et al. 2001a","11808662","10.1136/vr.149.25.759","Red foxes (Vulpes vulpes) in Ireland as hosts for parasites of potential zoonotic and veterinary significance."
"not identified to genus","vulpes vulpes","Balestrieri et al. 2006",NA,NA,NA
"not identified to genus","vulpes vulpes","Conti 1984",NA,NA,NA
"not identified to genus","vulpes vulpes","Erickson 1944",NA,NA,NA
"not identified to genus","vulpes vulpes","Lahmar et al. 2009","19508750","10.1179/136485909X440836","Echinococcus in the wild carnivores and stray dogs of northern Tunisia: the results of a pilot survey."
"not identified to genus","vulpes vulpes","Lassnig et al. 1998",NA,NA,NA
"not identified to genus","vulpes vulpes","Miterpakova et al. 2009",NA,NA,NA
"not identified to genus","vulpes vulpes","Petavy et al. 1990","2344133","10.1051/parasite/1990651022","[Epidemiology of alveolar echinococcosis in France. 1. Intestinal helminths in the red fox (Vulpes vulpes L.) from Haute-Savoie]."
"not identified to genus","vulpes vulpes","Shimalov and Shimalov 2003b","12474048","10.1007/s00436-002-0701-9","Helminth fauna of the red fox (Vulpes vulpes Linnaeus, 1758) in southern Belarus."
"not identified to genus","vulpes vulpes","Stieger et al. 2002","12118719","10.1017/S0031182002001749","Spatial and temporal aspects of urban transmission of Echinococcus multilocularis."
"ochrobactrum anthropi","vulpes vulpes","Scholz et al. 2009","18973444","10.1089/vbz.2008.0036","Isolation of Brucella microti from mandibular lymph nodes of red foxes, Vulpes vulpes, in lower Austria."
"ollulanus tricuspis","vulpes vulpes","Lassnig et al. 1998",NA,NA,NA
"oncicola canis","vulpes vulpes","Meshgi et al. 2009",NA,NA,NA
"oncicola canis","vulpes vulpes","Papadopoulos et al. 1997","9705680","10.1017/S0022149X00015960","Helminths of foxes and other wild carnivores from rural areas in Greece."
"opisthorchis felineus","vulpes vulpes","Miterpakova et al. 2009",NA,NA,NA
"opisthorchis felineus","vulpes vulpes","Schuster et al. 1999","9934964","10.1007/s004360050523","Liver fluke (Opisthorchiidae) findings in red foxes (Vulpes vulpes) in the eastern part of the Federal State Brandenburg, Germany--a contribution to the epidemiology of opisthorchiidosis."
"opisthorchis felineus","vulpes vulpes","Shimalov and Shimalov 2003b","12474048","10.1007/s00436-002-0701-9","Helminth fauna of the red fox (Vulpes vulpes Linnaeus, 1758) in southern Belarus."
"opisthorchis sp.","vulpes vulpes","Calderini et al. 2009","19941652","10.1186/1746-6148-5-44","Investigation on the occurrence of Echinococcus multilocularis in Central Italy."
"sp.","vulpes vulpes","Henning et al. 1995",NA,NA,NA
"sp.","vulpes vulpes","Muller et al. 1996","8722277","10.7589/0090-3558-32.2.348","Seroprevalence of orthopox virus specific antibodies in red foxes (Vulpes vulpes) in the Federal State Brandenburg, Germany."
"sp.","vulpes vulpes","Tryland et al. 1998","9706553","10.7589/0090-3558-34.3.443","Antibodies against orthopoxviruses in wild carnivores from Fennoscandia."
"oslerus pararostratus","vulpes vulpes","Conti 1984",NA,NA,NA
"oxynema crassispiculum","vulpes vulpes","Di Cerbo et al. 2008a",NA,NA,NA
"oxynema crassispiculum","vulpes vulpes","Di Cerbo et al. 2008b",NA,NA,NA
"oxynema crassispiculum","vulpes vulpes","Martinez-Carrasco et al. 2007",NA,NA,NA
"oxynema sp.","vulpes vulpes","El-Shehabi et al. 1999","10540955","10.1007/s004360050660","Prevalence of intestinal helminths of dogs and foxes from Jordan."
"pachysentis sp.","vulpes vulpes","Papadopoulos et al. 1997","9705680","10.1017/S0022149X00015960","Helminths of foxes and other wild carnivores from rural areas in Greece."
"paragonimus kellicotti","vulpes vulpes","Erickson 1944",NA,NA,NA
"paragonimus kellicotti","vulpes vulpes","Stuht and Youatt 1972",NA,NA,NA
"sp.","vulpes vulpes","Millan et al. 2009c","18555712","10.1016/j.tvjl.2008.04.005","Disease threats to the endangered Iberian lynx (Lynx pardinus)."
"pharyngostomum cordatum","vulpes vulpes","Di Cerbo et al. 2008a",NA,NA,NA
"physaloptera rara","vulpes vulpes","Conti 1984",NA,NA,NA
"physaloptera rara","vulpes vulpes","Erickson 1944",NA,NA,NA
"physaloptera rara","vulpes vulpes","Miterpakova et al. 2009",NA,NA,NA
"physaloptera rara","vulpes vulpes","Smith 1943",NA,NA,NA
"physaloptera sibirica","vulpes vulpes","Ferroglio et al. 2009","19411141","10.1016/j.vetpar.2009.04.005","Physaloptera sibirica in foxes and badgers from the Western Alps (Italy)."
"physaloptera sp.","vulpes vulpes","Erickson 1944",NA,NA,NA
"physaloptera sp.","vulpes vulpes","Rodriguez and Carbonell 1998",NA,NA,NA
"plagiorchis elegans","vulpes vulpes","Di Cerbo et al. 2008a",NA,NA,NA
"plagiorchis elegans","vulpes vulpes","Di Cerbo et al. 2008b",NA,NA,NA
"plagiorhynchus cylindraceus","vulpes vulpes","Richards et al. 1995",NA,NA,NA
"polymorphus sp.","vulpes vulpes","Saeed et al. 2006","16580775","10.1016/j.vetpar.2006.02.015","Helminths of red foxes (Vulpes vulpes) in Denmark."
"polymorphus sp.","vulpes vulpes","Willingham et al. 1996","8960222","10.1017/S0022149X00015509","A helminthological survey of wild red foxes (Vulpes vulpes) from the metropolitan area of Copenhagen."
"carnivore protoparvovirus 1","vulpes vulpes","Almberg et al. 2009","19756151","10.1371/journal.pone.0007042","A serological survey of infectious disease in Yellowstone National Park's canid community."
"carnivore protoparvovirus 1","vulpes vulpes","Frolich et al. 2005","15827228","10.7589/0090-3558-41.1.231","Epizootiologic investigations of parvovirus infections in free-ranging carnivores from Germany."
"carnivore protoparvovirus 1","vulpes vulpes","Santos et al. 2009","19204354","10.7589/0090-3558-45.1.221","Serologic survey for canine distemper virus and canine parvovirus in free-ranging wild carnivores from Portugal."
"carnivore protoparvovirus 1","vulpes vulpes","Sobrino et al. 2008a","17646060","10.1016/j.vetmic.2007.06.014","Prevalence of antibodies against canine distemper virus and canine parvovirus among foxes and wolves from Spain."
"carnivore protoparvovirus 1","vulpes vulpes","Truyen et al. 1998","9825797","10.1017/S0950268898001319","Survey on viral pathogens in wild red foxes (Vulpes vulpes) in Germany with emphasis on parvoviruses and analysis of a DNA sequence from a red fox parvovirus."
"protospirura sp.","vulpes vulpes","El-Shehabi et al. 1999","10540955","10.1007/s004360050660","Prevalence of intestinal helminths of dogs and foxes from Jordan."
"pseudamphistomum truncatum","vulpes vulpes","Al-Sabi et al. 2010","20372926","10.1007/s00436-010-1847-5","PCR detection of Angiostrongylus vasorum in faecal samples of dogs and foxes."
"pseudamphistomum truncatum","vulpes vulpes","Saeed et al. 2006","16580775","10.1016/j.vetpar.2006.02.015","Helminths of red foxes (Vulpes vulpes) in Denmark."
"pseudamphistomum truncatum","vulpes vulpes","Schuster et al. 1999","9934964","10.1007/s004360050523","Liver fluke (Opisthorchiidae) findings in red foxes (Vulpes vulpes) in the eastern part of the Federal State Brandenburg, Germany--a contribution to the epidemiology of opisthorchiidosis."
"pseudamphistomum truncatum","vulpes vulpes","Shimalov and Shimalov 2003b","12474048","10.1007/s00436-002-0701-9","Helminth fauna of the red fox (Vulpes vulpes Linnaeus, 1758) in southern Belarus."
"pterygodermatites affinis","vulpes vulpes","Di Cerbo et al. 2008b",NA,NA,NA
"pterygodermatites affinis","vulpes vulpes","Gortazar et al. 1998a",NA,NA,NA
"pterygodermatites affinis","vulpes vulpes","Martinez-Carrasco et al. 2007",NA,NA,NA
"pterygodermatites affinis","vulpes vulpes","Petavy et al. 1990","2344133","10.1051/parasite/1990651022","[Epidemiology of alveolar echinococcosis in France. 1. Intestinal helminths in the red fox (Vulpes vulpes L.) from Haute-Savoie]."
"rictularia sp.","vulpes vulpes","Papadopoulos et al. 1997","9705680","10.1017/S0022149X00015960","Helminths of foxes and other wild carnivores from rural areas in Greece."
"salmonella enterica","vulpes vulpes","Handeland et al. 2008","18547749","10.1016/j.vetmic.2008.05.002","Natural and experimental Salmonella Typhimurium infections in foxes (Vulpes vulpes)."
"salmonella enterica","vulpes vulpes","Millan et al. 2009c","18555712","10.1016/j.tvjl.2008.04.005","Disease threats to the endangered Iberian lynx (Lynx pardinus)."
"salmonella sp.","vulpes vulpes","Millan et al. 2004a","15861885","10.20506/rst.23.3.1529","Salmonella isolates from wild birds and mammals in the Basque Country (Spain)."
"sarcocystis sp.","vulpes vulpes","Khan and Evans 2006","16884021","10.1645/GE-753R1.1","Prevalence of Sarcocystis spp. in two subspecies of caribou (Rangifer tarandus) in Newfoundland and Labrador, and foxes (Vulpes vulpes), wolves (Canis lupus), and husky dogs (Canis familiaris) as potential definitive hosts."
"sarcocystis sp.","vulpes vulpes","Kubo et al. 2009a","19841942","10.1007/s00436-009-1653-0","Muscular sarcocystosis in wild carnivores in Honshu, Japan."
"sarcocystis sp.","vulpes vulpes","Wolfe et al. 2001a","11808662","10.1136/vr.149.25.759","Red foxes (Vulpes vulpes) in Ireland as hosts for parasites of potential zoonotic and veterinary significance."
"spirocerca lupi","vulpes vulpes","Conti 1984",NA,NA,NA
"spirocerca lupi","vulpes vulpes","Gortazar et al. 1998a",NA,NA,NA
"spirocerca lupi","vulpes vulpes","Miterpakova et al. 2009",NA,NA,NA
"spirocerca lupi","vulpes vulpes","Segovia et al. 2001a",NA,NA,NA
"spirocerca lupi","vulpes vulpes","Shimalov and Shimalov 2003b","12474048","10.1007/s00436-002-0701-9","Helminth fauna of the red fox (Vulpes vulpes Linnaeus, 1758) in southern Belarus."
"spirometra erinaceieuropaei","vulpes vulpes","Sato et al. 1999a","10535507","10.1292/jvms.61.1023","Parasitological survey on wild carnivora in north-western Tohoku, Japan."
"spirometra erinaceieuropaei","vulpes vulpes","Sato et al. 1999b","10651058","10.1292/jvms.61.1339","Helminth fauna of carnivores distributed in north-western Tohoku, Japan, with special reference to Mesocestoides paucitesticulus and Brachylaima tokudai."
"spirometra erinaceieuropaei","vulpes vulpes","Shimalov and Shimalov 2003b","12474048","10.1007/s00436-002-0701-9","Helminth fauna of the red fox (Vulpes vulpes Linnaeus, 1758) in southern Belarus."
"spirometra sp.","vulpes vulpes","Papadopoulos et al. 1997","9705680","10.1017/S0022149X00015960","Helminths of foxes and other wild carnivores from rural areas in Greece."
"strongyloides sp.","vulpes vulpes","Lahmar et al. 2009","19508750","10.1179/136485909X440836","Echinococcus in the wild carnivores and stray dogs of northern Tunisia: the results of a pilot survey."
"strongyloides sp.","vulpes vulpes","Magi et al. 2009b","19617506","10.7589/0090-3558-45.3.881","Endoparasites of red fox (Vulpes vulpes) in central Italy."
"strongyloides sp.","vulpes vulpes","Miterpakova et al. 2009",NA,NA,NA
"strongyloides vulpis","vulpes vulpes","Shimalov and Shimalov 2003b","12474048","10.1007/s00436-002-0701-9","Helminth fauna of the red fox (Vulpes vulpes Linnaeus, 1758) in southern Belarus."
"taenia crassiceps","vulpes vulpes","Di Cerbo et al. 2008a",NA,NA,NA
"taenia crassiceps","vulpes vulpes","Lassnig et al. 1998",NA,NA,NA
"taenia crassiceps","vulpes vulpes","Papadopoulos et al. 1997","9705680","10.1017/S0022149X00015960","Helminths of foxes and other wild carnivores from rural areas in Greece."
"taenia crassiceps","vulpes vulpes","Petavy et al. 1990","2344133","10.1051/parasite/1990651022","[Epidemiology of alveolar echinococcosis in France. 1. Intestinal helminths in the red fox (Vulpes vulpes L.) from Haute-Savoie]."
"taenia crassiceps","vulpes vulpes","Saeed et al. 2006","16580775","10.1016/j.vetpar.2006.02.015","Helminths of red foxes (Vulpes vulpes) in Denmark."
"taenia crassiceps","vulpes vulpes","Shimalov and Shimalov 2003b","12474048","10.1007/s00436-002-0701-9","Helminth fauna of the red fox (Vulpes vulpes Linnaeus, 1758) in southern Belarus."
"taenia hydatigena","vulpes vulpes","Hackett and Walters 1980",NA,NA,NA
"taenia hydatigena","vulpes vulpes","Meshgi et al. 2009",NA,NA,NA
"taenia hydatigena","vulpes vulpes","Papadopoulos et al. 1997","9705680","10.1017/S0022149X00015960","Helminths of foxes and other wild carnivores from rural areas in Greece."
"taenia hydatigena","vulpes vulpes","Richards et al. 1995",NA,NA,NA
"taenia hydatigena","vulpes vulpes","Saeed et al. 2006","16580775","10.1016/j.vetpar.2006.02.015","Helminths of red foxes (Vulpes vulpes) in Denmark."
"taenia hydatigena","vulpes vulpes","Shimalov and Shimalov 2003b","12474048","10.1007/s00436-002-0701-9","Helminth fauna of the red fox (Vulpes vulpes Linnaeus, 1758) in southern Belarus."
"taenia multiceps","vulpes vulpes","Gicik et al. 2009",NA,NA,NA
"taenia multiceps","vulpes vulpes","Gortazar et al. 1998a",NA,NA,NA
"taenia multiceps","vulpes vulpes","Hackett and Walters 1980",NA,NA,NA
"taenia pisiformis","vulpes vulpes","Criado-Fornelio et al. 2000",NA,NA,NA
"taenia pisiformis","vulpes vulpes","Erickson 1944",NA,NA,NA
"taenia pisiformis","vulpes vulpes","Gicik et al. 2009",NA,NA,NA
"taenia pisiformis","vulpes vulpes","Gortazar et al. 1998a",NA,NA,NA
"taenia pisiformis","vulpes vulpes","Hackett and Walters 1980",NA,NA,NA
"taenia pisiformis","vulpes vulpes","Lassnig et al. 1998",NA,NA,NA
"taenia pisiformis","vulpes vulpes","Martinez-Carrasco et al. 2007",NA,NA,NA
"taenia pisiformis","vulpes vulpes","Richards et al. 1995",NA,NA,NA
"taenia pisiformis","vulpes vulpes","Saeed et al. 2006","16580775","10.1016/j.vetpar.2006.02.015","Helminths of red foxes (Vulpes vulpes) in Denmark."
"taenia pisiformis","vulpes vulpes","Sato et al. 1999a","10535507","10.1292/jvms.61.1023","Parasitological survey on wild carnivora in north-western Tohoku, Japan."
"taenia pisiformis","vulpes vulpes","Sato et al. 1999b","10651058","10.1292/jvms.61.1339","Helminth fauna of carnivores distributed in north-western Tohoku, Japan, with special reference to Mesocestoides paucitesticulus and Brachylaima tokudai."
"taenia pisiformis","vulpes vulpes","Shimalov and Shimalov 2003b","12474048","10.1007/s00436-002-0701-9","Helminth fauna of the red fox (Vulpes vulpes Linnaeus, 1758) in southern Belarus."
"taenia pisiformis","vulpes vulpes","Smith et al. 2003","14651882","10.1016/j.vetpar.2003.09.017","Prevalence of zoonotic important parasites in the red fox (Vulpes vulpes) in Great Britain."
"taenia polyacantha","vulpes vulpes","Gortazar et al. 1998a",NA,NA,NA
"taenia polyacantha","vulpes vulpes","Lassnig et al. 1998",NA,NA,NA
"taenia polyacantha","vulpes vulpes","Petavy et al. 1990","2344133","10.1051/parasite/1990651022","[Epidemiology of alveolar echinococcosis in France. 1. Intestinal helminths in the red fox (Vulpes vulpes L.) from Haute-Savoie]."
"taenia polyacantha","vulpes vulpes","Sato et al. 1999a","10535507","10.1292/jvms.61.1023","Parasitological survey on wild carnivora in north-western Tohoku, Japan."
"taenia polyacantha","vulpes vulpes","Shimalov and Shimalov 2003b","12474048","10.1007/s00436-002-0701-9","Helminth fauna of the red fox (Vulpes vulpes Linnaeus, 1758) in southern Belarus."
"taenia serialis","vulpes vulpes","Erickson 1944",NA,NA,NA
"taenia sp.","vulpes vulpes","Al-Sabi et al. 2010","20372926","10.1007/s00436-010-1847-5","PCR detection of Angiostrongylus vasorum in faecal samples of dogs and foxes."
"taenia sp.","vulpes vulpes","Calderini et al. 2009","19941652","10.1186/1746-6148-5-44","Investigation on the occurrence of Echinococcus multilocularis in Central Italy."
"taenia sp.","vulpes vulpes","Conti 1984",NA,NA,NA
"taenia sp.","vulpes vulpes","Di Cerbo et al. 2008b",NA,NA,NA
"taenia sp.","vulpes vulpes","Dubinsky et al. 1999",NA,NA,NA
"taenia sp.","vulpes vulpes","Erickson 1944",NA,NA,NA
"taenia sp.","vulpes vulpes","Gicik et al. 2009",NA,NA,NA
"taenia sp.","vulpes vulpes","Lassnig et al. 1998",NA,NA,NA
"taenia sp.","vulpes vulpes","Machnicka et al. 2003","14530971","10.1007/s00436-003-0994-3","Detection of Echinococcus multilocularis antigens in faeces by ELISA."
"taenia sp.","vulpes vulpes","Papadopoulos et al. 1997","9705680","10.1017/S0022149X00015960","Helminths of foxes and other wild carnivores from rural areas in Greece."
"taenia sp.","vulpes vulpes","Rajkovic-Janje et al. 2002",NA,NA,NA
"taenia sp.","vulpes vulpes","Reperant et al. 2007","17393184","10.1007/s00436-007-0520-0","Influence of urbanization on the epidemiology of intestinal helminths of the red fox (Vulpes vulpes) in Geneva, Switzerland."
"taenia sp.","vulpes vulpes","Rodriguez and Carbonell 1998",NA,NA,NA
"taenia sp.","vulpes vulpes","Saeed and Kapel 2006","17304794","10.1645/GE-720R.1","Population dynamics and epidemiology of Toxocara canis in Danish red foxes."
"taenia sp.","vulpes vulpes","Saeed et al. 2006","16580775","10.1016/j.vetpar.2006.02.015","Helminths of red foxes (Vulpes vulpes) in Denmark."
"taenia sp.","vulpes vulpes","Smith 1943",NA,NA,NA
"taenia sp.","vulpes vulpes","Smith et al. 2003","14651882","10.1016/j.vetpar.2003.09.017","Prevalence of zoonotic important parasites in the red fox (Vulpes vulpes) in Great Britain."
"taenia sp.","vulpes vulpes","Vervaeke et al. 2005",NA,NA,NA
"taenia sp.","vulpes vulpes","Willingham et al. 1996","8960222","10.1017/S0022149X00015509","A helminthological survey of wild red foxes (Vulpes vulpes) from the metropolitan area of Copenhagen."
"taenia sp.","vulpes vulpes","Wolfe et al. 2001a","11808662","10.1136/vr.149.25.759","Red foxes (Vulpes vulpes) in Ireland as hosts for parasites of potential zoonotic and veterinary significance."
"theileria annae","vulpes vulpes","Clancey et al. 2010","20688661","10.7589/0090-3558-46.2.615","Babesia (Theileria) annae in a red fox (Vulpes vulpes) from Prince Edward Island, Canada."
