"Pathogen_Original","InAssoc","Pathogen_Harmonised"
"iotapapillomavirus 1",FALSE,""
"ippy mammarenavirus",FALSE,""
"irkut lyssavirus",FALSE,""
"isfahan vesiculovirus",FALSE,""
"isla vista hantavirus",FALSE,""
"jaagsiekte sheep retrovirus",TRUE,"jaagsiekte sheep retrovirus"
"japanese encephalitis",TRUE,"japanese encephalitis"
"jugra",TRUE,"jugra"
"junin mammarenavirus",FALSE,""
"jutiapa",TRUE,"jutiapa"
"kadam",FALSE,""
"kaeng khoi orthobunyavirus",FALSE,""
"kairi orthobunyavirus",FALSE,""
"kappapapillomavirus 1",FALSE,""
"kappapapillomavirus 2",FALSE,""
"kedougou",FALSE,""
"khabarovsk hantavirus",FALSE,""
"khujand lyssavirus",FALSE,""
"kirsten murine sarcoma",FALSE,""
"kokobera",TRUE,"kokobera"
"kotonkan ephemerovirus",FALSE,""
"koutango",TRUE,"koutango"
"kyasanur forest disease",TRUE,"kyasanur forest disease"
"lactate dehydrogenase-elevating",TRUE,"lactate dehydrogenase-elevating"
"lagos bat lyssavirus",FALSE,""
"laguna negra hantavirus",FALSE,""
"lambdapapillomavirus 1",FALSE,""
"lambdapapillomavirus 4",FALSE,""
"lambdapapillomavirus 5",FALSE,""
"langur",TRUE,"langur"
"lassa mammarenavirus",FALSE,""
"latino mammarenavirus",FALSE,""
"lebombo",TRUE,"lebombo"
"leporid alphaherpesvirus 4",FALSE,""
"lloviu cuevavirus",FALSE,""
"louping ill",TRUE,"louping ill"
"lujo mammarenavirus",FALSE,""
"lumpy skin disease",TRUE,"lumpy skin disease"
"luna mammarenavirus",FALSE,""
"lymphocytic choriomeningitis mammarenavirus",FALSE,""
"m'poko orthobunyavirus",FALSE,""
"macaca mulatta polyomavirus 1",TRUE,"macaca mulatta polyomavirus 1"
"macacine alphaherpesvirus 1",FALSE,""
"macacine betaherpesvirus 3",FALSE,""
"macacine gammaherpesvirus 4",FALSE,""
"macacine gammaherpesvirus 5",FALSE,""
"macaque simian foamy",TRUE,"macaque simian foamy"
"machupo mammarenavirus",FALSE,""
"macropodid alphaherpesvirus 1",FALSE,""
"macropodid alphaherpesvirus 2",FALSE,""
"madariaga",FALSE,""
"madrid orthobunyavirus",FALSE,""
"main drain orthobunyavirus",FALSE,""
"mamastrovirus 1",TRUE,"mamastrovirus 1"
"mamastrovirus 10",FALSE,""
"mamastrovirus 11",FALSE,""
"mamastrovirus 12",FALSE,""
"mamastrovirus 13",FALSE,""
"mamastrovirus 14",FALSE,""
"mamastrovirus 15",FALSE,""
"mamastrovirus 16",FALSE,""
"mamastrovirus 17",FALSE,""
"mamastrovirus 18",FALSE,""
"mamastrovirus 19",FALSE,""
"mamastrovirus 2",FALSE,""
"mamastrovirus 3",FALSE,""
"mamastrovirus 4",FALSE,""
