Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
acidovorax avenae,Bacteria,bromus catharticus,Higher Plants,1,0,19848917,
acidovorax avenae,Bacteria,eleusine coracana,Higher Plants,2,0,89214128;89214134,
acidovorax avenae,Bacteria,oryza sativa,Higher Plants,38,0,19848915;89214126;218668477;218668479;218668601;218668603;218668605;218668685;218668687;218668805;218668807;218668809;218668889;218668891;218669011;218669013;218669015;218669095;218669097;218669215;218669217;218669219;218669299;218669301;218669423;218669425;218669427;218669507;218669509;218669631;218669633;218669635;223471424;223471426;223471548;223471550;223471552;343198815,
acidovorax avenae,Bacteria,sorghum bicolor,Higher Plants,7,0,218668553;218668757;218668963;218669167;218669375;218669583;223471500,
acidovorax avenae,Bacteria,strelitzia nicolai,Higher Plants,1,0,126023620,
acidovorax avenae,Bacteria,zea mays,Higher Plants,3,0,19848916;89214131;165882973,
acidovorax citrulli,Bacteria,citrullus lanatus,Higher Plants,457,0,89214130;218668475;218668481;218668485;218668489;218668495;218668497;218668499;218668501;218668503;218668505;218668507;218668509;218668511;218668513;218668515;218668517;218668519;218668521;218668523;218668527;218668529;218668531;218668533;218668535;218668537;218668539;218668541;218668543;218668545;218668547;218668549;218668551;218668587;218668597;218668599;218668609;218668611;218668613;218668615;218668617;218668619;218668621;218668623;218668625;218668627;218668629;218668631;218668633;218668635;218668639;218668641;218668643;218668647;218668649;218668653;218668655;218668661;218668663;218668665;218668667;218668669;218668675;218668677;218668679;218668681;218668683;218668689;218668693;218668695;218668701;218668703;218668705;218668707;218668709;218668711;218668713;218668715;218668717;218668719;218668721;218668723;218668725;218668727;218668729;218668731;218668733;218668735;218668737;218668739;218668741;218668743;218668745;218668747;218668749;218668751;218668753;218668755;218668791;218668801,
acidovorax citrulli,Bacteria,cucumis melo,Higher Plants,168,0,218668555;218668557;218668559;218668561;218668563;218668565;218668567;218668569;218668571;218668573;218668579;218668581;218668583;218668585;218668589;218668591;218668593;218668595;218668637;218668645;218668651;218668657;218668671;218668673;218668759;218668761;218668763;218668765;218668767;218668769;218668771;218668773;218668775;218668777;218668783;218668785;218668787;218668789;218668793;218668795;218668797;218668799;218668841;218668849;218668855;218668861;218668875;218668877;218668965;218668967;218668969;218668971;218668973;218668975;218668977;218668979;218668981;218668983;218668989;218668991;218668993;218668995;218668999;218669001;218669003;218669005;218669047;218669055;218669061;218669067;218669081;218669083;218669169;218669171;218669173;218669175;218669177;218669179;218669181;218669183;218669185;218669187;218669193;218669195;218669197;218669199;218669203;218669205;218669207;218669209;218669251;218669259;218669265;218669271;218669285;218669287;218669377;218669379;218669381;218669383,
acidovorax defluvii,Bacteria,robinia pseudoacacia,Higher Plants,1,0,85815967,
acidovorax oryzae,Bacteria,oryza sativa,Higher Plants,1,0,89214132,
