Cargo,Cargo classification,Carrier,Carrier classification,Sequences count,Publications count,Sequences,Publications
sutterella sanguinus,Bacteria,homo sapiens,Human,1,0,121487604,
sutterella stercoricanis,Bacteria,canis lupus,Mammal,2,0,53127617;219878461,
sutterella stercoricanis,Bacteria,canis lupus familiaris,Domestic,2,0,53127617;219878461,
sutterella wadsworthensis,Bacteria,homo sapiens,Human,13,0,355430730;355430732;355430734;355430736;355430738;355430740;355430742;355430744;355430746;355430748;355430750;355430752;355430754,
swaminathania salitolerans,Bacteria,ixora coccinea,Higher Plants,1,0,217272704,
swaminathania salitolerans,Bacteria,oryza coarctata,Higher Plants,3,0,18072152;18072153;219857628,
swan circovirus,Virus,cygnus olor,Aves,2,0,156079712;156079715,
sweet potato chlorotic fleck virus,Virus,ipomoea batatas,Higher Plants,13,0,157488560;175940563;175940569;175940572;175940575;175940578;175940581;175940584;175940587;175940590;175940593;175940596;175940599,
sweet potato chlorotic stunt virus,Virus,hewittia sublobata,Higher Plants,2,0,312183888;312183943,
sweet potato chlorotic stunt virus,Virus,ipomoea batatas,Higher Plants,116,0,8099655;24940294;73852990;73852992;73852994;115342792;115342794;115342796;115342798;115342800;115342802;115342804;115342806;115342808;115342810;115342812;115342814;115342816;115342818;115342820;115342822;115342824;115342826;115342828;115342830;115342832;115342834;115342836;115342838;115342840;115342842;115342844;115342846;115342848;115342850;115342852;115342854;115342856;115342858;115342860;115342862;115342864;115342866;115342868;115342870;115342872;226452138;226452142;226452146;281334057;281334062;306451167;312183695;312183699;312183707;312183711;312183719;312183723;312183728;312183733;312183738;312183743;312183748;312183758;312183773;312183783;312183788;312183793;312183798;312183803;312183808;312183813;312183818;312183823;312183828;312183838;312183848;312183863;312183893;312183898;312183903;312183908;312183918;312183923;312183938;312183953;312183963;312183998;327506435;327506440;346995673;346995676;346995679;346995682;346995685;346995688;346995691;356494304;356494306;356494308,
sweet potato chlorotic stunt virus,Virus,ipomoea cairica,Higher Plants,3,0,312183843;312183868;312183933,
sweet potato chlorotic stunt virus,Virus,ipomoea hederifolia,Higher Plants,1,0,312183948,
sweet potato chlorotic stunt virus,Virus,ipomoea indica,Higher Plants,5,0,312183878;312183913;312183928;312184008;312184013,
sweet potato chlorotic stunt virus,Virus,ipomoea obscura,Higher Plants,3,0,312183691;312183715;312183993,
sweet potato chlorotic stunt virus,Virus,ipomoea repens,Higher Plants,1,0,312183768,
sweet potato chlorotic stunt virus,Virus,ipomoea rubens,Higher Plants,1,0,312183778,
sweet potato chlorotic stunt virus,Virus,ipomoea setosa,Higher Plants,2,0,312183763;312184003,
sweet potato chlorotic stunt virus,Virus,ipomoea sinensis,Higher Plants,4,0,312183703;312183968;312183973;312183983,
sweet potato chlorotic stunt virus,Virus,ipomoea spathulata,Higher Plants,1,0,312183753,
sweet potato chlorotic stunt virus,Virus,ipomoea stenobasis,Higher Plants,1,0,312183978,
sweet potato chlorotic stunt virus,Virus,ipomoea tenuirostris,Higher Plants,3,0,312183858;312183873;312183958,
sweet potato chlorotic stunt virus,Virus,ipomoea wightii,Higher Plants,1,0,312183883,
sweet potato chlorotic stunt virus,Virus,lepistemon owariensis,Higher Plants,3,0,312183833;312183853;312183988,
sweet potato feathery mottle virus,Virus,hewittia sublobata,Higher Plants,4,0,142933702;142933970;224589788;224589798,
sweet potato feathery mottle virus,Virus,ipomoea alba,Higher Plants,1,0,226452148,
sweet potato feathery mottle virus,Virus,ipomoea batatas,Higher Plants,74,0,24940288;24940290;29372737;29372739;29466290;29466292;29466294;118638565;118638567;145226733;145226735;157488564;157488566;157488568;157488570;157488583;157488597;157739353;157739355;157739357;157739359;157739361;157739363;157739365;157739367;157739369;209962094;209962098;209962104;209962106;209962108;209962110;209962112;209962114;209962118;209962122;209962124;209962126;209962130;209962132;209962136;209962138;209962140;209962142;209962144;209962148;222433171;222433173;223886854;226452152;265142364;265142404;265142408;265142444;265142446;265142450;265142495;265142499;265142505;265142523;265142525;265142531;265142533;295922186;306451169;357433474;357433478;357433482;357433486;357433490;357433494;357433499;357433503;357433507,
sweet potato feathery mottle virus,Virus,ipomoea cairica,Higher Plants,5,0,224589794;265142452;265142513;265142519;265142521,
sweet potato feathery mottle virus,Virus,ipomoea hederifolia,Higher Plants,1,0,265142517,
sweet potato feathery mottle virus,Virus,ipomoea indica,Higher Plants,13,0,142933473;142933840;142933862;224589774;224589776;224589778;224589780;224589782;224589790;226452156;265142324;265142491;265142511,
sweet potato feathery mottle virus,Virus,ipomoea obscura,Higher Plants,1,0,142933940,
sweet potato feathery mottle virus,Virus,ipomoea repens,Higher Plants,1,0,265142529,
sweet potato feathery mottle virus,Virus,ipomoea rubens,Higher Plants,1,0,265142493,
sweet potato feathery mottle virus,Virus,ipomoea setosa,Higher Plants,1,0,265142360,
sweet potato feathery mottle virus,Virus,ipomoea sinensis,Higher Plants,1,0,265142515,
sweet potato feathery mottle virus,Virus,ipomoea spathulata,Higher Plants,1,0,224589784,
sweet potato feathery mottle virus,Virus,ipomoea stenobasis,Higher Plants,2,0,265142402;265142527,
sweet potato feathery mottle virus,Virus,ipomoea tenuirostris,Higher Plants,6,0,142934145;265142358;265142362;265142448;265142507;265142509,
sweet potato feathery mottle virus,Virus,ipomoea wightii,Higher Plants,3,0,224589792;265142497;265142503,
sweet potato feathery mottle virus,Virus,lepistemon owariensis,Higher Plants,7,0,142934004;142934038;224589786;224589796;265142406;265142501;265142535,
sweet potato latent virus,Virus,ipomoea batatas,Higher Plants,2,0,89275880;145226737,
sweet potato leaf curl canary virus,Virus,ipomoea batatas,Higher Plants,5,0,240015175;240015535;240015542;240015545;262530236,
sweet potato leaf curl georgia virus,Virus,ipomoea batatas,Higher Plants,1,0,343963006,
sweet potato leaf curl lanzarote virus,Virus,ipomoea batatas,Higher Plants,3,0,240015540;240015546;262530243,
sweet potato leaf curl spain virus,Virus,ipomoea batatas,Higher Plants,5,0,240015541;240015543;240017693;326581080;326581150,
sweet potato leaf curl spain virus,Virus,ipomoea indica,Higher Plants,1,0,240015529,
sweet potato leaf curl virus,Virus,ipomoea batatas,Higher Plants,79,0,50844412;50844414;50844416;50844418;86451104;86451105;86451107;86451109;119874232;155573658;207117731;217073478;220979405;240015532;240015536;240015544;267799595;267799602;267799609;267799616;267799623;267799630;326581038;326581045;326581059;326581066;326581087;326581094;326581101;326581115;326581129;326581136;326581164;326581171;326581178;326581185;326581192;326581199;326581206;326581213;326581220;326581227;326581234;326581241;326581248;326581255;326581262;326581269;326581276;326807340;326807347;326807354;326807361;326807368;326807375;345507500;345507502;345507504;345507506;345507508;345507510;345507512;345507514;345507516;345507520;345507522;345507524;345507526;345507528;345507530;345507532;345507534;345507536;345507538;345507540;345507542;345507544;351738104;380690199,
sweet potato leaf curl virus,Virus,ipomoea indica,Higher Plants,2,0,4210720;77917417,
sweet potato leaf curl virus,Virus,ipomoea microdactyla,Higher Plants,2,0,345507518;345507546,
sweet potato leaf curl virus,Virus,ipomoea purpurea,Higher Plants,6,0,161074817;219816020;219816027;219816034;397771347;397771361,
sweet potato leaf curl virus,Virus,ipomoea setosa,Higher Plants,2,0,326807382;326807389,
sweet potato mild mottle virus,Virus,ipomoea batatas,Higher Plants,16,0,27528818;27528820;27528822;27528824;27528826;27528828;27528830;27528832;47846287;47846289;47846291;239836848;239836851;239836860;239836863;239836866,
sweet potato mild mottle virus,Virus,ipomoea cairica,Higher Plants,2,0,229259549;229259555,
sweet potato mild mottle virus,Virus,ipomoea indica,Higher Plants,2,0,229259551;239836854,
sweet potato mild mottle virus,Virus,ipomoea obscura,Higher Plants,2,0,229259547;239836845,
sweet potato mild mottle virus,Virus,ipomoea spathulata,Higher Plants,1,0,239836857,
sweet potato mild mottle virus,Virus,ipomoea tenuirostris,Higher Plants,1,0,229259553,
sweet potato virus 2,Virus,ipomoea batatas,Higher Plants,2,0,151175820;217315799,
sweet potato virus g,Virus,ipomoea batatas,Higher Plants,11,0,24940292;89275878;151175822;151175824;154267946;158536853;158938731;158938733;164633062;321268296;357595289,
swine vesicular disease virus,Virus,homo sapiens,Human,0,21,,24816564;22247381;21878192;21073902;16186229;15831949;14993651;14695669;12941886;12692248;12505635;11708597;10973703;10814575;10746582;10500285;9562889;8445723;3034503;229804;181406
swine vesicular disease virus,Virus,sus scrofa,Domestic,3,62,5738886;237701247;237874662,58963;163084;166725;213532;226626;229988;2168111;2543767;4361501;4365543;4372779;4377953;4586437;6088796;6138983;6255777;6267485;6269809;6285822;8126468;8388399;8391540;9192351;9389406;9506808;9562889;9683084;9694330;9825800;10029329;10073685;10074117;10092004;10432596;10500285;10676896;10814575;10973703;10996650;11125162;11134318;11561966;11780256;12595720;14500127;14738984;15168202;15612263;15626416;16085909;16726250;16835700;17630426;17886721;17920701;18513960;18621489;20608082;20886713;21632134;21878192;22247381
swine vesicular disease virus,Virus,sus scrofa domesticus,Domestic,0,184,,25074628;24816564;24690607;23977101;23667534;23600506;23583488;23244327;22516920;22247381;22230813;22040459;21878192;21847758;21632134;21620898;21467761;21419170;21073902;20960295;20960280;20886713;20807938;20608082;20459705;20090052;19819260;19459449;19279165;19273098;19225001;18689671;18621489;18513960;18279902;18216216;18198379;17964668;17920701;17886721;17727966;17630426;17622632;17451815;17325356;16835700;16617693;16460352;16279200;16186229;16085909;15831949;15626416;15596836;15511539;15288957;15168202;14993651;14738984;14695669;14505087;14500127;12967490;12941886;12692248;12595720;12505635;12088830;12037316;12029154;12002546;11780256;11767065;11752698;11708597;11602706;11597755;11561966;11205106;10752549;11134318;11125162;11038390;10996650;10973703;10960708;10814575;10772981;10746582;10676896;10669263;10666784;11107628;10565423;10540248;10500285;10432596;10092004;10074117;10073685
swinepox virus,Virus,sus scrofa,Domestic,3,2,349590721;349590723;349590725,2557281;9890036
swinepox virus,Virus,sus scrofa domesticus,Domestic,0,21,,24726504;23265244;23135159;22584406;22391400;16782702;16181751;14609625;11752168;11311343;11040133;9890036;9568038;8393209;1853562;2170745;6245608;412491;174523;4110427;18605415
sycophaga cyclostigma,Arthropod,ficus sur,Higher Plants,9,0,262064905;262065099;262181885;283766770;283766958;315454151;315454251;315454341;315454432,
sycophaga sycomori,Arthropod,ficus sycomorus,Higher Plants,6,0,125634506;125634564;315454107;315454216;315454303;315454412,
sycophila biguttata,Arthropod,andricus quercuscalicis,Arthropod,1,0,311988996,
sycoscapter australis,Arthropod,ficus macrophylla,Higher Plants,5,0,16945478;17902555;399922894;399923076;399923298,
sycoscapter huberi,Arthropod,ficus rubiginosa,Higher Plants,2,0,16945482;17902557,
symbiodinium californium,Protozoa,anthopleura elegantissima,Cnidaria,1,0,8163882,
symbiodinium cariborum,Protozoa,condylactis gigantea,Cnidaria,1,0,13377660,
symbiodinium goreaui,Protozoa,goniopora tenuidens,Cnidaria,1,0,86562746,
symbiodinium goreaui,Protozoa,heliofungia actiniformis,Cnidaria,1,0,86562739,
symbiodinium goreaui,Protozoa,leptastrea purpurea,Cnidaria,1,0,86562816,
symbiodinium kawagutii,Protozoa,montipora capitata,Cnidaria,13,0,6137191;6137192;356591663;356591665;356591667;356591669;356591671;356591673;356591675;356591677;356591679;356591681;356591683,
symbiodinium kawagutii,Protozoa,montipora verrucosa,Cnidaria,13,0,13377673;13936936;18025436;23986583;23986590;23986598;23986607;23986609;23986616;23986622;23986633;23986640;23986648,
symbiodinium microadriaticum,Protozoa,acropora millepora,Cnidaria,15,0,171676019;171676020;171676024;171676025;171676027;171676028;171676031;171676035;171676036;171676037;171676038;171676039;171676040;171676041;171676042,
symbiodinium microadriaticum,Protozoa,acropora tenuis,Cnidaria,3,0,171676026;171676033;171676034,
symbiodinium microadriaticum,Protozoa,cassiopea xamachana,Cnidaria,24,0,356591685;356591687;356591689;356591691;356591693;356591695;356591697;356591699;356591701;356591703;356591705;356591707;356591709;356591711;356591713;356591715;356591717;356591719;356591721;356591723;356591725;356591727;356591729;356591731,
symbiodinium microadriaticum,Protozoa,montipora aequituberculata,Cnidaria,5,0,171676017;171676018;171676021;171676022;171676023,
symbiodinium microadriaticum,Protozoa,tridacna maxima,Mollusca,20,0,295821580;295821584;295821585;295821586;295821587;295821588;295821589;295821590;295821591;295821592;295821593;295821594;295821595;295821596;295821597;295821598;295821599;295821600;295821601;295821602,
symbiodinium muscatinei,Protozoa,anthopleura elegantissima,Cnidaria,11,0,339516632;339516633;339516634;339516635;339516636;339516638;356591747;356591749;356591751;356591753;356592049,
symbiodinium pilosum,Protozoa,zoanthus sociatus,Cnidaria,17,0,13377662;18025428;23986439;23986446;23986452;23986461;23986467;23986473;23986480;23986489;356591733;356591735;356591737;356591739;356591741;356591743;356591745,
symbiodinium pulchrorum,Protozoa,aiptasia pulchella,Cnidaria,5,0,13377667;23986557;23986563;23986565;23986573,
symbion pandora,Others,nephrops norvegicus,Arthropod,101,0,62752273;62752275;62752277;62752279;62752281;62752283;62752285;62752287;62752289;62752291;62752293;62752295;62752297;62752299;62752301;62752303;62752305;62752307;62752309;62752311;62752313;62752315;62752317;62752319;62752321;62752323;62752325;62752327;62752329;62752331;62752333;62752335;62752337;62752339;62752341;62752343;62752345;62752347;62752349;62752351;62752353;62752355;62752357;62752359;62752361;62752363;62752365;62752367;62752369;62752371;62752373;62752375;62752377;62752379;62752381;62752383;62752385;62752387;62752389;62752391;62752393;62752395;62752397;62752399;62752401;62752403;62752405;62752407;62752409;62752411;62752413;62752415;62752417;62752419;62752421;62752423;62752425;62752427;62752429;62752431;62752433;62752435;62752437;62752439;62752441;62752443;62752445;62752447;62752449;62752451;62752453;62752455;62752457;62752459;62752461;62752463;62752465;62752467;62752469;62752471,
symbiotaphrina buchneri,Fungi,stegobium paniceum,Arthropod,2,0,21624353;21624360,
symbiotaphrina kochii,Fungi,lasioderma serricorne,Arthropod,4,0,837286;837287;21624351;21624358,
symmetrovesicula chaetodontis,Helminth,chaetodon lunula,Fish,3,0,317383421;317383426;317383427,
symmetrovesicula chaetodontis,Helminth,chaetodon plebeius,Fish,1,0,317383420,
symmetrovesicula chaetodontis,Helminth,chaetodon punctatofasciatus,Fish,1,0,317383414,
symmetrovesicula chaetodontis,Helminth,heniochus acuminatus,Fish,1,0,317383413,
symmetrovesicula gracilis,Helminth,chaetodon aureofasciatus,Fish,1,0,317383402,
symmetrovesicula gracilis,Helminth,chaetodon baronessa,Fish,1,0,317383419,
symmetrovesicula gracilis,Helminth,chaetodon bennetti,Fish,1,0,317383416,
symmetrovesicula gracilis,Helminth,chaetodon citrinellus,Fish,1,0,317383404,
symmetrovesicula gracilis,Helminth,chaetodon lunulatus,Fish,4,0,317383406;317383409;317383411;317383424,
symmetrovesicula gracilis,Helminth,chaetodon ornatissimus,Fish,3,0,317383401;317383422;317383423,
symmetrovesicula gracilis,Helminth,chaetodon plebeius,Fish,3,0,317383407;317383408;317383418,
symmetrovesicula gracilis,Helminth,chaetodon rainfordi,Fish,2,0,317383412;317383425,
symmetrovesicula gracilis,Helminth,chaetodon speculum,Fish,3,0,317383403;317383410;317383417,
symmetrovesicula gracilis,Helminth,chaetodon vagabundus,Fish,1,0,317383415,
symmetrovesicula gracilis,Helminth,heniochus varius,Fish,1,0,317383405,
sympiesis sericeicornis,Arthropod,phyllonorycter harrisella,Arthropod,1,0,311989422,
sympiesis sericeicornis,Arthropod,phyllonorycter millierella,Arthropod,2,0,261854532;261854593,
synactinomyxon longicauda,Cnidaria,tubifex tubifex,Segmented Worm,1,0,34494543,
syncystis mirabilis,Protozoa,nepa cinerea,Arthropod,1,0,149959797,
syndinium turbo,Protozoa,paracalanus parvus,Arthropod,3,0,73353295;73353343;73353388,
synergus acsi,Arthropod,pseudoneuroterus macropterus,Arthropod,2,0,151934677;151934889,
synergus clandestinus,Arthropod,quercus pyrenaica,Higher Plants,2,0,151934905;151934907,
synergus consobrinus,Arthropod,andricus grossulariae,Arthropod,5,0,151934695;151934697;151934699;151934701;151934817,
synergus consobrinus,Arthropod,dryocosmus nitida,Arthropod,1,0,151934819,
synergus crassicornis,Arthropod,plagiotrochus burnayi,Arthropod,5,0,151934703;151934705;151934707;151934909;151934911,
synergus diaphanus,Arthropod,andricus conificus,Arthropod,6,0,151934709;151934711;151934787;151934913;151934915;151935001,
synergus incrassatus,Arthropod,andricus quercusradicis,Arthropod,2,0,151934759;151934975,
synergus palmirae,Arthropod,quercus castaneifolia,Higher Plants,1,0,151934803,
synergus physocerus,Arthropod,trigonaspis synaspis,Arthropod,8,0,151934805;151934807;151934809;151934811;151935019;151935021;151935023;151935025,
synergus plagiotrochi,Arthropod,plagiotrochus australis,Arthropod,3,0,151934813;151934815;151935027,
synergus thaumacerus,Arthropod,dryocosmus nitida,Arthropod,1,0,151934849,
synergus thaumacerus,Arthropod,neuroterus saliens,Arthropod,4,0,151934821;151934823;151935053;151935055,
syngamus trachea,Helminth,cracticus tibicen,Aves,2,0,109390587;109390925,
syngamus trachea,Helminth,phasianus colchicus,Domestic,0,5,,6743169;16252480;17009712;17125551;137683
syphacia agraria,Helminth,apodemus speciosus,Rodent,2,0,139004440;264685675,
syphacia emileromani,Helminth,apodemus argenteus,Rodent,3,0,139004446;264685676;264685677,
syphacia frederici,Helminth,apodemus speciosus,Rodent,9,0,139004430;139004436;139004456;139004967;264685678;264685679;264685680;264685681;356483047,
syphacia montana,Helminth,eothenomys smithii,Rodent,1,0,264685665,
syphacia montana,Helminth,microtus montebelli,Rodent,1,0,264685666,
syphacia montana,Helminth,myodes rex,Rodent,1,0,264685673,
syphacia montana,Helminth,myodes rufocanus,Rodent,10,0,139004951;139004953;139004958;139004960;264685667;264685668;264685669;264685670;264685671;264685672,
syphacia muris,Helminth,rattus norvegicus,Domestic,1,20,264685682,113889;340191;776568;1403420;3437758;4039515;7190628;7555438;7831094;8277731;8459683;11285485;13978720;14069860;15053507;16642966;18165213;19194075;19653945;20433830
syphacia obvelata,Helminth,mus musculus,Domestic,3,14,139004448;264685683;264685684,567262;1171137;6254048;11695402;12197108;12625509;12895284;12906402;12913546;17120995;17585355;17629623;19653945;20224167
syphacia ohtaorum,Helminth,mus caroli,Rodent,1,0,264685685,
syphacia petrusewiczi,Helminth,myodes rutilus,Rodent,1,0,264685674,
syphacia vandenbrueli,Helminth,micromys minutus,Rodent,1,0,264685686,
taenia asiatica,Helminth,homo sapiens,Human,11,3,7242794;254072161;339790753;339790755;339790757;339790759;339790761;339790763;339790765;339790767;339790769,16438196;17166477;19290097
taenia crassiceps,Helminth,canis lupus,Mammal,9,7,158668163;158668164;158668167;158668168;158668171;158668173;158668175;371456013;371456015,2186408;8407486;10647054;12376028;18372614;19366477;19835660
taenia crassiceps,Helminth,canis lupus familiaris,Domestic,7,7,158668163;158668164;158668167;158668168;158668171;158668173;158668175,2186408;8407486;10647054;12376028;18372614;19366477;19835660
taenia crassiceps,Helminth,homo sapiens,Human,0,12,,2390007;3613952;7648312;9660447;10874728;12943707;15162945;16000432;18644469;20585656;22206032;22027483
taenia crassiceps,Helminth,microtus fortis,Rodent,2,0,189343515;189343621,
taenia crassiceps,Helminth,microtus gregalis,Rodent,2,0,189343513;189343619,
taenia crassiceps,Helminth,microtus levis,Rodent,2,0,189343511;189343617,
taenia crassiceps,Helminth,microtus pennsylvanicus,Rodent,2,0,189343517;189343623,
taenia crassiceps,Helminth,mus musculus,Domestic,1,16,25992731,407275;1891452;2488049;2767556;3428764;3613952;7151949;8983150;11426723;12460185;12783314;15879104;17096646;17118349;17206501;19605594
taenia crassiceps,Helminth,vulpes lagopus,Mammal,2,1,189343509;189343615,19723357
taenia crassiceps,Helminth,vulpes vulpes,Mammal,0,14,,1396164;2344133;3870647;7072323;7314812;7458165;7924977;8834508;9445786;9705680;10725694;12474048;19395737;21327991
taenia hydatigena,Helminth,bos taurus,Domestic,0,20,,25119348;24517106;24192620;23483261;23077134;17124659;8541896;7870126;1626868;1822902;1889037;2053273;2035923;2024426;2357670;2674862;3631707;2419535;7079600;749087
taenia hydatigena,Helminth,canis lupus,Mammal,36,43,7242816;20330091;63081194;156622234;156622244;156622246;156622248;156622250;156622278;156622280;156622282;156622284;237847079;237847080;237847081;237847082;237847083;237847084;238695829;238695831;238695833;238695835;238695837;238695839;238695841;238695843;238782496;238782498;238782500;238782502;238782504;238782506;312193000;312193002;312193004;312193006,8065823;11520444;14535350;15946392;16870858;19138449;21571090;281662;433385;523820;564542;705036;705038;968190;1166134;1201895;1210528;2314928;2382393;2482474;2518723;3055462;3140196;3785974;3822514;4007699;4101140;4933698;5387603;6362587;6649062;7052222;7229326;7255919;7569839;7622335;7682330;9198601;10961852;12376028;15710549;16899340;16971046
taenia hydatigena,Helminth,canis lupus familiaris,Domestic,36,36,7242816;20330091;63081194;156622234;156622244;156622246;156622248;156622250;156622278;156622280;156622282;156622284;237847079;237847080;237847081;237847082;237847083;237847084;238695829;238695831;238695833;238695835;238695837;238695839;238695841;238695843;238782496;238782498;238782500;238782502;238782504;238782506;312193000;312193002;312193004;312193006,281662;433385;523820;564542;705036;705038;968190;1166134;1201895;1210528;2314928;2382393;2482474;2518723;3055462;3140196;3785974;3822514;4007699;4101140;4933698;5387603;6362587;6649062;7052222;7229326;7255919;7569839;7622335;7682330;9198601;10961852;12376028;15710549;16899340;16971046
taenia hydatigena,Helminth,ovis aries,Domestic,34,33,116270716;116270720;189343519;189343625;208969696;208969698;208969700;208969702;208969704;209168697;209168699;209168701;209168703;209168705;209168707;209168709;209168711;209168713;209168715;209168717;209168719;209168721;209168722;209168723;209168724;209168726;209168728;209168730;209168732;209168734;209168736;239997764;242613260;254072163,73210;281662;433385;564542;864844;968190;1441108;2235070;2314928;2382393;2518723;2785669;3140196;3785974;3822514;4859029;4933698;6741221;6819681;7052222;7210817;7329721;7436880;7622335;7682330;8541896;9777724;10605493;10961852;12606107;14210760;17648781;21399607
taenia hydatigena,Helminth,rangifer tarandus,Domestic,2,0,189343521;189343627,
taenia hydatigena,Helminth,sus scrofa,Domestic,10,17,7576292;7576294;7576296;7576298;7576300;7576302;7576304;7576306;222101892;222101893,860324;2314928;2480977;2482474;2518723;4007699;4859029;6819681;10493116;10628701;10961852;11763752;17964726;18644469;21114894;12559710;11438438
taenia hydatigena,Helminth,sus scrofa domesticus,Domestic,0,11,,19041315;17101161;15241967;12559710;7615742;2035923;2518723;2488995;3617425;911435;4859029
taenia hydatigena,Helminth,vulpes vulpes,Mammal,1,0,629632890,
taenia krabbei,Helminth,canis lupus,Mammal,1,0,325610677,
taenia krabbei,Helminth,vulpes lagopus,Mammal,16,0,189343561;189343563;189343565;189343567;189343569;189343571;189343573;189343575;189343667;189343669;189343671;189343673;189343675;189343677;189343679;189343681,
taenia madoquae,Helminth,canis mesomelas,Mammal,9,0,156622236;156622260;156622262;156622264;156622276;156622294;156622296;156622298;156622300,
taenia martis,Helminth,apodemus sylvaticus,Rodent,2,0,189343529;189343635,
taenia martis,Helminth,canis lupus,Mammal,2,0,158668166;158668172,
taenia martis,Helminth,canis lupus familiaris,Domestic,2,0,158668166;158668172,
taenia martis,Helminth,martes foina,Mammal,2,0,345640930;345640932,
taenia martis,Helminth,martes martes,Mammal,1,0,345640934,
taenia martis,Helminth,myodes glareolus,Rodent,6,0,189343523;189343525;189343527;189343629;189343631;189343633,
taenia martis,Helminth,myodes rufocanus,Rodent,4,0,189343531;189343533;189343637;189343639,
taenia multiceps,Helminth,bos taurus,Domestic,6,1,301133818;301133820;301133822;301133824;301133826;301133828,10961852
taenia multiceps,Helminth,canis lupus,Mammal,25,6,209168634;209168636;209168638;209168640;209168642;209168643;209168644;209168645;209168647;209168649;209168651;209168653;209168655;209168657;209168659;209168661;209168663;209168665;237847085;238695845;238695847;238782508;239997751;242610086;254072162,5529985;10961852;16881398;16899340;19345506;22185947
taenia multiceps,Helminth,canis lupus familiaris,Domestic,25,6,209168634;209168636;209168638;209168640;209168642;209168643;209168644;209168645;209168647;209168649;209168651;209168653;209168655;209168657;209168659;209168661;209168663;209168665;237847085;238695845;238695847;238782508;239997751;242610086;254072162,5529985;10961852;16881398;16899340;19345506;22185947
taenia multiceps,Helminth,capra hircus,Domestic,2,0,298239405;298239407,
taenia multiceps,Helminth,homo sapiens,Human,0,5,,7258483;16881398;16899340;20922482;21176715
taenia multiceps,Helminth,ovis aries,Domestic,10,11,7242820;83777826;88766352;126033135;156622241;222708642;237506888;239924680;254680866;321172105,754127;1101875;1595191;6819681;7120267;10961852;16881398;19345506;21176715;21184708;21823330
taenia mustelae,Helminth,myodes glareolus,Rodent,14,0,189343535;189343537;189343539;189343541;189343543;189343545;189343547;189343641;189343643;189343645;189343647;189343649;189343651;189343653,
taenia mustelae,Helminth,myodes rufocanus,Rodent,4,0,189343549;189343557;189343655;189343663,
taenia mustelae,Helminth,myodes rutilus,Rodent,6,0,189343551;189343553;189343555;189343657;189343659;189343661,
taenia mustelae,Helminth,myopus schisticolor,Rodent,2,0,189343559;189343665,
taenia omissa,Helminth,puma concolor,Mammal,2,0,426260655;426260643,
taenia ovis,Helminth,canis lupus familiaris,Domestic,0,41,,25161904;24053136;23993638;23298567;22877826;21916265;20643854;18575964;16899340;16498828;16289565;15036575;16031925;9012013;9198601;7776128;7846848;8171825;16031470;3140196;3953947;3759352;3869810;3834846;3869127;3998957;3992875;6525114;6539037;6935556;452351;303900;905644;879566;877439;1035096;987771;962736;1210528;1184435;4424065
taenia ovis,Helminth,capra hircus,Domestic,0,5,,24053136;18575964;18160069;16289565;9777724
taenia ovis,Helminth,ovis aries,Domestic,29,30,683736;683738;683740;683742;1888552;1888554;7242818;88766354;401715787;401715789;401715791;401715793;401715795;401715797;401715799;401715801;401715803;401715805;401715807;401715809;401715811;401715812;401715813;401715814;401715815;401715816;401715817;401715818;401715819,1035096;1472263;1644518;3140196;3583538;3998957;6469451;7123842;7210817;7436880;7639010;7660570;8270273;8740543;9012013;9194099;9226688;9777724;10195787;10547429;10775786;10961852;11516584;12606107;16289565;18575964;20262495;20478311;20643854;21642295
taenia ovis,Helminth,panthera leo,Mammal,1,0,156622239,
taenia parva,Helminth,apodemus sylvaticus,Rodent,2,0,189343577;189343683,
taenia parva,Helminth,genetta genetta,Mammal,2,0,54887957;54887958,
taenia pisiformis,Helminth,canis latrans,Mammal,0,5,,23894947;19901402;11838229;3585628;6512639
taenia pisiformis,Helminth,canis lupus,Mammal,1,15,158668169,573080;754133;1201898;1210528;1594298;1765671;3996524;5388321;5505356;10961852;11300689;12376028;12811058;16971046;17827367
taenia pisiformis,Helminth,canis lupus familiaris,Domestic,1,15,158668169,573080;754133;1201898;1210528;1594298;1765671;3996524;5388321;5505356;10961852;11300689;12376028;12811058;16971046;17827367
taenia pisiformis,Helminth,oryctolagus cuniculus,Domestic,6,20,54887955;54887956;71494475;71494517;284795187;333827691,558172;641666;860324;924711;1116900;1128928;1134032;1201898;1210528;1491303;1594298;1765671;3412783;3996524;4432610;4465631;5362317;5505356;5815349;11300689
taenia pisiformis,Helminth,panthera leo,Mammal,1,0,156622240,
taenia pisiformis,Helminth,vulpes vulpes,Mammal,0,8,,985241;4032622;7458165;7571336;9445786;10540955;16580775;21327991
taenia polyacantha,Helminth,canis lupus,Mammal,1,0,158668170,
taenia polyacantha,Helminth,canis lupus familiaris,Domestic,1,0,158668170,
taenia polyacantha,Helminth,dicrostonyx groenlandicus,Rodent,2,0,189343605;189343709,
taenia polyacantha,Helminth,lemmus trimucronatus,Rodent,2,0,189343607;189343711,
taenia polyacantha,Helminth,microtus guentheri,Rodent,2,0,189343579;189343685,
taenia polyacantha,Helminth,microtus oeconomus,Rodent,2,0,189343589;189343695,
taenia polyacantha,Helminth,myodes glareolus,Rodent,10,0,88766353;88766380;189343581;189343583;189343585;189343587;189343687;189343689;189343691;189343693,
