Pathogen_Original,Synonym,InAssoc,Pathogen_Harmonised,Notes
guaroa orthobunyavirus,guaroa virus,FALSE,guaroa,
guinea pig type-c oncovirus,,TRUE,guinea pig type-c oncovirus,
hantaan hantavirus,korean hemorrhagic fever virus; hantaan virus,FALSE,hantaan,
hardy-zuckerman feline sarcoma,,FALSE,feline sarcoma,all feline sarcomas here are set to same - could be relaxed
hare fibroma,,TRUE,hare fibroma,
harvey murine sarcoma,,FALSE,harvey murine sarcoma,
hendra,equine morbillivirus,TRUE,hendra,
hepatitis b,"human hepatitis b virus; hepatitis b virus hbv; human hepatitis b virus hbv, etc.",TRUE,hepatitis b,
hepatitis c,post-transfusion hepatitis non a non b virus; human hepatitis c virus; hepatitis c virus hcv,TRUE,hepatitis c,
hepatitis delta,hepatitis delta virus hdv; hepatitis d virus,TRUE,hepatitis delta,
hepatovirus a,hepatitis a virus,TRUE,hepatovirus a,
highlands j,,TRUE,highlands j,
hippotragine gammaherpesvirus 1,roan antelope herpesvirus; hippotragine herpesvirus 1; hippotragine herpesvirus-1,FALSE,hippotragine herpesvirus 1,
hughes nairovirus,hughes virus,FALSE,hughes,
human alphaherpesvirus 1,"hsv1; herpes simplex virus type 1; human herpesvirus 1, etc.",FALSE,human herpesvirus 1,
human alphaherpesvirus 2,"hsv2; herpes simplex virus 2; human herpesvirus 2, etc.",FALSE,human herpesvirus 2,
human alphaherpesvirus 3,vzv; varicella-zoster virus; human herpesvirus 3; etc.,FALSE,human herpesvirus 3,
human betaherpesvirus 5,hhv-5; human cytomegalovirus; human herpesvirus 5 ,FALSE,human herpesvirus 5,
human betaherpesvirus 6a,human herpesvirus 6a,FALSE,human herpesvirus 6,not split into A and B in other datasets
human betaherpesvirus 6b,human herpesvirus 6b; human herpesvirus 6 type b,FALSE,human herpesvirus 6,not split into A and B in other datasets
human betaherpesvirus 7,hhv-7; herpes simplex virus 7; human herpesvirus 7,FALSE,human herpesvirus 7,
human coronavirus 229e,"human coronavirus strain 229e; coronavirus 229e; human coronavirus serogroup 229e, etc.",TRUE,human coronavirus 229e,
human coronavirus hku1,human cov/hku1; cov-hku1,FALSE,human coronavirus hku1,
human coronavirus nl63,human coronavirus nl; coronavirus nl63,FALSE,human coronavirus nl63,
human gammaherpesvirus 4,"hhv-4; epstein barr virus; human herpesvirus 4, etc.",TRUE,human gammaherpesvirus 4,
human gammaherpesvirus 8,"kshv; kaposi's sarcoma-associated herpesvirus; human herpesvirus 8, etc.",TRUE,human gammaherpesvirus 8,
human immunodeficiency virus 1,hiv; human immunodeficiency virus type-1 hiv-1; human immunodeficiency virus hiv-1,TRUE,human immunodeficiency virus 1,
human immunodeficiency virus 2,"hiv2; human immunodeficiency virus-2; human immunodeficiency virus type 2, etc.",TRUE,human immunodeficiency virus 2,
