"Parasite","Host","DetectionMethod","DetectionQuality","Citation","HostOrder","HostFamily","HostGenus","HostSpecies","ParasiteOrder","ParasiteFamily","ParasiteSubfamily","ParasiteGenus","SSorDS","DNAorRNA","Envelope","Segmented","CytoReplic","GenomeAveLength","ReverseZoonosis","IsZoonotic_HP3","IsZoonotic_Strict_HP3","Year","YearType","ParasiteType","Database","PathogenName_Harmonised","PathogenType","HumanInfective_External","IsZoonotic","DiseaseAgent","Disease_GIDEON","Route_GIDEON","HumanInfective_Any"
"cercopithecine herpesvirus 12","papio hamadryas","isolation",2,"Jenson et al. 2000","primates","cercopithecidae","papio","hamadryas","herpesvirales","herpesviridae","gammaherpesvirinae","lymphocryptovirus","DS","DNA","enveloped",FALSE,FALSE,170000,0,0,0,2000,"ScientificPublicationDate_Earliest","virus","HP3","cercopithecine herpesvirus 12","virus",0,0,0,NA,NA,0
"chikungunya","papio hamadryas","Antibodies",0,"McIntosh et al. 1970","primates","cercopithecidae","papio","hamadryas","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11826,0,1,1,1970,"ScientificPublicationDate_Earliest","virus","HP3","chikungunya","virus",1,1,1,"chikungunya fever","vector",1
"primate t-lymphotropic virus 3","papio hamadryas","PCR",2,NA,"primates","cercopithecidae","papio","hamadryas","unassigned","retroviridae","orthoretrovirinae","deltaretrovirus","SS","RNA","enveloped",FALSE,FALSE,8918,0,1,1,NA,"ScientificPublicationDate_Earliest","virus","HP3","primate t-lymphotropic virus 3","virus",1,1,1,"htlv infection","food (bushmeat), blood, sexual",1
"simian foamy","papio hamadryas","PCR",2,"Hussain et al. 2003","primates","cercopithecidae","papio","hamadryas","unassigned","retroviridae","spumaretrovirinae","spumavirus","SS","RNA","enveloped",FALSE,FALSE,13246,0,1,1,2003,"ScientificPublicationDate_Earliest","virus","HP3","simian foamy","virus",0,0,0,NA,NA,1
"bouboui","papio papio","Isolation",2,"CDC Arbovirus Catalog","primates","cercopithecidae","papio","papio","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10173,0,1,1,NA,"ScientificPublicationDate_Earliest","virus","HP3","bouboui","virus",0,0,0,NA,NA,1
"chikungunya","papio papio","Isolation",2,"Diallo et al. 1999","primates","cercopithecidae","papio","papio","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11826,0,1,1,1999,"ScientificPublicationDate_Earliest","virus","HP3","chikungunya","virus",1,1,1,"chikungunya fever","vector",1
"simian foamy","papio papio","PCR",2,"Hussain et al. 2003","primates","cercopithecidae","papio","papio","unassigned","retroviridae","spumaretrovirinae","spumavirus","SS","RNA","enveloped",FALSE,FALSE,13246,0,1,1,2003,"ScientificPublicationDate_Earliest","virus","HP3","simian foamy","virus",0,0,0,NA,NA,1
"cercopithecine herpesvirus 16","papio ursinus","Antibodies",0,"Eberle et al. 1997","primates","cercopithecidae","papio","ursinus","herpesvirales","herpesviridae","alphaherpesvirinae","simplexvirus","DS","DNA","enveloped",FALSE,FALSE,156487,0,0,0,1997,"ScientificPublicationDate_Earliest","virus","HP3","cercopithecine herpesvirus 16","virus",0,0,0,NA,NA,0
"cercopithecine herpesvirus 2","papio ursinus","Isolation",2,"Malherbe & Strickland-Cholmley 1969a","primates","cercopithecidae","papio","ursinus","herpesvirales","herpesviridae","alphaherpesvirinae","simplexvirus","DS","DNA","enveloped",FALSE,FALSE,150000,0,0,0,1969,"ScientificPublicationDate_Earliest","virus","HP3","cercopithecine herpesvirus 2","virus",0,0,0,NA,NA,0
"chikungunya","papio ursinus","Antibodies",0,"McIntosh 1970; McIntosh et al. 1977; Kaschula et al. 1978; Robin 1981 in Brack 1987","primates","cercopithecidae","papio","ursinus","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11826,0,1,1,1970,"ScientificPublicationDate_Earliest","virus","HP3","chikungunya","virus",1,1,1,"chikungunya fever","vector",1
"hepatitis a","papio ursinus","Antibodies",0,"Smith et al. 1980","primates","cercopithecidae","papio","ursinus","picornavirales","picornaviridae",NA,"hepatovirus","SS","RNA","non-enveloped",FALSE,TRUE,7478,0,1,1,1980,"ScientificPublicationDate_Earliest","virus","HP3","hepatitis a","virus",1,1,1,"hepatitis a","food, water, fecal-oral",1
"hepatitis b","papio ursinus","Isolation",2,"Kramvis et al. 1999","primates","cercopithecidae","papio","ursinus","unassigned","hepadnaviridae",NA,"orthohepadnavirus","DS","DNA","enveloped",FALSE,FALSE,3215,0,1,1,1999,"ScientificPublicationDate_Earliest","virus","HP3","hepatitis b","virus",1,1,1,"hepatitis b","direct, sexual, blood",1
"human herpesvirus 4","papio ursinus","Antibodies",0,"Drewe et al. 2012","primates","cercopithecidae","papio","ursinus","herpesvirales","herpesviridae","gammaherpesvirinae","lymphocryptovirus","DS","DNA","enveloped",FALSE,FALSE,172764,1,1,1,2012,"ScientificPublicationDate_Earliest","virus","HP3","human herpesvirus 4","virus",1,0,1,"infectious mononucleosis","blood, respiratory",1
"human herpesvirus 5","papio ursinus","Antibodies",1,"Eberle et al. 1997","primates","cercopithecidae","papio","ursinus","herpesvirales","herpesviridae","betaherpesvirinae","cytomegalovirus","DS","DNA","enveloped",FALSE,FALSE,235646,0,1,0,1997,"ScientificPublicationDate_Earliest","virus","HP3","human herpesvirus 5","virus",1,0,1,"cytomegalovirus 5","direct, sexual, fluid, respiratory",1
"primate t-lymphotropic virus 1","papio ursinus","PCR",2,"Mathieux et al. 1998","primates","cercopithecidae","papio","ursinus","unassigned","retroviridae","orthoretrovirinae","deltaretrovirus","SS","RNA","enveloped",FALSE,FALSE,9028,0,1,0,1998,"ScientificPublicationDate_Earliest","virus","HP3","primate t-lymphotropic virus 1","virus",1,1,1,"htlv infection","food (bushmeat), blood, sexual",1
"simian immunodeficiency","papio ursinus","Isolation",2,"van Rensburg et al. 1998","primates","cercopithecidae","papio","ursinus","unassigned","retroviridae","orthoretrovirinae","lentivirus","SS","RNA","enveloped",FALSE,FALSE,9623,0,0,0,1998,"ScientificPublicationDate_Earliest","virus","HP3","simian immunodeficiency","virus",0,0,0,NA,NA,0
"simian virus 12","papio ursinus","Antibodies",0,"Kaschula et al. 1978","primates","cercopithecidae","papio","ursinus","unassigned","polyomaviridae",NA,"polyomavirus","DS","DNA","non-enveloped",FALSE,FALSE,5206,0,0,0,1978,"ScientificPublicationDate_Earliest","virus","HP3","simian virus 12","virus",0,0,0,NA,NA,0
"crimean-congo hemorrhagic fever","pedetes capensis","Antibodies",0,"Shepherd et al. 1987","rodentia","pedetidae","pedetes","capensis","unassigned","bunyaviridae",NA,"nairovirus","SS","RNA","enveloped",TRUE,TRUE,19950,0,1,1,1987,"ScientificPublicationDate_Earliest","virus","HP3","crimean-congo hemorrhagic fever","virus",1,1,1,"crimean-congo hemorrhagic fever","vector, direct",1
"arumowot","pelomys isseli","isolation",2,"Johnson et al. 1977","rodentia","muridae","pelomys","isseli","unassigned","bunyaviridae",NA,"phlebovirus","SS","RNA","enveloped",TRUE,TRUE,12262,0,0,0,1977,"ScientificPublicationDate_Earliest","virus","HP3","arumowot","virus",0,0,0,NA,NA,0
"koongol","perameles nasuta","Antibodies",0,"Doherty et al. 1970","peramelemorphia","peramelidae","perameles","nasuta","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,11202,0,0,0,1970,"ScientificPublicationDate_Earliest","virus","HP3","koongol","virus",0,0,0,NA,NA,0
"colorado tick fever","perognathus parvus","Antibodies",0,"Emmons 1994","rodentia","heteromyidae","perognathus","parvus","unassigned","reoviridae","spinareovirinae","coltivirus","DS","RNA","non-enveloped",TRUE,TRUE,26000,0,1,1,1994,"ScientificPublicationDate_Earliest","virus","HP3","colorado tick fever","virus",1,1,1,"colorado tick fever","vector",1
"whitewater arroyo","peromyscus attwateri","Antibodies",0,"Milazzo et al. 2010","rodentia","cricetidae","peromyscus","attwateri","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10448,0,1,1,2010,"ScientificPublicationDate_Earliest","virus","HP3","whitewater arroyo","virus",1,1,1,"whitewater arroyo virus infection","environment, respiratory",1
"colorado tick fever","peromyscus boylii","Antibodies",0,"Lane et al. 1982","rodentia","cricetidae","peromyscus","boylii","unassigned","reoviridae","spinareovirinae","coltivirus","DS","RNA","non-enveloped",TRUE,TRUE,26000,0,1,1,1982,"ScientificPublicationDate_Earliest","virus","HP3","colorado tick fever","virus",1,1,1,"colorado tick fever","vector",1
"sin nombre","peromyscus boylii","Antibodies",0,"Kuenzi et al. 1999","rodentia","cricetidae","peromyscus","boylii","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,12317,0,1,1,1999,"ScientificPublicationDate_Earliest","virus","HP3","sin nombre","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"whitewater arroyo","peromyscus boylii","Antibodies",0,"Milazzo et al. 2010; Bennett et al. 2000","rodentia","cricetidae","peromyscus","boylii","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10448,0,1,1,2000,"ScientificPublicationDate_Earliest","virus","HP3","whitewater arroyo","virus",1,1,1,"whitewater arroyo virus infection","environment, respiratory",1
"bear canyon","peromyscus californicus","Isolation",2,"Fulhorst et al. 2002","rodentia","cricetidae","peromyscus","californicus","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10441,0,0,0,2002,"ScientificPublicationDate_Earliest","virus","HP3","bear canyon","virus",0,0,0,NA,NA,0
"isla vista","peromyscus californicus","PCR",2,"Song et al. 1995","rodentia","cricetidae","peromyscus","californicus","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,15450,0,0,0,1995,"ScientificPublicationDate_Earliest","virus","HP3","isla vista","virus",0,0,0,NA,NA,0
"sin nombre","peromyscus californicus","Antibodies",0,"Bennett et al. 1999","rodentia","cricetidae","peromyscus","californicus","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,12317,0,1,1,1999,"ScientificPublicationDate_Earliest","virus","HP3","sin nombre","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"sin nombre","peromyscus eremicus","Antibodies",0,"Kuenzi et al. 1999","rodentia","cricetidae","peromyscus","eremicus","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,12317,0,1,1,1999,"ScientificPublicationDate_Earliest","virus","HP3","sin nombre","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"whitewater arroyo","peromyscus eremicus","Antibodies",0,"Bennett et al.  2000","rodentia","cricetidae","peromyscus","eremicus","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10448,0,1,1,2000,"ScientificPublicationDate_Earliest","virus","HP3","whitewater arroyo","virus",1,1,1,"whitewater arroyo virus infection","environment, respiratory",1
"bunyamwera","peromyscus gossypinus","Isolation",2,"Calisher et al. 1986","rodentia","cricetidae","peromyscus","gossypinus","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12300,0,1,1,1986,"ScientificPublicationDate_Earliest","virus","HP3","bunyamwera","virus",1,1,1,"bunyaviridae misc","vector",1
"cowbone ridge","peromyscus gossypinus","Antibodies",0,"Calisher et al. 1969","rodentia","cricetidae","peromyscus","gossypinus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10500,0,0,0,1969,"ScientificPublicationDate_Earliest","virus","HP3","cowbone ridge","virus",0,0,0,NA,NA,0
"eastern equine encephalitis","peromyscus gossypinus","Isolation",2,"Day et al. 1996","rodentia","cricetidae","peromyscus","gossypinus","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11675,0,1,0,1996,"ScientificPublicationDate_Earliest","virus","HP3","eastern equine encephalitis","virus",1,1,1,"eastern equine encephalitis","vector",1
"everglades","peromyscus gossypinus","Antibodies",0,"Day et al. 1996","rodentia","cricetidae","peromyscus","gossypinus","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11395,0,1,0,1996,"ScientificPublicationDate_Earliest","virus","HP3","everglades","virus",1,1,1,"venezuelan equine encephalitis-related","vector",1
"highlands j","peromyscus gossypinus","Antibodies",0,"Day et al. 1996","rodentia","cricetidae","peromyscus","gossypinus","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11526,0,0,0,1996,"ScientificPublicationDate_Earliest","virus","HP3","highlands j","virus",0,0,0,NA,NA,0
"st. louis encephalitis","peromyscus gossypinus","Antibodies",0,"Day et al. 1996","rodentia","cricetidae","peromyscus","gossypinus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1996,"ScientificPublicationDate_Earliest","virus","HP3","st. louis encephalitis","virus",1,1,1,"st. louis encephalitis","vector",1
"venezuelan equine encephalitis","peromyscus gossypinus","Antibodies",0,"Acha & Szyfres 2003; Chamberlain et al. 1964; Bigler 1971","rodentia","cricetidae","peromyscus","gossypinus","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11444,0,1,1,1964,"ScientificPublicationDate_Earliest","virus","HP3","venezuelan equine encephalitis","virus",1,1,1,"venezuelan equine encephalitis","vector",1
"bayou","peromyscus leucopus","Antibodies",0,"Holsomback et al. 2009","rodentia","cricetidae","peromyscus","leucopus","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,12155,0,1,1,2009,"ScientificPublicationDate_Earliest","virus","HP3","bayou","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environment, respiratory",1
"eastern equine encephalitis","peromyscus leucopus","Antibodies",0,"Karabatsos 1985 in Day et al. 1996","rodentia","cricetidae","peromyscus","leucopus","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11675,0,1,0,1985,"ScientificPublicationDate_Earliest","virus","HP3","eastern equine encephalitis","virus",1,1,1,"eastern equine encephalitis","vector",1
"new york","peromyscus leucopus","PCR",2,"Hjelle et al. 1995","rodentia","cricetidae","peromyscus","leucopus","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,15450,0,1,1,1995,"ScientificPublicationDate_Earliest","virus","HP3","new york-1","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environment, respiratory",1
"powassan","peromyscus leucopus","Isolation",2,"Shope 2003","rodentia","cricetidae","peromyscus","leucopus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10792.5,0,1,1,2003,"ScientificPublicationDate_Earliest","virus","HP3","powassan","virus",1,1,1,"powassan encephalitis","vector, food",1
"sal vieja","peromyscus leucopus","Isolation",2,"Varelas-Wesley et al. 1982","rodentia","cricetidae","peromyscus","leucopus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10500,0,0,0,1982,"ScientificPublicationDate_Earliest","virus","HP3","sal vieja","virus",0,0,0,NA,NA,0
"san perlita","peromyscus leucopus","Isolation",2,"Varelas-Wesley et al. 1982","rodentia","cricetidae","peromyscus","leucopus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10500,0,0,0,1982,"ScientificPublicationDate_Earliest","virus","HP3","san perlita","virus",0,0,0,NA,NA,0
"sin nombre","peromyscus leucopus","Antibodies",0,"Weigler et al. 1996","rodentia","cricetidae","peromyscus","leucopus","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,12317,0,1,1,1996,"ScientificPublicationDate_Earliest","virus","HP3","sin nombre","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"st. louis encephalitis","peromyscus leucopus","Antibodies",0,"White & White 1981","rodentia","cricetidae","peromyscus","leucopus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1981,"ScientificPublicationDate_Earliest","virus","HP3","st. louis encephalitis","virus",1,1,1,"st. louis encephalitis","vector",1
"vesicular stomatitis indiana","peromyscus leucopus","plaque reduction neutralization",1,"Aguirre et al. 1992","rodentia","cricetidae","peromyscus","leucopus","mononegavirales","rhabdoviridae",NA,"vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11161,0,1,0,1992,"ScientificPublicationDate_Earliest","virus","HP3","vesicular stomatitis indiana","virus",1,1,1,"vesicular stomatitis","vector, contact",1
"west nile","peromyscus leucopus","Antibodies",0,"Gomez et al. 2008","rodentia","cricetidae","peromyscus","leucopus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,11029,0,1,1,2008,"ScientificPublicationDate_Earliest","virus","HP3","west nile","virus",1,1,1,"west nile fever","vector, fluids",1
"whitewater arroyo","peromyscus leucopus","Antibodies",0,"Milazzo et al. 2010","rodentia","cricetidae","peromyscus","leucopus","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10448,0,1,1,2010,"ScientificPublicationDate_Earliest","virus","HP3","whitewater arroyo","virus",1,1,1,"whitewater arroyo virus infection","environment, respiratory",1
"colorado tick fever","peromyscus maniculatus","Isolation",2,"Carey et al. 1980","rodentia","cricetidae","peromyscus","maniculatus","unassigned","reoviridae","spinareovirinae","coltivirus","DS","RNA","non-enveloped",TRUE,TRUE,26000,0,1,1,1980,"ScientificPublicationDate_Earliest","virus","HP3","colorado tick fever","virus",1,1,1,"colorado tick fever","vector",1
"modoc","peromyscus maniculatus","Isolation",2,"Varelas-Wesley & Calisher 1982","rodentia","cricetidae","peromyscus","maniculatus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10600,0,1,0,1982,"ScientificPublicationDate_Earliest","virus","HP3","modoc","virus",0,1,1,"viral encephalitis (st. louis-related)","vector",1
"mopeia","peromyscus maniculatus","Isolation",2,"Gonzalez et al. 2007","rodentia","cricetidae","peromyscus","maniculatus","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10698,0,0,0,2007,"ScientificPublicationDate_Earliest","virus","HP3","mopeia","virus",0,0,0,NA,NA,0
"powassan","peromyscus maniculatus","Antibodies",0,"Deardoff et al. 2013","rodentia","cricetidae","peromyscus","maniculatus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10792.5,0,1,1,2013,"ScientificPublicationDate_Earliest","virus","HP3","powassan","virus",1,1,1,"powassan encephalitis","vector, food",1
"prospect hill","peromyscus maniculatus","Antibodies",0,"Yanagihara et al. 1987","rodentia","cricetidae","peromyscus","maniculatus","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,11941,0,0,0,1987,"ScientificPublicationDate_Earliest","virus","HP3","prospect hill","virus",0,0,0,NA,NA,0
"sin nombre","peromyscus maniculatus","Isolation",2,"Acha & Szyfres 2003; Song et al. 1996","rodentia","cricetidae","peromyscus","maniculatus","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,12317,0,1,1,1996,"ScientificPublicationDate_Earliest","virus","HP3","sin nombre","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"st. louis encephalitis","peromyscus maniculatus","Antibodies",0,"Hardy et al. 1974","rodentia","cricetidae","peromyscus","maniculatus","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10940,0,1,1,1974,"ScientificPublicationDate_Earliest","virus","HP3","st. louis encephalitis","virus",1,1,1,"st. louis encephalitis","vector",1
"vesicular stomatitis new jersey","peromyscus maniculatus","Antibodies",0,"Webb et al. 1987","rodentia","cricetidae","peromyscus","maniculatus","mononegavirales","rhabdoviridae",NA,"vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11123,0,1,0,1987,"ScientificPublicationDate_Earliest","virus","HP3","vesicular stomatitis new jersey","virus",1,1,1,"vesicular stomatitis","vector, contact",1
"western equine encephalitis","peromyscus maniculatus","Isolation",2,"Hardy et al. 1974","rodentia","cricetidae","peromyscus","maniculatus","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11000,0,1,1,1974,"ScientificPublicationDate_Earliest","virus","HP3","western equine encephalitis","virus",1,1,1,"western equine encephalitis","vector",1
"whitewater arroyo","peromyscus maniculatus","Antibodies",0,"Milazzo et al. 2010; Bennett et al. 2000","rodentia","cricetidae","peromyscus","maniculatus","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10448,0,1,1,2000,"ScientificPublicationDate_Earliest","virus","HP3","whitewater arroyo","virus",1,1,1,"whitewater arroyo virus infection","environment, respiratory",1
"whitewater arroyo","peromyscus megalops","Antibodies",0,"Milazzo et al. 2010","rodentia","cricetidae","peromyscus","megalops","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10448,0,1,1,2010,"ScientificPublicationDate_Earliest","virus","HP3","whitewater arroyo","virus",1,1,1,"whitewater arroyo virus infection","environment, respiratory",1
"whitewater arroyo","peromyscus melanophrys","Antibodies",0,"Milazzo et al. 2010","rodentia","cricetidae","peromyscus","melanophrys","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10448,0,1,1,2010,"ScientificPublicationDate_Earliest","virus","HP3","whitewater arroyo","virus",1,1,1,"whitewater arroyo virus infection","environment, respiratory",1
"whitewater arroyo","peromyscus melanotis","Antibodies",0,"Milazzo et al. 2010","rodentia","cricetidae","peromyscus","melanotis","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10448,0,1,1,2010,"ScientificPublicationDate_Earliest","virus","HP3","whitewater arroyo","virus",1,1,1,"whitewater arroyo virus infection","environment, respiratory",1
"amapari","peromyscus mexicanus","Antibodies",0,"Milazzo et al. 2010","rodentia","cricetidae","peromyscus","mexicanus","unassigned","arenaviridae",NA,"arenavirus","SS","RNA","enveloped",TRUE,TRUE,10387,0,0,0,2010,"ScientificPublicationDate_Earliest","virus","HP3","amapari","virus",0,0,0,NA,NA,0
"patois","peromyscus mexicanus","Antibodies",0,"Scherer et al. 1972","rodentia","cricetidae","peromyscus","mexicanus","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12375,0,1,0,1972,"ScientificPublicationDate_Earliest","virus","HP3","patois","virus",0,0,0,NA,NA,1
"rio segundo","peromyscus mexicanus","Antibodies",0,"Salazar et al. 2004","rodentia","cricetidae","peromyscus","mexicanus","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,15450,0,0,0,2004,"ScientificPublicationDate_Earliest","virus","HP3","rio segundo","virus",0,0,0,NA,NA,0
"colorado tick fever","peromyscus truei","Antibodies",0,"Emmons 1994","rodentia","cricetidae","peromyscus","truei","unassigned","reoviridae","spinareovirinae","coltivirus","DS","RNA","non-enveloped",TRUE,TRUE,26000,0,1,1,1994,"ScientificPublicationDate_Earliest","virus","HP3","colorado tick fever","virus",1,1,1,"colorado tick fever","vector",1
"powassan","peromyscus truei","Antibodies",0,"Deardoff et al. 2013","rodentia","cricetidae","peromyscus","truei","unassigned","flaviviridae",NA,"flavivirus","SS","RNA","enveloped",FALSE,TRUE,10792.5,0,1,1,2013,"ScientificPublicationDate_Earliest","virus","HP3","powassan","virus",1,1,1,"powassan encephalitis","vector, food",1
"prospect hill","peromyscus truei","Antibodies",0,"Yanagihara et al. 1987","rodentia","cricetidae","peromyscus","truei","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,11941,0,0,0,1987,"ScientificPublicationDate_Earliest","virus","HP3","prospect hill","virus",0,0,0,NA,NA,0
"sin nombre","peromyscus truei","Antibodies",0,"Abbott et al. 1999","rodentia","cricetidae","peromyscus","truei","unassigned","bunyaviridae",NA,"hantavirus","SS","RNA","enveloped",TRUE,TRUE,12317,0,1,1,1999,"ScientificPublicationDate_Earliest","virus","HP3","sin nombre","virus",1,1,1,"hantavirus pulmonary syndrome","direct, environmental, respiratory",1
"volepox","peromyscus truei","Isolation",2,"Knight et al. 1992","rodentia","cricetidae","peromyscus","truei","unassigned","poxviridae","chordopoxvirinae","orthopoxvirus","DS","DNA","enveloped",FALSE,TRUE,210000,0,0,0,1992,"ScientificPublicationDate_Earliest","virus","HP3","volepox","virus",0,0,0,NA,NA,0
"crimean-congo hemorrhagic fever","phacochoerus aethiopicus","Antibodies",0,"Shepherd et al. 1987","cetartiodactyla","suidae","phacochoerus","aethiopicus","unassigned","bunyaviridae",NA,"nairovirus","SS","RNA","enveloped",TRUE,TRUE,19950,0,1,1,1987,"ScientificPublicationDate_Earliest","virus","HP3","crimean-congo hemorrhagic fever","virus",1,1,1,"crimean-congo hemorrhagic fever","vector, direct",1
"foot-and-mouth disease","phacochoerus aethiopicus","Antibodies",0,"Hamblin et al. 1990","cetartiodactyla","suidae","phacochoerus","aethiopicus","picornavirales","picornaviridae",NA,"aphthovirus","SS","RNA","non-enveloped",FALSE,TRUE,8159,0,1,1,1990,"ScientificPublicationDate_Earliest","virus","HP3","foot-and-mouth disease","virus",1,1,0,NA,NA,1
"african swine fever","phacochoerus africanus","PCR",2,"Gallardo et al. 2011","cetartiodactyla","suidae","phacochoerus","africanus","unassigned","asfarviridae",NA,"asfivirus","DS","DNA","enveloped",FALSE,TRUE,170101,0,0,0,2011,"ScientificPublicationDate_Earliest","virus","HP3","african swine fever","virus",0,0,0,NA,NA,0
"araguari","philander opossum","Isolation",2,"Karabatsos 1985","didelphimorphia","didelphidae","philander","opossum","unassigned","unassigned",NA,"unassigned","SS","RNA","enveloped",FALSE,FALSE,NA,0,0,0,1985,"ScientificPublicationDate_Earliest","virus","HP3","araguari","virus",0,0,0,NA,NA,0
"mayaro","philander opossum","Antibodies",0,"de Thoisy et al. 2003","didelphimorphia","didelphidae","philander","opossum","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11411,0,1,0,2003,"ScientificPublicationDate_Earliest","virus","HP3","mayaro","virus",1,1,1,"mayaro","vector",1
"patois","philander opossum","Antibodies",0,"Scherer et al. 1972","didelphimorphia","didelphidae","philander","opossum","unassigned","bunyaviridae",NA,"orthobunyavirus","SS","RNA","enveloped",TRUE,TRUE,12375,0,1,0,1972,"ScientificPublicationDate_Earliest","virus","HP3","patois","virus",0,0,0,NA,NA,1
"venezuelan equine encephalitis","philander opossum","Antibodies",0,"Seymour et al. 1978","didelphimorphia","didelphidae","philander","opossum","unassigned","togaviridae",NA,"alphavirus","SS","RNA","enveloped",FALSE,TRUE,11444,0,1,1,1978,"ScientificPublicationDate_Earliest","virus","HP3","venezuelan equine encephalitis","virus",1,1,1,"venezuelan equine encephalitis","vector",1
"vesicular stomatitis indiana","philander opossum","plaque reduction neutralization",1,"Tesh et al. 1969","didelphimorphia","didelphidae","philander","opossum","mononegavirales","rhabdoviridae",NA,"vesiculovirus","SS","RNA","enveloped",FALSE,TRUE,11161,0,1,0,1969,"ScientificPublicationDate_Earliest","virus","HP3","vesicular stomatitis indiana","virus",1,1,1,"vesicular stomatitis","vector, contact",1
