name,exact,type,order,class,family,genus,species,checked_prev,rg_updated,species_updated,class_updated,order_updated,family_updated,genus_updated,unresolved_notes
bovine norovirus-jena,FALSE,viruses,Nidovirales,Pisoniviricetes,Tobaniviridae,Torovirus,Bovine torovirus,TRUE,TRUE,Norwalk virus,Pisoniviricetes,Picornavirales,Caliciviridae,Norovirus,
bovine papular stomatitis,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Parapoxvirus,Bovine papular stomatitis virus,TRUE,,,,,,,
bovine reovirus,FALSE,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Nebovirus,Bovine nebovirus,TRUE,TRUE,Mammalian orthoreovirus,Resentoviricetes,Reovirales,Reoviridae,Orthoreovirus,
bovine respiratory syncytial,FALSE,viruses,Mononegavirales,Monjiviricetes,Pneumoviridae,Orthopneumovirus,Bovine orthopneumovirus,TRUE,,,,,,,
bovine rhinitis a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Aphthovirus,Bovine rhinitis B virus,TRUE,TRUE,Bovine rhinitis A virus,Pisoniviricetes,Picornavirales,Picornaviridae,Aphthovirus,
bovine rhinitis b,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Aphthovirus,Bovine rhinitis B virus,TRUE,,,,,,,
bse agent,FALSE,viruses,Reovirales,Resentoviricetes,Reoviridae,Rotavirus,Rotavirus B,TRUE,TRUE,NA,,NA,,,not a virus
buffalopox,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Vaccinia virus,TRUE,,,,,,,
bujaru,FALSE,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Phlebovirus,Bujaru phlebovirus,TRUE,,,,,,,
bukalasa bat,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Bukalasa bat virus,TRUE,,,,,,,
bunyamwera,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Bunyamwera orthobunyavirus,TRUE,,,,,,,
bushbush,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Bushbush orthobunyavirus,TRUE,,,,,,,
bwamba,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Bwamba orthobunyavirus,TRUE,,,,,,,
cabassou,FALSE,viruses,Martellivirales,Alsuviricetes,Togaviridae,Alphavirus,Cabassou virus,TRUE,,,,,,,
cacipacore,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Cacipacore virus,TRUE,,,,,,,
california encephalitis,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,California encephalitis orthobunyavirus,TRUE,,,,,,,
camelpox,FALSE,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Orthopoxvirus,Camelpox virus,TRUE,,,,,,,
candiru,FALSE,viruses,Bunyavirales,Ellioviricetes,Phenuiviridae,Bandavirus,,TRUE,TRUE,Candiru phlebovirus,Ellioviricetes,Bunyavirales,Phenuiviridae,Phlebovirus,
canine distemper,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Morbillivirus,Canine morbillivirus,TRUE,,,,,,,
canine mastadenovirus a,FALSE,viruses,Rowavirales,Tectiliviricetes,Adenoviridae,Mastadenovirus,Canine mastadenovirus A,TRUE,,,,,,,
canine minute,FALSE,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Bocaparvovirus,Carnivore bocaparvovirus 1,TRUE,,,,,,,
canine parainfluenza,FALSE,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,,Canine parainfluenza virus,TRUE,,,,,,,
cano delgadito,FALSE,viruses,Bunyavirales,Ellioviricetes,Hantaviridae,Orthohantavirus,Cano Delgadito orthohantavirus,TRUE,,,,,,,
capim,FALSE,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Capim orthobunyavirus,TRUE,,,,,,,
caprine arthritis encephalitis,FALSE,viruses,Ortervirales,Revtraviricetes,Retroviridae,Lentivirus,Caprine arthritis encephalitis virus,TRUE,,,,,,,
carajas,FALSE,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Vesiculovirus,Carajas vesiculovirus,TRUE,,,,,,,
caraparu,FALSE,viruses,Bunyavirales,Ellioviricetes,Phasmaviridae,,Carapha virus,TRUE,TRUE,Caraparu orthobunyavirus,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,
cardiovirus a,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Cardiovirus,Cardiovirus A,TRUE,,,,,,,
cardiovirus b,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Cardiovirus,Cardiovirus A,TRUE,TRUE,Cardiovirus B,Pisoniviricetes,Picornavirales,Picornaviridae,Cardiovirus,
cardiovirus c,FALSE,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Cardiovirus,Cardiovirus A,TRUE,TRUE,Cardiovirus C,Pisoniviricetes,Picornavirales,Picornaviridae,Cardiovirus,
carey island,FALSE,viruses,Amarillovirales,Flasuviricetes,Flaviviridae,Flavivirus,Carey Island virus,TRUE,,,,,,,
catu,FALSE,viruses,Nidovirales,Pisoniviricetes,Mesoniviridae,Alphamesonivirus,Alphamesonivirus 1,TRUE,TRUE,Catu orthobunyavirus,Ellioviricetes,Bunyavirales,Peribunyaviridae,Orthobunyavirus,
caviid herpesvirus 1,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Iltovirus,Gaviid herpesvirus 1,TRUE,TRUE,Caviid herpesvirus 1,Herviviricetes,Herpesvirales,Herpesviridae,,unresolved; no clear match in NCBITaxonomy
caviid herpesvirus 3,FALSE,viruses,Herpesvirales,Herviviricetes,Herpesviridae,,Caviid betaherpesvirus 2,TRUE,TRUE,Caviid herpesvirus 3,Herviviricetes,Herpesvirales,Herpesviridae,,unresolved; no clear match in NCBITaxonomy
