name,class,clade,superorder,order,suborder,family,subfamily,genus,species,subspecies,subgenus,subclass,infraclass,cohort,infraorder,superfamily,parvorder,tribe,species group,no rank
tursiops truncatus,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Whippomorpha,Delphinidae,,Tursiops,Tursiops truncatus,,,,,,Cetacea,,Odontoceti,,,
vicugna pacos,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Tylopoda,Camelidae,,Vicugna,Vicugna pacos,,,,,,,,,,,
vicugna vicugna,Mammalia,Boreoeutheria,Laurasiatheria,Artiodactyla,Tylopoda,Camelidae,,Vicugna,Vicugna vicugna,,,,,,,,,,,
aeorestes cinereus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Aeorestes,Aeorestes cinereus,,,,,,,,,,,
aeorestes egregius,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Aeorestes,Aeorestes egregius,,,,,,,,,,,
anoura caudifer,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Glossophaginae,Anoura,Anoura caudifer,,,,,,,,,,,
anoura geoffroyi,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Glossophaginae,Anoura,Anoura geoffroyi,,,,,,,,,,,
antrozous pallidus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Antrozous,Antrozous pallidus,,,,,,,,,,,
artibeus cinereus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Stenodermatinae,Artibeus,Artibeus cinereus,,,,,,,,,,,
artibeus fimbriatus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Stenodermatinae,Artibeus,Artibeus fimbriatus,,,,,,,,,,,
artibeus jamaicensis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Stenodermatinae,Artibeus,Artibeus jamaicensis,,,,,,,,,,,
artibeus lituratus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Stenodermatinae,Artibeus,Artibeus lituratus,,,,,,,,,,,
artibeus phaeotis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Stenodermatinae,Artibeus,Artibeus phaeotis,,,,,,,,,,,
artibeus planirostris,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Stenodermatinae,Artibeus,Artibeus planirostris,,,,,,,,,,,
artibeus toltecus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Stenodermatinae,Artibeus,Artibeus toltecus,,,,,,,,,,,
barbastella barbastellus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Barbastella,Barbastella barbastellus,,,,,,,,,,,
carollia brevicauda,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Carolliinae,Carollia,Carollia brevicauda,,,,,,,,,,,
carollia perspicillata,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Carolliinae,Carollia,Carollia perspicillata,,,,,,,,,,,
carollia subrufa,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Carolliinae,Carollia,Carollia subrufa,,,,,,,,,,,
chaerephon plicatus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Chaerephon,Chaerephon plicatus,,,,,,,,,,,
chaerephon pumilus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Chaerephon,Chaerephon pumilus,,,,,,,,,,,
chrotopterus auritus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Phyllostominae,Chrotopterus,Chrotopterus auritus,,,,,,,,,,,
corynorhinus townsendii,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Corynorhinus,Corynorhinus townsendii,,,,,,,,,,,
cynomops abrasus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Cynomops,Cynomops abrasus,,,,,,,,,,,
cynomops planirostris,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Cynomops,Cynomops planirostris,,,,,,,,,,,
cynopterus brachyotis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Cynopterus,Cynopterus brachyotis,,,,,,,,,,,
cynopterus sphinx,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Cynopterus,Cynopterus sphinx,,,,,,,,,,,
dasypterus ega,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Dasypterus,Dasypterus ega,,,,,,,,,,,
dasypterus intermedius,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Dasypterus,Dasypterus intermedius,,,,,,,,,,,
dasypterus xanthinus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Dasypterus,Dasypterus xanthinus,,,,,,,,,,,
desmodus rotundus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Desmodontinae,Desmodus,Desmodus rotundus,,,,,,,,,,,
diaemus youngi,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Desmodontinae,Diaemus,Diaemus youngi,,,,,,,,,,,
diclidurus albus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Emballonuridae,Emballonurinae,Diclidurus,Diclidurus albus,,,,,,,,,,,
diphylla ecaudata,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Desmodontinae,Diphylla,Diphylla ecaudata,,,,,,,,,,,
dobsonia anderseni,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Dobsonia,Dobsonia andersoni,,,,,,,,,,,
dobsonia moluccensis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Dobsonia,Dobsonia moluccensis,,,,,,,,,,,
eidolon dupreanum,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Eidolon,Eidolon dupreanum,,,,,,,,,,,
eidolon helvum,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Eidolon,Eidolon helvum,,,,,,,,,,,
eonycteris spelaea,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Macroglossinae,Eonycteris,Eonycteris spelaea,,,,,,,,,,,
epomophorus gambianus,Mammalia,Epomophorini-Myonycterini lineage,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Epomophorus,Epomophorus gambianus,,,,,,,,,Epomophorini,,
epomophorus labiatus,Mammalia,Epomophorini-Myonycterini lineage,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Epomophorus,Epomophorus labiatus,,,,,,,,,Epomophorini,,
epomophorus wahlbergi,Mammalia,Epomophorini-Myonycterini lineage,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Epomophorus,Epomophorus wahlbergi,,,,,,,,,Epomophorini,,
epomops buettikoferi,Mammalia,Epomophorini-Myonycterini lineage,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Epomops,Epomops buettikoferi,,,,,,,,,Epomophorini,,
epomops dobsonii,Mammalia,Epomophorini-Myonycterini lineage,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Epomops,Epomops dobsonii,,,,,,,,,Epomophorini,,
epomops franqueti,Mammalia,Epomophorini-Myonycterini lineage,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Epomops,Epomops franqueti,,,,,,,,,Epomophorini,,
eptesicus brasiliensis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Eptesicus,Eptesicus brasiliensis,,,,,,,,,,,
eptesicus diminutus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Eptesicus,Eptesicus diminutus,,,,,,,,,,,
eptesicus furinalis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Eptesicus,Eptesicus furinalis,,,,,,,,,,,
eptesicus fuscus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Eptesicus,Eptesicus fuscus,,,,,,,,,,,
eptesicus serotinus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Eptesicus,Eptesicus serotinus,,,,,,,,,,,
euderma maculatum,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Euderma,Euderma maculatum,,,,,,,,,,,
eumops auripendulus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Eumops,Eumops auripendulus,,,,,,,,,,,
eumops bonariensis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Eumops,Eumops bonariensis,,,,,,,,,,,
eumops glaucinus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Eumops,Eumops glaucinus,,,,,,,,,,,
eumops patagonicus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Eumops,Eumops patagonicus,,,,,,,,,,,
eumops perotis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Eumops,Eumops perotis,,,,,,,,,,,
gardnerycteris crenulatum,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Phyllostominae,Gardnerycteris,Gardnerycteris crenulatum,,,,,,,,,,,
glauconycteris argentata,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Glauconycteris,Glauconycteris argentata,,,,,,,,,,,
glossophaga commissarisi,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Glossophaginae,Glossophaga,Glossophaga commissarisi,,,,,,,,,,,
glossophaga longirostris,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Glossophaginae,Glossophaga,Glossophaga longirostris,,,,,,,,,,,
glossophaga morenoi,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Glossophaginae,Glossophaga,Glossophaga morenoi,,,,,,,,,,,
glossophaga soricina,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Glossophaginae,Glossophaga,Glossophaga soricina,,,,,,,,,,,
hipposideros abae,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Hipposideridae,,Hipposideros,Hipposideros abae,,,,,,,,,,,
hipposideros armiger,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Hipposideridae,,Hipposideros,Hipposideros armiger,,,,,,,,,,,
hipposideros bicolor,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Hipposideridae,,Hipposideros,Hipposideros bicolor,,,,,,,,,,,
hipposideros caffer,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Hipposideridae,,Hipposideros,Hipposideros caffer,,,,,,,,,,,
hipposideros cineraceus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Hipposideridae,,Hipposideros,Hipposideros cineraceus,,,,,,,,,,,
hipposideros diadema,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Hipposideridae,,Hipposideros,Hipposideros diadema,,,,,,,,,,,
hipposideros lankadiva,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Hipposideridae,,Hipposideros,Hipposideros lankadiva,,,,,,,,,,,
hipposideros larvatus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Hipposideridae,,Hipposideros,Hipposideros larvatus,,,,,,,,,,Hipposideros larvatus sensu lato,
hipposideros pomona,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Hipposideridae,,Hipposideros,Hipposideros pomona,,,,,,,,,,,
hipposideros ruber,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Hipposideridae,,Hipposideros,Hipposideros ruber,,,,,,,,,,,
hipposideros speoris,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Hipposideridae,,Hipposideros,Hipposideros speoris,,,,,,,,,,,
histiotus macrotus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Histiotus,Histiotus macrotus,,,,,,,,,,,
histiotus montanus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Histiotus,Histiotus montanus,,,,,,,,,,,
histiotus velatus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Histiotus,Histiotus velatus,,,,,,,,,,,
hypsignathus monstrosus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,,Hypsignathus,Hypsignathus monstrosus,,,,,,,,,,,
hypsugo savii,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Hypsugo,Hypsugo savii,,,,,,,,,,,
ia io,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Ia,Ia io,,,,,,,,,,,
lasionycteris noctivagans,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Lasionycteris,Lasionycteris noctivagans,,,,,,,,,,,
lasiurus blossevillii,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Lasiurus,Lasiurus blossevillii,,,,,,,,,,,
lasiurus borealis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Lasiurus,Lasiurus borealis,,,,,,,,,,,
lasiurus cinereus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Aeorestes,Aeorestes cinereus,,,,,,,,,,,
lasiurus ega,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Dasypterus,Dasypterus ega,,,,,,,,,,,
lasiurus egregius,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Aeorestes,Aeorestes egregius,,,,,,,,,,,
lasiurus intermedius,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Dasypterus,Dasypterus intermedius,,,,,,,,,,,
lasiurus seminolus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Lasiurus,Lasiurus seminolus,,,,,,,,,,,
lasiurus xanthinus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Dasypterus,Dasypterus xanthinus,,,,,,,,,,,
leptonycteris curasoae,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Glossophaginae,Leptonycteris,Leptonycteris curasoae,,,,,,,,,,,
leptonycteris nivalis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Glossophaginae,Leptonycteris,Leptonycteris nivalis,,,,,,,,,,,
lonchophylla robusta,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Lonchophyllinae,Lonchophylla,Lonchophylla robusta,,,,,,,,,,,
lonchorhina aurita,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Phyllostominae,Lonchorhina,Lonchorhina aurita,,,,,,,,,,,
lophostoma brasiliense,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Phyllostominae,Lophostoma,Lophostoma brasiliense,,,,,,,,,,,
lophostoma silvicolum,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Phyllostominae,Lophostoma,Lophostoma silvicolum,,,,,,,,,,,
lyroderma lyra,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Megadermatidae,,Megaderma,Megaderma lyra,,,,,,,,,,,
macroglossus minimus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Macroglossinae,Macroglossus,Macroglossus minimus,,,,,,,,,,,
macronycteris commersonii,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Hipposideridae,,Macronycteris,Macronycteris commersoni,,,,,,,,,,,
macrotus californicus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Phyllostominae,Macrotus,Macrotus californicus,,,,,,,,,,,
megaderma lyra,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Megadermatidae,,Megaderma,Megaderma lyra,,,,,,,,,,,
micronycteris megalotis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Phyllostomidae,Phyllostominae,Micronycteris,Micronycteris megalotis,,,,,,,,,,,
micropteropus pusillus,Mammalia,Epomophorini-Myonycterini lineage,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Micropteropus,Micropteropus pusillus,,,,,,,,,Epomophorini,,
miniopterus fuliginosus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,Miniopterinae,Miniopterus,Miniopterus fuliginosus,,,,,,,,,,,
miniopterus inflatus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,Miniopterinae,Miniopterus,Miniopterus inflatus,,,,,,,,,,,
miniopterus magnater,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,Miniopterinae,Miniopterus,Miniopterus magnater,,,,,,,,,,,
miniopterus pusillus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,Miniopterinae,Miniopterus,Miniopterus pusillus,,,,,,,,,,,
miniopterus schreibersii,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,Miniopterinae,Miniopterus,Miniopterus schreibersii,,,,,,,,,,,
molossops neglectus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Molossops,Molossops neglectus,,,,,,,,,,,
molossus molossus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Molossus,Molossus molossus,,,,,,,,,,,
molossus rufus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Molossus,Molossus rufus,,,,,,,,,,,
mops condylurus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Mops,Mops condylurus,,,,,,,,,,,
mormoops megalophylla,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Mormoopidae,,Mormoops,Mormoops megalophylla,,,,,,,,,,,
murina aurata,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Murina,Murina aurata,,,,,,,,,,,
murina leucogaster,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Murina,Murina leucogaster,,,,,,,,,,,
myonycteris angolensis,Mammalia,Epomophorini-Myonycterini lineage,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Lissonycteris,Lissonycteris angolensis,,,,,,,,,Myonycterini,,
myonycteris torquata,Mammalia,Epomophorini-Myonycterini lineage,Laurasiatheria,Chiroptera,Megachiroptera,Pteropodidae,Pteropodinae,Myonycteris,Myonycteris torquata,,,,,,,,,Myonycterini,,
myotis albescens,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis albescens,,,,,,,,,,,
myotis austroriparius,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis austroriparius,,,,,,,,,,,
myotis bechsteinii,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis bechsteinii,,,,,,,,,,,
myotis blythii,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis blythii,,,,,,,,,,,
myotis californicus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis californicus,,,,,,,,,,,
myotis capaccinii,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis capaccinii,,,,,,,,,,,
myotis chiloensis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis chiloensis,,,,,,,,,,,
myotis chinensis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis chinensis,,,,,,,,,,,
myotis dasycneme,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis dasycneme,,,,,,,,,,,
myotis daubentonii,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis daubentonii,,,,,,,,,,,
myotis evotis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis evotis,,,,,,,,,,,
myotis grisescens,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis grisescens,,,,,,,,,,,
myotis horsfieldii,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis horsfieldii,,,,,,,,,,,
myotis keenii,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis keenii,,,,,,,,,,,
myotis leibii,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis leibii,,,,,,,,,,,
myotis levis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis levis,,,,,,,,,,,
myotis lucifugus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis lucifugus,,,,,,,,,,,
myotis macrodactylus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis macrodactylus,,,,,,,,,,,
myotis myotis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis myotis,,,,,,,,,,,
myotis mystacinus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis mystacinus,,,,,,,,,,,
myotis nattereri,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis nattereri,,,,,,,,,,,
myotis nigricans,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis nigricans,,,,,,,,,,,
myotis pilosus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis ricketti,,,,,,,,,,,
myotis ricketti,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis ricketti,,,,,,,,,,,
myotis riparius,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis riparius,,,,,,,,,,,
myotis septentrionalis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis septentrionalis,,,,,,,,,,,
myotis thysanodes,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis thysanodes,,,,,,,,,,,
myotis velifer,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis velifer,,,,,,,,,,,
myotis volans,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis volans,,,,,,,,,,,
myotis yumanensis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Myotis,Myotis yumanensis,,,,,,,,,,,
natalus stramineus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Natalidae,,Natalus,Natalus stramineus,,,,,,,,,,,
natalus tumidirostris,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Natalidae,,Natalus,Natalus tumidirostris,,,,,,,,,,,
nyctalus noctula,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Nyctalus,Nyctalus noctula,,,,,,,,,,,
nycteris gambiensis,Aconoidasida,,,Haemosporida,,Plasmodiidae,,Nycteria,Nycteria gabonensis,,,,,,,,,,,
nycteris nana,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Afronycteris,Afronycteris nana,,,,,,,,,,,
nycteris thebaica,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Nycteridae,,Nycteris,Nycteris thebaica,,,,,,,,,,,
nycticeius humeralis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Nycticeius,Nycticeius humeralis,,,,,,,,,,,
nyctinomops laticaudatus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Nyctinomops,Nyctinomops laticaudatus,,,,,,,,,,,
nyctinomops macrotis,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Nyctinomops,Nyctinomops macrotis,,,,,,,,,,,
otomops martiensseni,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Molossidae,,Otomops,Otomops martiensseni,,,,,,,,,,,
parastrellus hesperus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Parastrellus,Parastrellus hesperus,,,,,,,,,,,
perimyotis subflavus,Mammalia,Boreoeutheria,Laurasiatheria,Chiroptera,Microchiroptera,Vespertilionidae,,Perimyotis,Perimyotis subflavus,,,,,,,,,,,
