HostOriginal,HostTaxID,HostNCBIResolved,Host,HostGenus,HostFamily,HostOrder,HostClass,ManualResolved_Note
loris tardigradus,9468,TRUE,Loris tardigradus,Loris,Lorisidae,Primates,Mammalia,
lorius chlorocercus,471714,TRUE,Lorius chlorocercus,Lorius,Psittaculidae,Psittaciformes,Aves,
lorius lory,274062,TRUE,Lorius lory,Lorius,Psittaculidae,Psittaciformes,Aves,
lota lota,69944,TRUE,Lota lota,Lota,Lotidae,Gadiformes,Actinopteri,
loxodonta africana,9785,TRUE,Loxodonta africana,Loxodonta,Elephantidae,Proboscidea,Mammalia,
loxodontomys micropus,89122,TRUE,Loxodontomys micropus,Loxodontomys,Cricetidae,Rodentia,Mammalia,
luciobrama macrocephalus,238034,TRUE,Luciobrama macrocephalus,Luciobrama,Xenocyprididae,Cypriniformes,Actinopteri,
luscinia luscinia,391696,TRUE,Luscinia luscinia,Luscinia,Turdidae,Passeriformes,Aves,
luscinia svecica,52792,TRUE,Luscinia svecica,Luscinia,Turdidae,Passeriformes,Aves,
lutjanus adetii,396783,TRUE,Lutjanus adetii,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus argentimaculatus,211834,TRUE,Lutjanus argentimaculatus,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus argentiventris,319431,TRUE,Lutjanus argentiventris,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus bohar,396784,TRUE,Lutjanus bohar,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus carponotatus,396785,TRUE,Lutjanus carponotatus,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus erythropterus,211835,TRUE,Lutjanus erythropterus,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus fulviflamma,260525,TRUE,Lutjanus fulviflamma,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus fulvus,260524,TRUE,Lutjanus fulvus,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus griseus,40503,TRUE,Lutjanus griseus,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus guttatus,455479,TRUE,Lutjanus guttatus,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus johnii,273455,TRUE,Lutjanus johnii,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus lutjanus,475167,TRUE,Lutjanus lutjanus,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus russellii,232193,TRUE,Lutjanus russellii,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus sanguineus,264213,TRUE,Lutjanus sanguineus,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus sebae,232192,TRUE,Lutjanus sebae,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus stellatus,211833,TRUE,Lutjanus stellatus,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutjanus vitta,379402,TRUE,Lutjanus vitta,Lutjanus,Lutjanidae,Lutjaniformes,Actinopteri,
lutra lutra,9657,TRUE,Lutra lutra,Lutra,Mustelidae,Carnivora,Mammalia,
lycalopex culpaeus,68736,TRUE,Lycalopex culpaeus,Lycalopex,Canidae,Carnivora,Mammalia,
lycalopex griseus,68737,TRUE,Lycalopex griseus,Lycalopex,Canidae,Carnivora,Mammalia,
lycalopex gymnocercus,425201,TRUE,Lycalopex gymnocercus,Lycalopex,Canidae,Carnivora,Mammalia,
lycalopex vetulus,68734,TRUE,Lycalopex vetulus,Lycalopex,Canidae,Carnivora,Mammalia,
lycaon pictus,9622,TRUE,Lycaon pictus,Lycaon,Canidae,Carnivora,Mammalia,
lycodes eudipleurostictus,215433,TRUE,Lycodes eudipleurostictus,Lycodes,Zoarcidae,Perciformes,Actinopteri,
lynx canadensis,61383,TRUE,Lynx canadensis,Lynx,Felidae,Carnivora,Mammalia,
lynx lynx,13125,TRUE,Lynx lynx,Lynx,Felidae,Carnivora,Mammalia,
lynx pardinus,191816,TRUE,Lynx pardinus,Lynx,Felidae,Carnivora,Mammalia,
lynx rufus,61384,TRUE,Lynx rufus,Lynx,Felidae,Carnivora,Mammalia,
lyrurus tetrix,1233216,TRUE,Lyrurus tetrix,Lyrurus,Phasianidae,Galliformes,Aves,
macaca arctoides,9540,TRUE,Macaca arctoides,Macaca,Cercopithecidae,Primates,Mammalia,
macaca assamensis,9551,TRUE,Macaca assamensis,Macaca,Cercopithecidae,Primates,Mammalia,
macaca balantak,281404,TRUE,Macaca balantak,Macaca,Cercopithecidae,Primates,Mammalia,
macaca cyclopis,78449,TRUE,Macaca cyclopis,Macaca,Cercopithecidae,Primates,Mammalia,
macaca fascicularis,9541,TRUE,Macaca fascicularis,Macaca,Cercopithecidae,Primates,Mammalia,
macaca fuscata,9542,TRUE,Macaca fuscata,Macaca,Cercopithecidae,Primates,Mammalia,
macaca hecki,90382,TRUE,Macaca hecki,Macaca,Cercopithecidae,Primates,Mammalia,
macaca maura,90383,TRUE,Macaca maura,Macaca,Cercopithecidae,Primates,Mammalia,
macaca mulatta,9544,TRUE,Macaca mulatta,Macaca,Cercopithecidae,Primates,Mammalia,
macaca nemestrina,9545,TRUE,Macaca nemestrina,Macaca,Cercopithecidae,Primates,Mammalia,
macaca nigra,54600,TRUE,Macaca nigra,Macaca,Cercopithecidae,Primates,Mammalia,
macaca nigrescens,90384,TRUE,Macaca nigrescens,Macaca,Cercopithecidae,Primates,Mammalia,
macaca ochreata,90385,TRUE,Macaca ochreata,Macaca,Cercopithecidae,Primates,Mammalia,
macaca radiata,9548,TRUE,Macaca radiata,Macaca,Cercopithecidae,Primates,Mammalia,
macaca silenus,54601,TRUE,Macaca silenus,Macaca,Cercopithecidae,Primates,Mammalia,
macaca sinica,9552,TRUE,Macaca sinica,Macaca,Cercopithecidae,Primates,Mammalia,
macaca sylvanus,9546,TRUE,Macaca sylvanus,Macaca,Cercopithecidae,Primates,Mammalia,
macaca thibetana,54602,TRUE,Macaca thibetana,Macaca,Cercopithecidae,Primates,Mammalia,
macaca tonkeana,40843,TRUE,Macaca tonkeana,Macaca,Cercopithecidae,Primates,Mammalia,
maccullochella peelii,135761,TRUE,Maccullochella peelii,Maccullochella,Percichthyidae,Centrarchiformes,Actinopteri,
macquaria novemaculeata,45783,TRUE,Percalates novemaculeata,Percalates,'Percalatidae',Centrarchiformes,Actinopteri,
macrochelys temminckii,571338,TRUE,Macrochelys temminckii,Macrochelys,Chelydridae,Testudines,NA,
macroglossus minimus,29076,TRUE,Macroglossus minimus,Macroglossus,Pteropodidae,Chiroptera,Mammalia,
macronectes giganteus,37057,TRUE,Macronectes giganteus,Macronectes,Procellariidae,Procellariiformes,Aves,
macropodus opercularis,158451,TRUE,Macropodus opercularis,Macropodus,Osphronemidae,Anabantiformes,Actinopteri,
macropus agilis,9313,TRUE,Notamacropus agilis,Notamacropus,Macropodidae,Diprotodontia,Mammalia,
macropus antilopinus,9314,TRUE,Osphranter antilopinus,Osphranter,Macropodidae,Diprotodontia,Mammalia,
macropus eugenii,9315,TRUE,Notamacropus eugenii,Notamacropus,Macropodidae,Diprotodontia,Mammalia,
macropus fuliginosus,9316,TRUE,Macropus fuliginosus,Macropus,Macropodidae,Diprotodontia,Mammalia,
macropus giganteus,9317,TRUE,Macropus giganteus,Macropus,Macropodidae,Diprotodontia,Mammalia,
macropus irma,196387,TRUE,Notamacropus irma,Notamacropus,Macropodidae,Diprotodontia,Mammalia,
