"AssocID","Host_AsReported","Pathogen_AsReported"
24229,"cervus elaphus hispanicus","mycobacterium bovis"
24230,"cervus elaphus","mycobacterium bovis"
24231,"cervus elaphus nelsoni","mycobacterium bovis"
24232,"cervus elaphus hispanica","mycobacterium bovis"
24233,"cervus elaphus","mycobacterium bovis"
24234,"cervus elaphus","mycobacterium bovis"
24235,"cervus elaphus","mycobacterium bovis"
24236,"cervus elaphus","mycobacterium tuberculosis"
24239,"cervus elaphus nelsoni","mycobacterium chelonae abscessus"
24240,"cervus elaphus hispanica","mycobacterium chelonae"
24241,"cervus elaphus nelsoni","mycobacterium terrae"
24242,"cervus elaphus hispanica","mycobacterium flavescens"
24243,"cervus elaphus hispanica","mycobacterium fortuitum"
24244,"cervus elaphus hispanica","mycobacterium smegmatis"
24245,"cervus elaphus","pasteurella multocida serotype 3 x 4"
24246,"cervus elaphus","pasteurella multocida serotype 3"
24247,"cervus elaphus nelsoni","pasteurella multocida"
24248,"cervus elaphus nelsoni","pasteurella multocida (capsule b, serotype 3/4)"
24255,"cervus elaphus hispanicus","rickettsia slovaca"
24256,"cervus elaphus","rickettsia"
24257,"cervus elaphus","salmonella abortus ovis"
24260,"cervus elaphus","corynebacterium pyogenes"
24261,"cervus elaphus nelsoni","actinomyces pyogenes"
24263,"cervus elaphus","yersinia enterocolitica"
24264,"cervus elaphus","yersinia enterocolitica serotype 0:5"
24267,"cervus elaphus","yersinia kristensenii serotype 0:11, 23"
24268,"cervus elaphus","yersinia kristensenii serotype 0:12, 25"
24270,"cervus elaphus","yersinia molaretti"
24271,"cervus elaphus","yersinia pseudotuberculosis"
24272,"cervus elaphus","yersinia"
24283,"cervus nippon keramae","bacillus thuringiensis"
24290,"cervus nippon","borrelia burgdorferi"
24291,"cervus nippon yesoensis","borrelia burgdorferi (strain ho14)"
24292,"cervus nippon yesoensis","borrelia burgdorferi (strain hp3)"
24293,"cervus nippon yesoensis","borrelia burgdorferi"
24294,"cervus nippon","borrelia burgdorferi"
24296,"cervus nippon yesoensis","borrelia garinii"
24299,"cervus nippon centralis","coxiella burnetii"
24300,"cervus nippon yesoensis","coxiella burnetii"
24304,"cervus nippon yesoensis","ehrlichia muris"
24308,"cervus nippon","pasteurella multocida"
24309,"cervus nippon yesoensis","rickettsia helvetica"
24311,"cervus nippon","yersinia pseudotuberculosis (serotype 3)"
24312,"cervus nippon","yersinia pseudotuberculosis (serotype 5a)"
24313,"cervus nippon","yersinia pseudotuberculosis (serotype 4b)"
24345,"cercopithecus aethiops centralis","spirochaeta harveyi"
24347,"cercopithecus aethiops pygerythrus","chlamydia sp."
24348,"cercopithecus aethiops pygerythrus","leptospira sp."
24349,"cercopithecus aethiops pygerythrus","rickettsia conorii"
24359,"chrysocyon brachyurus","leptospira interrogans"
24364,"colobus polykomos","staphylococcus aureus"
24370,"connochaetes taurinus","bacillus anthracis"
24373,"connochaetes taurinus","brucella"
24374,"connochaetes taurinus","leptospira interrogans serovar autumnalis"
24375,"connochaetes taurinus","mycobacterium bovis"
24396,"crocuta crocuta","mycobacterium goodii"
24398,"crocuta crocuta","streptococcus equi"
24399,"crocuta crocuta","streptococcus equi ruminatorum"
24413,"cystophora cristata","bordetella bronchiseptica"
24429,"cystophora cristata","brucella pinnipediae"
24431,"cystophora cristata","brucella spp."
24432,"cystophora cristata","brucella sp."
24433,"cystophora cristata","brucella sp."
24434,"cystophora cristata","brucella sp."
24435,"cystophora cristata","leptospira spp."
24443,"dama dama","anaplasma phagocytophilum"
24452,"dama dama","borrelia burgdorferi"
24453,"dama dama","borrelia burgdorferi strain dk ecm 1"
24454,"cervus dama","brucella abortus"
24456,"dama dama","chlamidophila abortus"
24457,"dama dama","chlamydophila abortus"
24459,"cervus dama","chlamydia psittaci"
24461,"cervus dama","coxiella burnetii"
24462,"dama dama","coxiella burnetii"
24466,"cervus dama","listeria monocytogenes"
24468,"dama dama","mycobacterium avium paratuberculosis"
24469,"dama dama","mycobacterium avium paratuberculosis"
24470,"dama dama","mycobacterium avium paratuberculosis"
24471,"dama dama","mycobacterium avium paratuberculosis"
24472,"dama dama","mycobacterium avium paratuberculosis"
24473,"dama dama","mycobacterium paratuberculosis"
24486,"dama dama","mycobacterium bovis"
24487,"dama dama","mycobacterium bovis"
24488,"dama dama","mycobacterium bovis"
24491,"dama dama","pasteurella multocida multocida"
24495,"damaliscus lunatus","bacillus anthracis"
24497,"damaliscus lunatus","cowdria ruminantium"
24498,"damaliscus lunatus","mycobacterium bovis"
24556,"diceros bicornis","bacillus anthracis"
24558,"diceros bicornis","leptospira interrogans serovar pomona"
24559,"diceros bicornis","leptospira interrogans serovar interogans"
24560,"diceros bicornis","leptospira interrogans serovar batavia"
24561,"diceros bicornis","leptospira interrogans serovar copenhageni"
24562,"diceros bicornis","leptospira interrogans serovar tarassovi"
24563,"diceros bicornis","leptospira interrogans serovar grippotyphosa"
24564,"diceros bicornis","leptospira interrogans serovar bratislava"
24728,"enhydra lutris nereis","arcanobacterium phocae"
24729,"enhydra lutris nereis","archanobacterium phocae"
24731,"enhydra lutris nereis","bordetella bronchiseptica"
24733,"enhydra lutris kenyoni","brucella spp."
24734,"enhydra lutris nereis","brucella spp."
24735,"enhydra lutris nereis","campylobacter spp."
24736,"enhydra lutris nereis","clostridium difficile"
24737,"enhydra lutris nereis","clostridium perfringens"
24738,"enhydra lutris nereis","leptospira interrogan"
24739,"enhydra lutris nereis","leptospira interrogans grippo"
24740,"enhydra lutris nereis","leptospira interrogans canicola"
24741,"enhydra lutris nereis","leptospira interrogans hardjo"
24742,"enhydra lutris nereis","leptospira interrogans ictero"
24743,"enhydra lutris nereis","leptospira interrogans pomona"
24744,"enhydra lutris nereis","plesiomonas shigelloides"
24745,"enhydra lutris nereis","salmonella spp."
24746,"enhydra lutris nereis","streptococcus dysgalactiae subsp. equisimilis"
24750,"enhydra lutris nereis","streptococcus phocae"
24752,"enhydra lutris nereis","vibrio alginolyticus"
24753,"enhydra lutris nereis","vibrio cholerae"
24754,"enhydra lutris nereis","vibrio fluvialis"
24755,"enhydra lutris nereis","vibrio parahemolyticus"
24756,"enhydra lutris nereis","vibrio spp."
24798,"equus burchelli","bacillus anthracis"
24799,"equus burchelli chapmani","bacillus anthracis"
24800,"equis burchelli","bacillus anthracis"
24802,"equus burchelli","leptospira interrogans serovar autumnalis"
24803,"equus burchelli","leptospira interrogans serovar ballum"
24805,"equus burchelli","staphylococcus aureus"
24808,"equus burchelli","streptococcus equi ruminatorum"
27005,"equus grevyi","bacillus anthracis"
27006,"equus grevyi","streptococcus faecalis"
27007,"equus grevyi","escherichia coli"
27008,"equus dolichohippus","leptospira interrogans serovar grippotyphosa"
27009,"equus dolichohippus","leptospira interrogans serovar autumnalis"
27010,"equus dolichohippus","leptospira interrogans serovar icterohaemorrhagiae"
27011,"equus grevyi","staphylococcus spp."
27012,"equus zebra zebra","actinobacillus equuli"
27014,"equus zebra hartmannae","bacillus anthracis"
27017,"equus zebra","rhodococcus equi"
27021,"erignathus barbatus","leptospira interrogans serovar grippotyphosa"
