Pathogen_Original,Type,Synonym,InAssoc,Pathogen_Harmonised,Pathogen_Harm2
acinetobacter junii,Bacteria,acinetobacter grimontii; acinetobacter genomosp. 5,TRUE,acinetobacter junii,acinetobacter junii
acinetobacter lwoffii,Bacteria,moraxella lwoffi; acinetobacter genomospecies 8; 9,TRUE,acinetobacter lwoffii,acinetobacter lwoffii
acinetobacter lwoffii,Bacteria,moraxella lwoffi; acinetobacter genomospecies 8; 10,TRUE,acinetobacter lwoffii,acinetobacter lwoffii
acinetobacter lwoffii,Bacteria,moraxella lwoffi; acinetobacter genomospecies 8; 11,TRUE,acinetobacter lwoffii,acinetobacter lwoffii
acinetobacter lwoffii,Bacteria,moraxella lwoffi; acinetobacter genomospecies 8; 12,TRUE,acinetobacter lwoffii,acinetobacter lwoffii
acinetobacter lwoffii,Bacteria,moraxella lwoffi; acinetobacter genomospecies 8; 13,TRUE,acinetobacter lwoffii,acinetobacter lwoffii
acinetobacter nosocomialis,Bacteria,acinetobacter genomosp. 13tu,FALSE,acinetobacter nosocomialis,acinetobacter nosocomialis
acinetobacter parvus,Bacteria,acinetobacter sp. phenon 4,TRUE,acinetobacter parvus,acinetobacter parvus
acinetobacter pittii,Bacteria,acinetobacter genomosp. 3,FALSE,acinetobacter pittii,acinetobacter pittii
acinetobacter radioresistens,Bacteria,acinetobacter genomosp. 12,TRUE,acinetobacter radioresistens,acinetobacter radioresistens
acinetobacter schindleri,Bacteria,acinetobacter sp. phenon 2,FALSE,acinetobacter schindleri,acinetobacter schindleri
acinetobacter seifertii,Bacteria,,FALSE,acinetobacter seifertii,acinetobacter seifertii
acinetobacter ursingii,Bacteria,acinetobacter sp. phenon 1,TRUE,acinetobacter ursingii,acinetobacter ursingii
acinetobacter variabilis,Bacteria,acinetobacter genomosp. 15,FALSE,acinetobacter variabilis,acinetobacter variabilis
actinobacillus anseriformium,Bacteria,bisgaard taxon 26,FALSE,actinobacillus anseriformium,actinobacillus anseriformium
actinobacillus arthritidis,Bacteria,bisgaard taxon 9,TRUE,actinobacillus arthritidis,actinobacillus arthritidis
actinobacillus capsulatus,Bacteria,,FALSE,actinobacillus capsulatus,actinobacillus capsulatus
actinobacillus delphinicola,Bacteria,,FALSE,actinobacillus delphinicola,actinobacillus delphinicola
actinobacillus equuli,Bacteria,shigella viscosa; shigella equuli; eberthella viscosa; bacillus equirulis,TRUE,actinobacillus equuli,actinobacillus equuli
actinobacillus hominis,Bacteria,,TRUE,actinobacillus hominis,actinobacillus hominis
actinobacillus indolicus,Bacteria,,FALSE,actinobacillus indolicus,actinobacillus indolicus
actinobacillus lignieresii,Bacteria,bacterium purifaciens,TRUE,actinobacillus lignieresii,actinobacillus lignieresii
actinobacillus minor,Bacteria,haemophilus sp. minor group,TRUE,actinobacillus minor,actinobacillus minor
actinobacillus pleuropneumoniae,Bacteria,haemophilus pleuropneumoniae,TRUE,actinobacillus pleuropneumoniae,actinobacillus pleuropneumoniae
actinobacillus porcinus,Bacteria,,TRUE,actinobacillus porcinus,actinobacillus porcinus
actinobacillus scotiae,Bacteria,,FALSE,actinobacillus scotiae,actinobacillus scotiae
actinobacillus seminis,Bacteria,,TRUE,actinobacillus seminis,actinobacillus seminis
actinobacillus succinogenes,Bacteria,,FALSE,actinobacillus succinogenes,actinobacillus succinogenes
actinobacillus suis,Bacteria,,TRUE,actinobacillus suis,actinobacillus suis
actinobacillus ureae,Bacteria,pasteurella ureae; pasterella haemolytica var. ureae,TRUE,actinobacillus ureae,actinobacillus ureae
actinobaculum massiliense,Bacteria,actinobaculum massiliae,FALSE,actinobaculum massiliense,actinobaculum massiliense
actinobaculum suis,Bacteria,eubacterium suis; corynebacterium suis; actinomyces suis,TRUE,actinobaculum suis,actinobaculum suis
actinomadura madurae,Bacteria,streptothrix madurae; streptomyces madurae; nocardia madurae,TRUE,actinomadura madurae,actinomadura madurae
actinomadura meyerae,Bacteria,actinomadura meyerii,TRUE,actinomadura meyerae,actinomadura meyerae
actinomadura pelletieri,Bacteria,nocardia pelletieri; micrococcus pelletieri,TRUE,actinomadura pelletieri,actinomadura pelletieri
actinomadura sputi,Bacteria,,FALSE,actinomadura sputi,actinomadura sputi
actinomyces bovis,Bacteria,streptothrix bovis; nocardia bovis; actinocladothrix bovis,TRUE,actinomyces bovis,actinomyces bovis
actinomyces bowdenii,Bacteria,,TRUE,actinomyces bowdenii,actinomyces bowdenii
actinomyces cardiffensis,Bacteria,,TRUE,actinomyces cardiffensis,actinomyces cardiffensis
actinomyces dentalis,Bacteria,,TRUE,actinomyces dentalis,actinomyces dentalis
actinomyces denticolens,Bacteria,,TRUE,actinomyces denticolens,actinomyces denticolens
actinomyces europaeus,Bacteria,,FALSE,actinomyces europaeus,actinomyces europaeus
actinomyces funkei,Bacteria,,TRUE,actinomyces funkei,actinomyces funkei
actinomyces georgiae,Bacteria,actinomyces d08,TRUE,actinomyces georgiae,actinomyces georgiae
actinomyces gerencseriae,Bacteria,actinomyces israelii serovar ii,TRUE,actinomyces gerencseriae,actinomyces gerencseriae
actinomyces graevenitzii,Bacteria,,TRUE,actinomyces graevenitzii,actinomyces graevenitzii
actinomyces hominis,Bacteria,,FALSE,actinomyces hominis,actinomyces hominis
actinomyces hongkongensis,Bacteria,,FALSE,actinomyces hongkongensis,actinomyces hongkongensis
actinomyces howellii,Bacteria,,FALSE,actinomyces howellii,actinomyces howellii
actinomyces hyovaginalis,Bacteria,,TRUE,actinomyces hyovaginalis,actinomyces hyovaginalis
actinomyces israelii,Bacteria,streptothrix israeli; nocardia israeli; actinobacterium israeli; etc.,TRUE,actinomyces israelii,actinomyces israelii
