Pathogen_Original,Type,Synonym,InAssoc,Pathogen_Harmonised,Pathogen_Harm2
dyomupapillomavirus 1,Virus,,FALSE,dyomupapillomavirus 1,dyomupapillomavirus 1
dyonupapillomavirus 1,Virus,,FALSE,dyonupapillomavirus 1,dyonupapillomavirus 1
dyoomikronpapillomavirus 1,Virus,,FALSE,dyoomikronpapillomavirus 1,dyoomikronpapillomavirus 1
dyopipapillomavirus 1,Virus,,FALSE,dyopipapillomavirus 1,dyopipapillomavirus 1
dyorhopapillomavirus 1,Virus,,FALSE,dyorhopapillomavirus 1,dyorhopapillomavirus 1
dyosigmapapillomavirus 1,Virus,,FALSE,dyosigmapapillomavirus 1,dyosigmapapillomavirus 1
dyothetapapillomavirus 1,Virus,,FALSE,dyothetapapillomavirus 1,dyothetapapillomavirus 1
dyoxipapillomavirus 1,Virus,,FALSE,dyoxipapillomavirus 1,dyoxipapillomavirus 1
dyozetapapillomavirus 1,Virus,,FALSE,dyozetapapillomavirus 1,dyozetapapillomavirus 1
eastern equine encephalitis,Virus,eastern equine encephalomyelitis virus eeev; eastern equine encephalomyelitis eee; eastern equine encephalomyelitis virus,TRUE,eastern equine encephalitis,eastern equine encephalitis virus
ectromelia,Virus,mousepox virus; mousepox; ectromelia mousepox virus,TRUE,ectromelia,ectromelia virus
edge hill,Virus,,FALSE,edge hill,edge hill virus
el moro canyon hantavirus,Virus,"hmv-1; reithrodontomys megalotis hantavirus; el moro canyon hantavirus (elmc), etc.",FALSE,el moro canyon,el moro canyon virus
elapid 1 bornavirus,Virus,,FALSE,elapid 1 bornavirus,elapid 1 bornavirus
elephantid betaherpesvirus 1,Virus,elephantid herpesvirus 1; elephant herpesvirus 1,FALSE,elephantid herpesvirus 1,elephantid herpesvirus 1
entebbe bat,Virus,,TRUE,entebbe bat,entebbe bat virus
enterovirus a,Virus,"human enterovirus a; human coxsackievirus a; enterovirus ev-a, etc.",TRUE,enterovirus a,enterovirus a
enterovirus b,Virus,human enterovirus b; enterovirus ev-b,TRUE,enterovirus b,enterovirus b
enterovirus c,Virus,poliovirus; human enterovirus c; enterovirus ev-c,TRUE,enterovirus c,enterovirus c
enterovirus d,Virus,human enterovirus d; enterovirus ev-d,TRUE,enterovirus d,enterovirus d
enterovirus e,Virus,bev; bovine enterovirus,FALSE,bovine enterovirus,bovine enterovirus
enterovirus f,Virus,,FALSE,enterovirus f,enterovirus f
enterovirus g,Virus,porcine enterovirus b,FALSE,porcine enterovirus b,porcine enterovirus b
enterovirus h,Virus,simian enterovirus a; human enterovirus e,FALSE,simian enterovirus a,simian enterovirus a
enterovirus j,Virus,,FALSE,enterovirus j,enterovirus j
epizootic haematopoietic necrosis,Virus,epizootic hematopoietic necrosis virus,TRUE,epizootic haematopoietic necrosis,epizootic haematopoietic necrosis virus
epizootic hemorrhagic disease,Virus,"epizootic hemorrhagic disease virus group; epizootic haemorrhagic disease virus; epizootic haemorrhagic disease virus ehdv-1, etc.",TRUE,epizootic hemorrhagic disease,epizootic hemorrhagic disease virus
epsilonpapillomavirus 1,Virus,bovine papillomavirus 5; bovine papillomavirus type 5,FALSE,bovine papillomavirus 5,bovine papillomavirus 5
equid alphaherpesvirus 1,Virus,"equine herpesvirus type-1; equine abortion virus; equine herpesvirus type 1, etc.",FALSE,equid herpesvirus 1,equid herpesvirus 1
equid alphaherpesvirus 3,Virus,equine herpesvirus 3; equine coital exanthema virus; equid herpesvirus 3,FALSE,equid herpesvirus 3,equid herpesvirus 3
equid alphaherpesvirus 4,Virus,"equine herpesvirus 4; equine rhinopneumonitis virus; equid herpesvirus 4, etc.",FALSE,equid herpesvirus 4,equid herpesvirus 4
equid alphaherpesvirus 8,Virus,ahv3; asinine herpesvirus 3; equine herpesvirus 8,FALSE,equid herpesvirus 8,equid herpesvirus 8
equid alphaherpesvirus 9,Virus,gazelle herpesvirus 1; equine herpesvirus 9; equid herpesvirus 9,FALSE,equid herpesvirus 9,equid herpesvirus 9
equid gammaherpesvirus 2,Virus,"ehv-2; equine herpesvirus 2; equine cytomegalovirus, etc.",FALSE,equid herpesvirus 2,equid herpesvirus 2
equid gammaherpesvirus 5,Virus,"ehv-5; equine herpesvirus 5; equid herpesvirus 5, etc.",FALSE,equid herpesvirus 5,equid herpesvirus 5
equid gammaherpesvirus 7,Virus,ehv-7; equid herpesvirus 7; asinine herpesvirus 2,FALSE,equid herpesvirus 7,equid herpesvirus 7
equine arteritis,Virus,,TRUE,equine arteritis,equine arteritis virus
equine encephalosis,Virus,equine encephalosis virus group; equine encephalosis virus (eev),TRUE,equine encephalosis,equine encephalosis virus
equine foamy,Virus,,TRUE,equine foamy,equine foamy virus
equine infectious anemia,Virus,equine infectious anemia virus eiav,TRUE,equine infectious anemia,equine infectious anemia virus
equine mastadenovirus a,Virus,equine adenovirus a,FALSE,equine adenovirus a,equine adenovirus a
equine mastadenovirus b,Virus,equine adenovirus b,FALSE,equine adenovirus b,equine adenovirus b
equine rhinitis a,Virus,,TRUE,equine rhinitis a,equine rhinitis a virus
equine torovirus,Virus,,TRUE,equine torovirus,equine torovirus
erbovirus a,Virus,equine rhinitis b virus,FALSE,equine rhinitis b,equine rhinitis b virus
etapapillomavirus 1,Virus,fringilla coelebs papillomavirus,FALSE,etapapillomavirus 1,etapapillomavirus 1
eubenangee,Virus,eubenangee virus group,TRUE,eubenangee,eubenangee virus
european bat 1 lyssavirus,Virus,"european bat lyssavirus 1; european bat virus 1; european bat lyssavirus type 1, etc.",FALSE,european bat lyssavirus 1,european bat lyssavirus 1
european bat 2 lyssavirus,Virus,european bat lyssavirus 2; european bat virus 2; european bat lyssavirus type 2,FALSE,european bat lyssavirus 2,european bat lyssavirus 2
european brown hare syndrome,Virus,,TRUE,european brown hare syndrome,european brown hare syndrome virus
european catfish,Virus,sheetfish iridovirus; european sheatfish virus,TRUE,european catfish,european catfish virus
everglades,Virus,,TRUE,everglades,everglades virus
eyach,Virus,,TRUE,eyach,eyach virus
falcon aviadenovirus a,Virus,falcon adenovirus a,FALSE,falcon adenovirus a,falcon adenovirus a
felid alphaherpesvirus 1,Virus,"feline herpesvirus 1; feline herpesvirus-1 fhv-1; felid herpesvirus 1, etc.",FALSE,felid herpesvirus 1,felid herpesvirus 1
feline calicivirus,Virus,feline calicivirus fcv,TRUE,feline calicivirus,feline calicivirus
feline foamy,Virus,feline syncytial virus,TRUE,feline foamy,feline foamy virus
feline immunodeficiency,Virus,feline immunodeficiency virus fiv,TRUE,feline immunodeficiency,feline immunodeficiency virus
feline leukemia,Virus,feline leukemia virus felv; feline leukemia provirus,TRUE,feline leukemia,feline leukemia virus
fer-de-lance paramyxovirus,Virus,"snake atcc-vr-1409 paramyxovirus; paramyxovirus gonoger85;   fer-de-lance virus, etc.",FALSE,fer-de-lance paramyxovirus,fer-de-lance paramyxovirus
finch circovirus,Virus,,FALSE,finch circovirus,finch circovirus
finkel-biskis-jinkins murine sarcoma,Virus,,FALSE,finkel-biskis-jinkins murine sarcoma,finkel-biskis-jinkins murine sarcoma virus
flanders,Virus,,FALSE,flanders,flanders virus
flexal mammarenavirus,Virus,flexal virus; flexal arenavirus,FALSE,flexal,flexal virus
foot-and-mouth disease,Virus,foot and mouth disease virus; foot-and-mouth disease virus fmdv; foot and mouth disease virus fmdv,TRUE,foot-and-mouth disease,foot-and-mouth disease virus
fort morgan,Virus,,TRUE,fort morgan,fort morgan virus
fowl aviadenovirus a,Virus,fowl aviadenovirus a; fowl adenovirus a,FALSE,fowl adenovirus a,fowl adenovirus a
fowl aviadenovirus b,Virus,fowl adenovirus b,FALSE,fowl adenovirus b,fowl adenovirus b
fowl aviadenovirus c,Virus,fowl adenovirus c,FALSE,fowl adenovirus c,fowl adenovirus c
fowl aviadenovirus d,Virus,fowl adenovirus type d; fowl adenovirus d,FALSE,fowl adenovirus d,fowl adenovirus d
fowl aviadenovirus e,Virus,fowl adenovirus e,FALSE,fowl adenovirus e,fowl adenovirus e
fowlpox,Virus,"fowlpoxvirus; avipoxvirus clade a1; fowlpox virus fpv, etc.",TRUE,fowlpox,fowlpox virus
frog siadenovirus a,Virus,frog adenovirus a; frog adenovirus,FALSE,frog siadenovirus a,frog siadenovirus a
frog virus 3,Virus,frog virus 3 iridovirus; frog virus 3 fv3,TRUE,frog virus 3,frog virus 3
fujinami sarcoma,Virus,,FALSE,fujinami sarcoma,fujinami sarcoma virus
gadgets gully,Virus,,FALSE,gadgets gully,gadgets gully virus
gallid alphaherpesvirus 1,Virus,"gahv-1; infectious laryngotracheitis virus; avian infectious laryngotracheitis virus, etc.",FALSE,gallid herpesvirus 1,gallid herpesvirus 1
gallid alphaherpesvirus 2,Virus,"gahv-2; marek's disease virus type 1; gallid herpesvirus 2, etc.",FALSE,gallid herpesvirus 2,gallid herpesvirus 2
gallid alphaherpesvirus 3,Virus,"gahv-3; marek's disease virus type 2; gallid herpesvirus type 3, etc.",FALSE,gallid herpesvirus 3,gallid herpesvirus 3
galliform aveparvovirus 1,Virus,,FALSE,galliform aveparvovirus 1,galliform aveparvovirus 1
gallivirus a,Virus,,FALSE,gallivirus a,gallivirus a
gammapapillomavirus 1,Virus,,FALSE,gammapapillomavirus 1,gammapapillomavirus 1
gammapapillomavirus 10,Virus,,FALSE,gammapapillomavirus 10,gammapapillomavirus 10
gammapapillomavirus 11,Virus,human papillomavirus 126-like viruses,FALSE,gammapapillomavirus 11,gammapapillomavirus 11
gammapapillomavirus 12,Virus,,FALSE,gammapapillomavirus 12,gammapapillomavirus 12
gammapapillomavirus 13,Virus,,FALSE,gammapapillomavirus 13,gammapapillomavirus 13
gammapapillomavirus 14,Virus,,FALSE,gammapapillomavirus 14,gammapapillomavirus 14
gammapapillomavirus 15,Virus,,FALSE,gammapapillomavirus 15,gammapapillomavirus 15
gammapapillomavirus 16,Virus,,FALSE,gammapapillomavirus 16,gammapapillomavirus 16
gammapapillomavirus 17,Virus,,FALSE,gammapapillomavirus 17,gammapapillomavirus 17
gammapapillomavirus 18,Virus,,FALSE,gammapapillomavirus 18,gammapapillomavirus 18
gammapapillomavirus 19,Virus,,FALSE,gammapapillomavirus 19,gammapapillomavirus 19
gammapapillomavirus 2,Virus,,FALSE,gammapapillomavirus 2,gammapapillomavirus 2
gammapapillomavirus 20,Virus,,FALSE,gammapapillomavirus 20,gammapapillomavirus 20
gammapapillomavirus 3,Virus,human papillomavirus 50,FALSE,human papillomavirus 50,human papillomavirus 50
gammapapillomavirus 4,Virus,human papillomavirus 60,FALSE,human papillomavirus 60,human papillomavirus 60
gammapapillomavirus 5,Virus,human papillomavirus 88,FALSE,human papillomavirus 88,human papillomavirus 88
gammapapillomavirus 6,Virus,,FALSE,gammapapillomavirus 6,gammapapillomavirus 6
gammapapillomavirus 7,Virus,,FALSE,gammapapillomavirus 7,gammapapillomavirus 7
gammapapillomavirus 8,Virus,,FALSE,gammapapillomavirus 8,gammapapillomavirus 8
gammapapillomavirus 9,Virus,,FALSE,gammapapillomavirus 9,gammapapillomavirus 9
gardner-arnstein feline sarcoma,Virus,feline sarcoma virus gardner-arnstein; feline sarcoma virus (strain ga),FALSE,feline sarcoma,feline sarcoma virus
getah,Virus,,TRUE,getah,getah virus
gibbon ape leukemia,Virus,gibbon leukemia virus,TRUE,gibbon ape leukemia,gibbon ape leukemia virus
goatpox,Virus,,TRUE,goatpox,goatpox virus
gorilline gammaherpesvirus 1,Virus,"pongine herpesvirus 3; herpesvirus gorilla; gorilline herpesvirus 1, etc.",FALSE,pongine herpesvirus 3,pongine herpesvirus 3
great island,Virus,,TRUE,great island,great island virus
great tit siadenovirus a,Virus,great tit adenovirus a,FALSE,great tit siadenovirus a,great tit siadenovirus a
ground squirrel hepatitis,Virus,ground squirrel hepatitis b virus,TRUE,ground squirrel hepatitis,ground squirrel hepatitis virus
guajara orthobunyavirus,Virus,guajar orthobunyavirus,FALSE,guajara,guajara orthobunyavirus
guama orthobunyavirus,Virus,guam orthobunyavirus; guama virus,FALSE,guama,guama virus
guanarito mammarenavirus,Virus,guanarito virus; guanarito arenavirus,FALSE,guanarito,guanarito virus
guaroa orthobunyavirus,Virus,guaroa virus,FALSE,guaroa,guaroa virus
guinea pig type-c oncovirus,Virus,,TRUE,guinea pig type-c oncovirus,guinea pig type-c oncovirus
gull circovirus,Virus,,FALSE,gull circovirus,gull circovirus
hantaan hantavirus,Virus,korean hemorrhagic fever virus; hantaan virus,FALSE,hantaan,hantaan virus
hardy-zuckerman feline sarcoma,Virus,,FALSE,feline sarcoma,feline sarcoma virus
hare fibroma,Virus,,TRUE,hare fibroma,hare fibroma virus
harvey murine sarcoma,Virus,,FALSE,harvey murine sarcoma,harvey murine sarcoma virus
hendra,Virus,equine morbillivirus,TRUE,hendra,hendra virus
hepatitis b,Virus,"human hepatitis b virus; hepatitis b virus hbv; human hepatitis b virus hbv, etc.",TRUE,hepatitis b,hepatitis b virus
hepatitis c,Virus,post-transfusion hepatitis non a non b virus; human hepatitis c virus; hepatitis c virus hcv,TRUE,hepatitis c,hepatitis c virus
hepatitis delta,Virus,hepatitis delta virus hdv; hepatitis d virus,TRUE,hepatitis delta,hepatitis delta virus
hepatovirus a,Virus,hepatitis a virus,TRUE,hepatovirus a,hepatovirus a
heron hepatitis b,Virus,heron hepatitis virus,TRUE,heron hepatitis b,heron hepatitis b virus
highlands j,Virus,,TRUE,highlands j,highlands j virus
hippotragine gammaherpesvirus 1,Virus,roan antelope herpesvirus; hippotragine herpesvirus 1; hippotragine herpesvirus-1,FALSE,hippotragine herpesvirus 1,hippotragine herpesvirus 1
hirame novirhabdovirus,Virus,,FALSE,hirame novirhabdovirus,hirame novirhabdovirus
hughes nairovirus,Virus,hughes virus,FALSE,hughes,hughes nairovirus
human alphaherpesvirus 1,Virus,"hsv1; herpes simplex virus type 1; human herpesvirus 1, etc.",FALSE,human herpesvirus 1,human herpesvirus 1
human alphaherpesvirus 2,Virus,"hsv2; herpes simplex virus 2; human herpesvirus 2, etc.",FALSE,human herpesvirus 2,human herpesvirus 2
human alphaherpesvirus 3,Virus,vzv; varicella-zoster virus; human herpesvirus 3; etc.,FALSE,human herpesvirus 3,human herpesvirus 3
human betaherpesvirus 5,Virus,hhv-5; human cytomegalovirus; human herpesvirus 5 ,FALSE,human herpesvirus 5,human herpesvirus 5
human betaherpesvirus 6a,Virus,human herpesvirus 6a,FALSE,human herpesvirus 6,human herpesvirus 6
human betaherpesvirus 6b,Virus,human herpesvirus 6b; human herpesvirus 6 type b,FALSE,human herpesvirus 6,human herpesvirus 6
human betaherpesvirus 7,Virus,hhv-7; herpes simplex virus 7; human herpesvirus 7,FALSE,human herpesvirus 7,human herpesvirus 7
human coronavirus 229e,Virus,"human coronavirus strain 229e; coronavirus 229e; human coronavirus serogroup 229e, etc.",TRUE,human coronavirus 229e,human coronavirus 229e
human coronavirus hku1,Virus,human cov/hku1; cov-hku1,TRUE,human coronavirus hku1,human coronavirus hku1
human coronavirus nl63,Virus,human coronavirus nl; coronavirus nl63,TRUE,human coronavirus nl63,human coronavirus nl63
human gammaherpesvirus 4,Virus,"hhv-4; epstein barr virus; human herpesvirus 4, etc.",TRUE,human gammaherpesvirus 4,human gammaherpesvirus 4
human gammaherpesvirus 8,Virus,"kshv; kaposi's sarcoma-associated herpesvirus; human herpesvirus 8, etc.",TRUE,human gammaherpesvirus 8,human gammaherpesvirus 8
human immunodeficiency virus 1,Virus,hiv; human immunodeficiency virus type-1 hiv-1; human immunodeficiency virus hiv-1,TRUE,human immunodeficiency virus 1,human immunodeficiency virus 1
human immunodeficiency virus 2,Virus,"hiv2; human immunodeficiency virus-2; human immunodeficiency virus type 2, etc.",TRUE,human immunodeficiency virus 2,human immunodeficiency virus 2
human mastadenovirus a,Virus,human adenovirus a,TRUE,human mastadenovirus a,human mastadenovirus a
human mastadenovirus b,Virus,human adenovirus b,TRUE,human mastadenovirus b,human mastadenovirus b
human mastadenovirus c,Virus,human adenovirus c,TRUE,human mastadenovirus c,human mastadenovirus c
human mastadenovirus d,Virus,human adenovirus d,TRUE,human mastadenovirus d,human mastadenovirus d
human mastadenovirus e,Virus,human adenovirus e,TRUE,human mastadenovirus e,human mastadenovirus e
human mastadenovirus f,Virus,human adenovirus f,TRUE,human mastadenovirus f,human mastadenovirus f
human mastadenovirus g,Virus,human adenovirus g,TRUE,human mastadenovirus g,human mastadenovirus g
human metapneumovirus,Virus,hmpv,TRUE,human metapneumovirus,human metapneumovirus
human parainfluenza virus 1,Virus,"hpiv1; parainfluenza virus type 1; human parainfluenza 1 virus, etc.",TRUE,human parainfluenza virus 1,human parainfluenza virus 1
human parainfluenza virus 2,Virus,"hpiv2; piv-2; parainfluenza virus type 2, etc.",TRUE,human parainfluenza virus 2,human parainfluenza virus 2
human parainfluenza virus 3,Virus,"hpiv3; parainfluenza virus type 3; human parainfluenza 3 virus, etc.",TRUE,human parainfluenza virus 3,human parainfluenza virus 3
human parainfluenza virus 4,Virus,hpiv type 4; parainfluenza virus type 4; human parainfluenza virus type 4,TRUE,human parainfluenza virus 4,human parainfluenza virus 4
human picobirnavirus,Virus,,TRUE,human picobirnavirus,human picobirnavirus
human polyomavirus 1,Virus,"polyomavirus bk; polyomavirus hominis 1; human polyomavirus bkv, etc.",TRUE,human polyomavirus 1,human polyomavirus 1
human polyomavirus 2,Virus,,FALSE,human polyomavirus 2,human polyomavirus 2
human respiratory syncytial,Virus,human rsv,TRUE,human respiratory syncytial,human respiratory syncytial virus
human torovirus,Virus,,TRUE,human torovirus,human torovirus
hunnivirus a,Virus,,FALSE,hunnivirus a,hunnivirus a
ictalurid herpesvirus 1,Virus,ichv-1; channel catfish virus ccv,TRUE,ictalurid herpesvirus 1,ictalurid herpesvirus 1
ictalurid herpesvirus 2,Virus,,TRUE,ictalurid herpesvirus 2,ictalurid herpesvirus 2
iguanid herpesvirus 2,Virus,iguanid hv2,FALSE,iguanid herpesvirus 2,iguanid herpesvirus 2
ikoma lyssavirus,Virus,serengeti lyssavirus,FALSE,ikoma lyssavirus,ikoma lyssavirus
ilheus,Virus,,TRUE,ilheus,ilheus virus
indiana vesiculovirus,Virus,vesicular stomatitis indiana virus,TRUE,indiana vesiculovirus,indiana vesiculovirus
infectious bursal disease,Virus,"gumboro virus; infectious bursal disease virus ibdv; avian infectious bursal disease virus, etc.",TRUE,infectious bursal disease,infectious bursal disease virus
infectious pancreatic necrosis,Virus,infectious pancreatic necrosis virus ipnv,TRUE,infectious pancreatic necrosis,infectious pancreatic necrosis virus
infectious salmon anemia,Virus,infectious salmonid anemia virus; infectious salmon anaemia virus,TRUE,infectious salmon anemia,infectious salmon anemia virus
infectious spleen and kidney necrosis,Virus,,TRUE,infectious spleen and kidney necrosis,infectious spleen and kidney necrosis virus
influenza a,Virus,influenza virus type a; human influenza a virus,TRUE,influenza a,influenza a virus
influenza b,Virus,influenza virus type b,TRUE,influenza b,influenza b virus
influenza c,Virus,influenza virus type c; influenza c viruses,TRUE,influenza c,influenza c virus
iotapapillomavirus 1,Virus,praomys natalensis papillomavirus; multimammate rat papillomavirus; mastomys natalensis papillomavirus,FALSE,mastomys natalensis papillomavirus,mastomys natalensis papillomavirus
ippy mammarenavirus,Virus,ippy virus,FALSE,ippy,ippy virus
irkut lyssavirus,Virus,irkut virus,FALSE,irkut,irkut virus
isfahan vesiculovirus,Virus,isfahan virus,FALSE,isfahan,isfahan virus
isla vista hantavirus,Virus,isla vista virus (ilv); isla vista virus,FALSE,isla vista,isla vista virus
israel turkey meningoencephalomyelitis,Virus,,FALSE,bagaza,bagaza virus
jaagsiekte sheep retrovirus,Virus,"jaagsiekte virus; sheep pulmonary adenomatosis virus; ovine pulmonary adenocarcinoma virus, etc.",TRUE,jaagsiekte sheep retrovirus,jaagsiekte sheep retrovirus
japanese encephalitis,Virus,japanese encephalitis virus jev; japanese encephalitis virus je; japanese encephalitis (je) virus,TRUE,japanese encephalitis,japanese encephalitis virus
johnston atoll,Virus,,FALSE,johnston atoll,johnston atoll virus
jugra,Virus,,TRUE,jugra,jugra virus
juncopox,Virus,,FALSE,juncopox,juncopox virus
junin mammarenavirus,Virus,junn mammarenavirus; junin virus; junin arenavirus,FALSE,junin,junin virus
jutiapa,Virus,,TRUE,jutiapa,jutiapa virus
kadam,Virus,,FALSE,kadam,kadam virus
kaeng khoi orthobunyavirus,Virus,,FALSE,kaeng khoi,kaeng khoi virus
kairi orthobunyavirus,Virus,,FALSE,kairi,kairi virus
kappapapillomavirus 1,Virus,ropv; rabbit oral papillomavirus,FALSE,rabbit oral papillomavirus,rabbit oral papillomavirus
kappapapillomavirus 2,Virus,"rabbit papillomavirus; cottontail rabbit papillomavirus; papillomavirus sylvilagi, etc.",FALSE,cottontail rabbit papillomavirus,cottontail rabbit papillomavirus
kedougou,Virus,,FALSE,kedougou,kedougou virus
khabarovsk hantavirus,Virus,khav; khabarovsk virus,FALSE,khabarovsk,khabarovsk virus
khujand lyssavirus,Virus,khujand virus,FALSE,khujand,khujand virus
kirsten murine sarcoma,Virus,,FALSE,kirsten murine sarcoma,kirsten murine sarcoma virus
kokobera,Virus,,TRUE,kokobera,kokobera virus
kotonkan ephemerovirus,Virus,,FALSE,kotonkan,kotonkan virus
koutango,Virus,,TRUE,koutango,koutango virus
kunsagivirus a,Virus,kunsagivirus 1,FALSE,kunsagivirus a,kunsagivirus a
kyasanur forest disease,Virus,,TRUE,kyasanur forest disease,kyasanur forest disease virus
lactate dehydrogenase-elevating,Virus,lactate dehydrogenase-elevating virus ldv; lactic dehydrogenase virus,TRUE,lactate dehydrogenase-elevating,lactate dehydrogenase-elevating virus
lagos bat lyssavirus,Virus,lagos bat virus,FALSE,lagos bat,lagos bat virus
laguna negra hantavirus,Virus,laguna negra virus,FALSE,laguna negra,laguna negra virus
lambdapapillomavirus 1,Virus,feline papillomavirus,FALSE,feline papillomavirus,feline papillomavirus
lambdapapillomavirus 4,Virus,,FALSE,lambdapapillomavirus 4,lambdapapillomavirus 4
lambdapapillomavirus 5,Virus,,FALSE,lambdapapillomavirus 5,lambdapapillomavirus 5
langur,Virus,,TRUE,langur,langur virus
lassa mammarenavirus,Virus,lassa virus,FALSE,lassa,lassa virus
latino mammarenavirus,Virus,latino virus; latino arenavirus,FALSE,latino,latino virus
lebombo,Virus,lebombo virus group,TRUE,lebombo,lebombo virus
leporid alphaherpesvirus 4,Virus,leporid herpesvirus 4,FALSE,leporid herpesvirus 4,leporid herpesvirus 4
lloviu cuevavirus,Virus,lloviu virus,FALSE,lloviu,lloviu virus
louping ill,Virus,li,TRUE,louping ill,louping ill virus
lujo mammarenavirus,Virus,lujo virus,FALSE,lujo,lujo virus
lumpy skin disease,Virus,,TRUE,lumpy skin disease,lymphocystis disease virus 1
luna mammarenavirus,Virus,luna virus,FALSE,luna,luna virus
lymphocystis disease virus 1,Virus,"lymphocystis disease virus; flounder lymphocystic disease virus; fish lymphocytic disease virus, etc.",TRUE,lymphocystis disease virus 1,lymphocystis disease virus 1
lymphocytic choriomeningitis mammarenavirus,Virus,lymphocytic choriomeningitis virus lcmv; lymphocytic choriomeningitis virus,FALSE,lymphocytic choriomeningitis,lymphocytic choriomeningitis virus
macaca mulatta polyomavirus 1,Virus,"rhesus polyomavirus; simian virus 40; rhesus macaque polyomavirus, etc.",TRUE,macaca mulatta polyomavirus 1,macaca mulatta polyomavirus 1
macacine alphaherpesvirus 1,Virus,cehv-1; b virus; cercopithecine herpesvirus 1; etc.,FALSE,macacine herpesvirus 1,macacine herpesvirus 1
macacine betaherpesvirus 3,Virus,"cehv-8; rhesus monkey cytomegalovirus; macacine herpesvirus 3, etc.",FALSE,macacine herpesvirus 3,macacine herpesvirus 3
macacine gammaherpesvirus 4,Virus,"rhesus lymphocryptovirus; rhesus epstein barr virus; cercopithicine herpesvirus 15, etc.",FALSE,macacine herpesvirus 4,macacine herpesvirus 4
macacine gammaherpesvirus 5,Virus,"cehv-17; rhesus rhadinovirus; cercopithecine herpesvirus 17, etc.",FALSE,macacine herpesvirus 5,macacine herpesvirus 5
macaque simian foamy,Virus,"simian foamy virus type 1; simian foamy virus 1; sfv-1, etc.",TRUE,macaque simian foamy,macaque simian foamy virus
machupo mammarenavirus,Virus,machupo virus,FALSE,machupo,machupo virus
macropodid alphaherpesvirus 1,Virus,"mhv-1; parma wallaby herpesvirus; macropodid herpesvirus 1, etc.",FALSE,macropodid herpesvirus 1,macropodid herpesvirus 1
macropodid alphaherpesvirus 2,Virus,dorcopsis wallaby herpesvirus; macropodid herpesvirus 2; macropodid herpesvirus type 2,FALSE,macropodid herpesvirus 2,macropodid herpesvirus 2
madariaga,Virus,,FALSE,madariaga,madariaga virus
madrid orthobunyavirus,Virus,madrid virus,FALSE,madrid,madrid virus
main drain orthobunyavirus,Virus,,FALSE,main drain virus,main drain virus
mamastrovirus 1,Virus,,TRUE,mamastrovirus 1,mamastrovirus 1
mamastrovirus 10,Virus,mink astrovirus,FALSE,mink astrovirus,mink astrovirus
mamastrovirus 11,Virus,,FALSE,mamastrovirus 11,mamastrovirus 11
mamastrovirus 12,Virus,,FALSE,mamastrovirus 12,mamastrovirus 12
mamastrovirus 13,Virus,sheep astrovirus; ovine astrovirus,FALSE,ovine astrovirus,ovine astrovirus
mamastrovirus 14,Virus,,FALSE,mamastrovirus 14,mamastrovirus 14
mamastrovirus 15,Virus,,FALSE,mamastrovirus 15,mamastrovirus 15
mamastrovirus 16,Virus,,FALSE,mamastrovirus 16,mamastrovirus 16
mamastrovirus 17,Virus,,FALSE,mamastrovirus 17,mamastrovirus 17
mamastrovirus 18,Virus,,FALSE,mamastrovirus 18,mamastrovirus 18
mamastrovirus 19,Virus,,FALSE,mamastrovirus 19,mamastrovirus 19
mamastrovirus 2,Virus,feline astrovirus,FALSE,feline astrovirus,feline astrovirus
mamastrovirus 3,Virus,porcine astrovirus,FALSE,porcine astrovirus,porcine astrovirus
mamastrovirus 4,Virus,,FALSE,mamastrovirus 4,mamastrovirus 4
mamastrovirus 6,Virus,,FALSE,mamastrovirus 6,mamastrovirus 6
mamastrovirus 8,Virus,,FALSE,mamastrovirus 8,mamastrovirus 8
mamastrovirus 9,Virus,,FALSE,mamastrovirus 9,mamastrovirus 9
mammalian 1 bornavirus,Virus,,FALSE,borna disease,borna disease virus
mammalian orthoreovirus,Virus,,TRUE,mammalian orthoreovirus,mammalian orthoreovirus
manzanilla orthobunyavirus,Virus,,FALSE,manzanilla,manzanilla virus
mapuera,Virus,,TRUE,mapuera,mapuera virus
maraba vesiculovirus,Virus,maraba virus,FALSE,maraba,maraba virus
marburg marburgvirus,Virus,mbg; lake victoria marburgvirus; marburg virus mbg,FALSE,marburg,marburg marburgvirus
marituba orthobunyavirus,Virus,marituba virus,FALSE,marituba,marituba virus
mason-pfizer monkey,Virus,simian mason-pfizer virus; simian mason-pfizer type d retrovirus; simian mason-pfizer d-type retrovirus sm-pdt,TRUE,mason-pfizer monkey,mason-pfizer monkey virus
mayaro,Virus,,TRUE,mayaro,mayaro virus
meaban,Virus,flavivirus meaban,FALSE,meaban,meaban virus
measles,Virus,"subacute sclerosing panencephalitis virus; rubeola virus; rougeole virus, etc.",TRUE,measles,measles virus
meleagrid alphaherpesvirus 1,Virus,"mehv-1; turkey herpesvirus; herpesvirus of turkey, etc.",FALSE,meleagrid herpesvirus 1,meleagrid herpesvirus 1
melegrivirus a,Virus,,FALSE,melegrivirus a,melegrivirus a
merino walk mammarenavirus,Virus,merino walk virus,FALSE,merino walk,merino walk virus
mesocricetus auratus polyomavirus 1,Virus,hapyv; hamster polyomavirus,FALSE,hamster polyomavirus,hamster polyomavirus
middelburg,Virus,middleburg virus,TRUE,middelburg,middelburg virus
midway nyavirus,Virus,midway virus,FALSE,midway nyavirus,midway nyavirus
