Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Olival,Zoonotic_Olival_Strict,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor
porcine epidemic diarrhea,porcine epidemic diarrhea,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine hemagglutinating encephalomyelitis,porcine hemagglutinating encephalomyelitis,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine parvovirus,porcine parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine reproductive and respiratory syndrome,porcine reproductive and respiratory syndrome virus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine rubulavirus,porcine rubulavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine teschovirus,porcine teschovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine torovirus,porcine torovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
porcine type-c oncovirus,porcine type-c oncovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
possum adenovirus,possum adenovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
prospect hill,prospect hill,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
puma lentivirus,puma lentivirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
qalyub,qalyub,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
quaranfil,quaranfil,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rabbit coronavirus,rabbit coronavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rabbit fibroma,rabbit fibroma,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rabbit hemorrhagic disease,rabbit hemorrhagic disease,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rabbit kidney vacuolating,rabbit kidney vacuolating,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rabbit oral papillomavirus,rabbit oral papillomavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
racoonpox,raccoonpox,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rat coronavirus,rat coronavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rat minute virus 1,rat minute virus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rat parvovirus 1,rat parvovirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rhesus macaque parvovirus,rhesus macaque parvovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rhesus monkey papillomavirus 1,rhesus monkey papillomavirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rinderpest,rinderpest,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rio negro,rio negro,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rio segundo,rio segundo,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rotavirus e,rotavirus e,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
rubella,rubella,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
sabia,sabia,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
saboya,saboya,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
saimiriine herpesvirus 1,saimiriine herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
saimiriine herpesvirus 2,saimiriine herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
sal vieja,sal vieja,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
salehabad,salehabad,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
salem,salem,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
san perlita,san perlita,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
sapporo,sapporo,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
sathuperi,sathuperi,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
sciurid herpesvirus 1,sciurid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
sciurid herpesvirus 2,sciurid herpesvirus 2,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
sendai,sendai,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
sepik,sepik,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
sheeppox,sheeppox,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
simbu,simbu,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
simian adenovirus,simian adenovirus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
simian enterovirus a,simian enterovirus a,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
simian hemorrhagic fever,simian hemorrhagic fever,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
simian immunodeficiency,simian immunodeficiency,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
simian virus 12,simian virus 12,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
simian virus 5,simian virus 5,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
southern elephant seal,southern elephant seal,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
squirrel adenovirus,squirrel adenovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
squirrel fibroma,squirrel fibroma,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
squirrel monkey retrovirus,squirrel monkey retrovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
squirrel parapoxvirus,squirrel parapoxvirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
sudan ebolavirus,sudan ebolavirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
swine norovirus,swine norovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
swinepox,swinepox,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
tamana bat,tamana bat,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
tamdy,tamdy,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
tamiami,tamiami,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
tataguine,tataguine,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
taterapox,taterapox,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
theilovirus,theilovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
thottapalayam,thottapalayam,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
tonate,tonate,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
topografov,topografov,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
transmissible gastroenteritis,transmissible gastroenteritis,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
tree shrew adenovirus,tree shrew adenovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
tupaia paramyxovirus,tupaia paramyxovirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
tupaiid herpesvirus 1,tupaiid herpesvirus 1,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
turlock,turlock,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
uganda s,uganda s,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
upolu,upolu,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
variola,variola,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
vesicular exanthema of swine,vesicular exanthema of swine,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
visna/maedi,visna/maedi,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
volepox,volepox,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
wad medani,wad medani,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
wallal,wallal,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
walrus calicivirus,walrus calicivirus,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
wanowrie,wanowrie,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
warrego,warrego,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
west caucasian bat,west caucasian bat,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
witwatersrand,witwatersrand,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
wongorr,wongorr,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
woodchuck hepatitis,woodchuck hepatitis,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
yogue,yogue,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
yokose,yokose,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
zegla,zegla,virus,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0
