Pathogen_Original,PathogenName_Harmonised,PathogenType,HumanInfective_Olival,Zoonotic_Olival_Strict,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor
punta toro,punta toro,virus,1,0,1,1,1,1,new world phlebovirus,vector,1,1,"sandfly (lutzomyia), tick",0,NA,0
puumala,puumala,virus,1,1,1,1,1,1,old world hantavirus,"direct, environmental, respiratory",1,0,NA,1,nephropathia epidemica,1
rabies,rabies,virus,1,1,1,1,1,1,rabies,"direct, bite",1,0,NA,1,rabies,1
reston ebolavirus,reston ebolavirus,virus,1,0,1,1,1,1,ebola,"direct, respiratory, environment, sexual",1,0,NA,1,haemorrhagic fever,1
rift valley fever,rift valley,virus,1,1,1,1,1,1,rift valley fever,"vector, direct",1,1,"moquito (culex, aedes, anopheles, eretmapodites, mansonia, culicoides, coquillettidia spp.)",1,rift valley fever,1
rio bravo,rio bravo,virus,1,0,1,1,1,1,viral encephalitis (st. louis-related),vector,1,1,"mosquito (Culex pipiens, Cx. tarsalis, Cx. nigripalpus, Cx. restuans, Cx. salinarius, Aedes, Sabethes)",0,NA,1
rio mamore,rio mamore,virus,1,1,0,1,1,1,hantavirus pulmonary syndrome,"direct, environment ,respiratory",1,0,NA,1,none reported,0
ross river,ross river,virus,1,1,1,1,1,1,ross river disease,"vector, fluids",1,1,"mosquito (aedes vigilax, culex annulirostris)",1,ross river virus disease,1
rotavirus a,rotavirus a,virus,1,1,1,1,1,1,rotavirus infection,"water, fecal-oral",1,0,NA,0,NA,1
rotavirus b,rotavirus b,virus,1,1,1,1,1,1,rotavirus infection,"water, fecal-oral",1,0,NA,0,NA,1
rotavirus c,rotavirus c,virus,1,1,1,1,1,1,rotavirus infection,"water, fecal-oral",1,0,NA,0,NA,1
sandfly fever naples,sandfly fever naples,virus,1,1,1,1,1,1,old world phlebovirus infection,vector,1,1,sandfly (phlebotomus),0,NA,1
sandfly fever sicilian,sandfly fever sicilian,virus,1,0,1,1,1,1,sandfly fever,vector,1,1,"sandfly (Phlebotomus papatasi, Ph. Perfilewi)",0,NA,1
sealpox,sealpox,virus,1,1,1,1,1,1,pseudocowpox and related,direct,1,0,NA,0,NA,1
semliki forest,semliki forest,virus,1,0,1,1,1,1,semliki forest fever (chikungunya-related),vector,1,1,"mosquito (Aedes spp., Aedes furcifer-taylori group)",0,NA,1
seoul,seoul,virus,1,0,1,1,1,1,old world hantavirus,"direct, environmental, respiratory",1,0,NA,1,hantaviral disease,1
