name,exact,type,order,class,family,genus,species
rodent protoparvovirus 2,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Protoparvovirus,Rodent protoparvovirus 2
saimiriine herpesvirus 1,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Simplexvirus,Saimiriine alphaherpesvirus 1
saimiriine herpesvirus 2,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Rhadinovirus,Saimiriine gammaherpesvirus 2
saimiriine herpesvirus 4,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Cytomegalovirus,Saimiriine betaherpesvirus 4
sathuperi orthobunyavirus,true,viruses,Bunyavirales,Ellioviricetes,Peribunyaviridae,Orthobunyavirus,Sathuperi orthobunyavirus
scotophilus bat coronavirus 512,true,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Alphacoronavirus,Scotophilus bat coronavirus 512
seal parapoxvirus,true,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Parapoxvirus,Seal parapoxvirus
severe acute respiratory syndrome coronavirus,true,viruses,Nidovirales,Pisoniviricetes,Coronaviridae,Betacoronavirus,Severe acute respiratory syndrome-related coronavirus
shimoni bat virus,true,viruses,Mononegavirales,Monjiviricetes,Rhabdoviridae,Lyssavirus,Shimoni bat lyssavirus
sigmapapillomavirus 1,true,viruses,Zurhausenvirales,Papovaviricetes,Papillomaviridae,Sigmapapillomavirus,Sigmapapillomavirus 1
simian agent virus 12,true,viruses,Sepolyvirales,Papovaviricetes,Polyomaviridae,,Simian virus 12
simian parvovirus,true,viruses,Piccovirales,Quintoviricetes,Parvoviridae,Erythroparvovirus,Primate erythroparvovirus 2
simian sapelovirus,true,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Sapelovirus,Sapelovirus B
simian virus 12,true,viruses,Sepolyvirales,Papovaviricetes,Polyomaviridae,,Simian virus 12
simian virus 40,true,viruses,Sepolyvirales,Papovaviricetes,Polyomaviridae,Betapolyomavirus,Macaca mulatta polyomavirus 1
simian virus 41,true,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Orthorubulavirus,Simian orthorubulavirus
simian virus 5,true,viruses,Mononegavirales,Monjiviricetes,Paramyxoviridae,Orthorubulavirus,Mammalian orthorubulavirus 5
squirrel monkey retrovirus,true,viruses,Ortervirales,Revtraviricetes,Retroviridae,Betaretrovirus,Squirrel monkey retrovirus
squirrel parapoxvirus,true,viruses,Chitovirales,Pokkesviricetes,Poxviridae,Sciuripoxvirus,Squirrelpox virus
sudan ebolavirus,true,viruses,Mononegavirales,Monjiviricetes,Filoviridae,Ebolavirus,Sudan ebolavirus
suid herpesvirus 1,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Varicellovirus,Suid alphaherpesvirus 1
suid herpesvirus 2,true,viruses,Herpesvirales,Herviviricetes,Herpesviridae,Roseolovirus,Suid betaherpesvirus 2
swine norovirus,true,viruses,Picornavirales,Pisoniviricetes,Caliciviridae,Norovirus,Norwalk virus
theilovirus,true,viruses,Picornavirales,Pisoniviricetes,Picornaviridae,Cardiovirus,Cardiovirus B
thiafora nairovirus,true,viruses,Bunyavirales,Ellioviricetes,Nairoviridae,Orthonairovirus,Thiafora orthonairovirus
torque teno felis virus 2,true,viruses,,,Anelloviridae,Etatorquevirus,Torque teno felis virus 2
torque teno midi virus 1,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 1
torque teno midi virus 10,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 10
torque teno midi virus 11,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 11
torque teno midi virus 12,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 12
torque teno midi virus 13,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 13
torque teno midi virus 14,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 14
torque teno midi virus 15,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 15
torque teno midi virus 2,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 2
torque teno midi virus 3,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 3
torque teno midi virus 4,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 4
torque teno midi virus 5,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 5
torque teno midi virus 6,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 6
torque teno midi virus 7,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 7
torque teno midi virus 8,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 8
torque teno midi virus 9,true,viruses,,,Anelloviridae,Gammatorquevirus,Torque teno midi virus 9
torque teno mini virus 1,true,viruses,,,Anelloviridae,Betatorquevirus,Torque teno mini virus 1
torque teno mini virus 10,true,viruses,,,Anelloviridae,Betatorquevirus,Torque teno mini virus 10
torque teno mini virus 11,true,viruses,,,Anelloviridae,Betatorquevirus,Torque teno mini virus 11
torque teno mini virus 12,true,viruses,,,Anelloviridae,Betatorquevirus,Torque teno mini virus 12
torque teno mini virus 2,true,viruses,,,Anelloviridae,Betatorquevirus,Torque teno mini virus 2
torque teno mini virus 3,true,viruses,,,Anelloviridae,Betatorquevirus,Torque teno mini virus 3
torque teno mini virus 4,true,viruses,,,Anelloviridae,Betatorquevirus,Torque teno mini virus 4
torque teno mini virus 5,true,viruses,,,Anelloviridae,Betatorquevirus,Torque teno mini virus 5
torque teno mini virus 6,true,viruses,,,Anelloviridae,Betatorquevirus,Torque teno mini virus 6
torque teno mini virus 7,true,viruses,,,Anelloviridae,Betatorquevirus,Torque teno mini virus 7
torque teno mini virus 8,true,viruses,,,Anelloviridae,Betatorquevirus,Torque teno mini virus 8
torque teno mini virus 9,true,viruses,,,Anelloviridae,Betatorquevirus,Torque teno mini virus 9
torque teno sus virus 1,true,viruses,,,Anelloviridae,Iotatorquevirus,Torque teno sus virus 1a
torque teno sus virus 2,true,viruses,,,Anelloviridae,Iotatorquevirus,Torque teno sus virus 1b
torque teno sus virus 3,true,viruses,,,Anelloviridae,Kappatorquevirus,Torque teno sus virus k2
torque teno virus 1,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 1
torque teno virus 10,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 10
torque teno virus 11,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 11
torque teno virus 12,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 12
torque teno virus 13,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 13
torque teno virus 14,true,viruses,,,Anelloviridae,Alphatorquevirus,Torque teno virus 14
